"personal_star","review","url","title","category","total_star","location","review_date","label"
"1","맛은 그냥 평범.. 비싸게 느껴지며 불친절함.","https://place.map.kakao.com/13093208","평양면옥","냉면","3.2","서울 중구
","2022.06.04.","0"
"1","맛은 그저그렇고요 불친절함은 덤이네요.정통도 아니고 진짜 평양냉면을드시고 싶으면 다른 곳 가세요 돈 써가면서. 굳이 여기를 갈 이유는 없어요.","https://place.map.kakao.com/13093208","평양면옥","냉면","3.2","서울 중구
","2022.05.29.","0"
"1","음식은 맛으로만 먹는 게 아닙니다. 불러도 잘 안오고 대기손님있으면 나가라고 눈치줍니다. 굳이 내 돈 써가면서 눈치밥을 먹을 필요가 있나 싶네요. 이곳 아니더라도 맛있고 친절한 집 많습니다. 주차나 동선 때문에 고르지는 마세요","https://place.map.kakao.com/13093208","평양면옥","냉면","3.2","서울 중구
","2022.05.29.","0"
"3","평양면옥을 좋아하는 지인 따라 여러번 방문하였음. 갈때마다 신경을 집중해서 '맛'을 찾아내려 노력하지만 아직도 내게는 아리송한 평양냉면의 맛","https://place.map.kakao.com/13093208","평양면옥","냉면","3.2","서울 중구
","2022.05.29.","0"
"5","이 나라 두번째 평양냉면집","https://place.map.kakao.com/13093208","평양면옥","냉면","3.2","서울 중구
","2022.05.28.","1"
"5","샤슬릭 정말 맛있고 직원들도 불친절하진 않았는데 평점이 그냥 그래서 의아.","https://place.map.kakao.com/16989098","사마르칸트","아시아음식","3.3","서울 중구
","2022.05.26.","1"
"4","가격 대비 양이 좀 적었지만 외국음식점이니 그정도는 이해합니다!! 가족이서 하시는 것 같은데 보기 좋았습니다~ 음식도 맛있었어요! 서비스나 맛이나 흠잡을 것도 없고 제가 갔을 땐 중학생 아들이 마스크 잘 쓰고 서빙했습니다! 전 다음에 다른 메뉴도 먹어보러 갈 의향 있어용~","https://place.map.kakao.com/16989098","사마르칸트","아시아음식","3.3","서울 중구
","2022.05.22.","1"
"3","'양고기와 감자'에 들어있는 양고기는 다소 질겼고 기름도 너무 많았음.  양고기샤슬릭은 먹을만했음. 당근라페 추가 4,500원인데 기본으로 주는 양이 너무 적었음.  여기 인심도 예전같지 않은 듯.. ","https://place.map.kakao.com/16989098","사마르칸트","아시아음식","3.3","서울 중구
","2022.05.15.","0"
"2","샤슬릭과 쌈사 그리고 소고기 돈까스 시켰는데 쌈사는 겉빵?튀김이 너무 딱딱하고 질겼네요... 샤슬릭은 맛있었고 소고기 돈까스도 나름 괜찮았는데 매장 위생과 직원마스크교육 철저히 했으면 합니다 ㅠ 중학생정도로 보이는 직원이 서빙하는것을 보아하니 패밀리 비즈니스인거같은데 음식을 마스크 안쓰고 가져다주니 먹는내내 영 기분이 찝찝했어요..","https://place.map.kakao.com/16989098","사마르칸트","아시아음식","3.3","서울 중구
","2022.04.24.","0"
"1","카이막을 시킬때 기대했던 카이막이 아닐 수 있으니 주의하세요………","https://place.map.kakao.com/16989098","사마르칸트","아시아음식","3.3","서울 중구
","2022.04.16.","0"
"1","맛은있는데 서비스가. 0점. 가격이 싼거도아닌데. 참..  부모님이 좋아하셔서 가지 안그랬으면 탈락. ","https://place.map.kakao.com/8174854","오장동흥남집 본점","냉면","3.6","서울 중구
","2022.06.06.","0"
"1","가격을 너무 비싸게 받는  음식점중 하나","https://place.map.kakao.com/8174854","오장동흥남집 본점","냉면","3.6","서울 중구
","2022.06.05.","0"
"4","왜 사람들 많이 오는지 알겠어요 삼삼한듯 간이 맞아 맛있었음","https://place.map.kakao.com/8174854","오장동흥남집 본점","냉면","3.6","서울 중구
","2022.06.01.","1"
"3","가격이 조금 과한편이나, 맛만 보자면 괜찮음!","https://place.map.kakao.com/8174854","오장동흥남집 본점","냉면","3.6","서울 중구
","2022.05.31.","0"
"1","어르신들 정말 많았는데 진짜 맛이 있을수가 없는데 싶은맛이라 그게 신기했음. 정말 유명한 냉면집 많이댕겨봤었는데.. 제일 별로인 정도에도 안낄정도 아무리 호불호 있는걸 감안하더라도 이름바꿔 동네에신장개업 새로함 진짜 손님 없을것 같은데 과거 유명세인가 싶었음.. ","https://place.map.kakao.com/8174854","오장동흥남집 본점","냉면","3.6","서울 중구
","2022.05.25.","0"
"3","월병은 역시 맛이 좋았는데 쿠키가 정말 꽝이었습니다. 버터에서 고소함을 빼고 느끼함만 남음. ","https://place.map.kakao.com/8552691","태극당","제과,베이커리","3.3","서울 중구
","2022.06.06.","0"
