"personal_star","review","url","title","category","total_star","location","review_date","label"
"5","처음에 아무것도모르고 이곳에 끌려왔을때는 여기가 원망스러웠습니다 극단적인 버섯주의자들이 올것같은 버섯반찬 버섯물 버섯가게이름 등등 샤브고기도 상태가안좋았고  코로나가 한창때여서 그럴수도있겠지만 어쨋든 다신 안오겠다생각했어요  하지만 종종지나가며 건강한버섯과 버섯주의자 사장님의 열정이 떠오르며 재방문하였는데 역시나 너무 만족스러웠습니다  버섯에대한 열정과 집...","https://place.map.kakao.com/8313639","버섯잔치집","샤브샤브","4","서울 강동구
","2022.06.02.","1"
"4","담백하고 맑은 샤브샤브도 맛있을 수 있음을 보여주는 맛집. 상호명 “버섯잔치”집 에서도 알 수 있듯 모든 메뉴가 버섯이다. 버섯으로 가득한 샤브샤브를 먹으면서 사이드로 버섯탕수육을 먹고, 동충하초차 또는 영지버섯차를 마시면서 리뷰를 쓰면 주시는 노루궁뎅이 버섯을 뽑아 참기름장에 찍어먹으면 내가 버섯인지 버섯이 나인지 싶은 생각이 든다. 건강식의 입장에서 바...","https://place.map.kakao.com/8313639","버섯잔치집","샤브샤브","4","서울 강동구
","2022.05.20.","1"
"5","친구하고 버섯샤브먹었는데 맛있게먹었어요","https://place.map.kakao.com/8313639","버섯잔치집","샤브샤브","4","서울 강동구
","2022.05.14.","1"
"5","노루궁뎅이 대존맛 엄빠가 조아라함 나도 조음 버섯탕슈육 생각외로 맛있어서 더조아","https://place.map.kakao.com/8313639","버섯잔치집","샤브샤브","4","서울 강동구
","2022.04.21.","1"
"5","지인들에게 추천하는 맛집. 가족들 데려와서 같이 먹었는데 다들 맛있다고 엄청 좋아했어요.  심지어 추가 포장도 하고, 판매하시는 술도 따로 구매했어요. 부모님이 너무 좋아하세요.  강동구 오면 꼭 들르고싶다고 매번 말씀하십니다. ","https://place.map.kakao.com/8313639","버섯잔치집","샤브샤브","4","서울 강동구
","2021.11.24.","1"
"5","냠 난 맛있던데","https://place.map.kakao.com/16906476","수라연","한정식","2.3","서울 강동구
","2022.04.09.","1"
"2","리필에 인색함","https://place.map.kakao.com/16906476","수라연","한정식","2.3","서울 강동구
","2022.03.05.","0"
"1","역시나, 반찬 종류도 줄고 허접한 반찬에 맛 또한 별로,  동네에서 가깝고 해서  손님모시고 갔는데  이건뭐 ~~~ 반찬 리필 된다선전하고 리필 안된다고  손님보기 민망해서,  나 참~~~ 정말 본전생각나게 한 음식점. ","https://place.map.kakao.com/16906476","수라연","한정식","2.3","서울 강동구
","2022.01.15.","0"
"1","무서워서 못가겠어요.전에도 음식이 별로라 먹다 나왔는데 안가다가 아산병원에 들려서 부모님 모시고 가려는데 안되겠네요.여전히 계선이 안되어 보이네요","https://place.map.kakao.com/16906476","수라연","한정식","2.3","서울 강동구
","2021.09.05.","0"
"1","양배추에서 겨드랑이털인지 거시기털같은 꼬불꼬불한털이 나와서 입맛이 뚝떨어져서 항의하고 식사도중에 그냥나오는데 먹지도않은 추가한밥값까지 다 받아쳐 먹네요~ 잘먹고 잘살아라~","https://place.map.kakao.com/16906476","수라연","한정식","2.3","서울 강동구
","2021.09.04.","0"
"5","맛있고 친절합니다! 평일에도 웨이팅은 짧지만 있는 편이고 아쉬운 점 한 가지는 화장실이 외부라는 것 ^_ㅠ 옛날 건물이지만 깔끔해서 괜찮긴해요!","https://place.map.kakao.com/565792969","갓잇 올림픽공원점","멕시칸,브라질","3.9","서울 강동구
","2022.05.04.","1"
"3","웨이팅있으니  테이블링  예약하는게  좋아요 매콤 ㆍ짭잘  자극적인맛","https://place.map.kakao.com/565792969","갓잇 올림픽공원점","멕시칸,브라질","3.9","서울 강동구
","2022.05.02.","0"
"5","주말 웨이팅 길지만 너무 맛있어요..","https://place.map.kakao.com/565792969","갓잇 올림픽공원점","멕시칸,브라질","3.9","서울 강동구
","2022.03.27.","1"
"1","큰 바퀴벌레가 바닥부터 벽을 타고 올라오는 모습 발견. 식탁 바로 옆 벽을 오르는 모습 넘 충격적  식사하는 손님 바로 옆에서 파리채로 바퀴벌레 잡음;","https://place.map.kakao.com/8165290","화진포막국수 강동구청점","국수","3.6","서울 강동구
","2022.05.28.","0"
"5","화진포 생각난 명태 식해","https://place.map.kakao.com/8165290","화진포막국수 강동구청점","국수","3.6","서울 강동구
","2022.04.12.","1"
"4","맛있다. 동치미는 시원하고 비빔은 맵지 않고 백김치, 배추김치 등 밑반찬도 맛있다. 음식 잘 하는 집 맞다.","https://place.map.kakao.com/8165290","화진포막국수 강동구청점","국수","3.6","서울 강동구
","2022.04.10.","1"
"5","고등학생때 부터 다니 빵집이에요 그때부터 일하시는 직원분들 아직도 계시고 빵맛도 너무 좋아요ㅎㅎ 제가 제일 좋아하는 노아샌드위치 이거 가시면 꼭 드셔보세요 강추 아 그리고 이집 크로플도 진짜 맛있어요 케익은 피스라 아쉽지만 까망베르치즈케익 강추에요","https://place.map.kakao.com/1319161148","브랜뉴하이몬드","디저트카페","3.2","서울 강동구
","2022.06.03.","1"
"5","전에 배달하러 왔다가 중년의 매니저? 사장님? 같은 분의 진지하면서도 친절하신 부분이 기억나 들렀습니다.(오늘 계시진 않았어요) 카페 자체를 자주는 안 가고 저렴이만 주로 가서 대충 가격대를 알아보고 일회성으로 가자 마음먹고 갔으나 공간이 생각보다 괜찮고 깔끔했어요. 다음에 또 들를 마음이 있습니다. 음료와 빵 모두 평균 이상은 한다고 느꼈어요.","https://place.map.kakao.com/1319161148","브랜뉴하이몬드","디저트카페","3.2","서울 강동구
","2022.04.16.","1"
"5","이거지~","https://place.map.kakao.com/1319161148","브랜뉴하이몬드","디저트카페","3.2","서울 강동구
","2022.04.15.","1"
"5","그냥 우연히 간 카페인데 만족스러웠음 낄낄 음료값이 비싸다고 생각했는데 양이 많아서 ㄱㅊ","https://place.map.kakao.com/1319161148","브랜뉴하이몬드","디저트카페","3.2","서울 강동구
","2022.04.07.","1"
"1","인근 상가건물보러갔다가 상권분석한다고 들림.  1. 위치는 강동구이나  강남구같은 자리값을 빵 하나 하나에 포함시켰음.  2. 팥빙수 라지(10900원) 시켜도 팥양이 적음.  팥빙수만 사이즈 두가지로 스몰 라지인데. 라지 팥양이 스몰 대비 두세 티스푼 더 주는 정도랄까.  그런데 올 때 마다 빙수의 팥양이 다름. 적거나 더 적거나.  팥 적량을 물어보니 ...","https://place.map.kakao.com/1319161148","브랜뉴하이몬드","디저트카페","3.2","서울 강동구
","2022.04.06.","0"
"5","맛있었는데 없어졌어요ㅠ","https://place.map.kakao.com/194161963","하다식당 (휴업중)","일식집","4.6","서울 강동구
","2022.05.23.","1"
"5","돈까스 진짜 너무 맛있습니다~! 1인 식당이어서 그런지 재료가 부족할땐 밥 추가 같은건 안되네요ㅠ","https://place.map.kakao.com/194161963","하다식당 (휴업중)","일식집","4.6","서울 강동구
","2022.05.08.","1"
"5","참으로 나만 알고픈 맛집. 혼자 운영하시는 젊은 사장님은 그야말로 고군분투 하시며 극강의 맛을 선사해주십니다.","https://place.map.kakao.com/194161963","하다식당 (휴업중)","일식집","4.6","서울 강동구
","2022.04.01.","1"
"5","너무 맛있어요, 저녁 오픈이 6시인데 오픈 할 때부터 한바퀴는 채워지는 집입니다 ㅋㅋ 여기서 더 유명해지지 말아요.. 웨이팅은 이정도면 충분해...  ㅋㅋ  사장님 건강 잘 챙기시고 오래오래 영업하세여~ ","https://place.map.kakao.com/194161963","하다식당 (휴업중)","일식집","4.6","서울 강동구
","2022.02.21.","1"
"3","가야는이유 : 묵호항 스타일 물회 안가는이유 : 씹기엔 질긴  산오징어물회냉면 : 매콤하고 시원한 국물에 보통이어도 양도 적당히 괜찮은, 맛은 다소 평이하고 오징어회가 씹기에 질긴 느낌  평일 오픈 시간에 마지막 테이블 착석, 입구쪽 포스트잇으로 대기표 수령","https://place.map.kakao.com/8116732","최냉면","냉면","3.4","서울 강동구
","2022.05.26.","0"
"4","오징어가 맛에 크게 기여를 하진 않았던것 같지만 양배추 채썬거 엄청 많아서 배불렀고 맛있었어요:)","https://place.map.kakao.com/8116732","최냉면","냉면","3.4","서울 강동구
","2022.01.09.","1"
"4","신맛이 강한편이지만 면도 꼬들하고 양도 많고 맛있움 ㅋㅋㅋ","https://place.map.kakao.com/8116732","최냉면","냉면","3.4","서울 강동구
","2021.05.24.","1"
"5","진짜…맛있다…진짜…양념말고 매운거…진짜 존…..나….맛있다","https://place.map.kakao.com/19567420","풍년상회쪽갈비","갈비","4.5","서울 강동구
","2022.04.18.","1"
"5","맛있었어요!!!!! ","https://place.map.kakao.com/19567420","풍년상회쪽갈비","갈비","4.5","서울 강동구
","2022.01.11.","1"
"4","가성비 마늘떡볶이~ 국물은 젤라틴 같은 느낌.특이한 마늘맛","https://place.map.kakao.com/11807034","셀프하우스","분식","3","서울 강동구
","2022.05.22.","1"
"5","유명한 이유가 있죱","https://place.map.kakao.com/11807034","셀프하우스","분식","3","서울 강동구
","2022.04.11.","1"
"2","다른 동네 사는 사람들이 오해하는 것 같아 몇 자 씀. 25년 정도 살았는데 이 집은 예전에도 그렇게 친절한 집은 아니었음. 그리고 마늘향이 특이한 집이지 맛있는 집은 아님. (철도 씹어 먹었을 그 나이에도 맛있다는 생각은 안 했었음.) 여고 앞에 있어서 그냥 추억으로 가는 집임. 지나가다 보이면 가보고 일부러 찾아 가지는 마세요. 좀 부끄러워.....우리...","https://place.map.kakao.com/11807034","셀프하우스","분식","3","서울 강동구
","2022.01.30.","0"
"2","여긴 순대맛집임 떡볶이는 진짜 뭔가 싶을정도로 맛없는데 순대가 잡내 하나도없고 세상맛있음","https://place.map.kakao.com/11807034","셀프하우스","분식","3","서울 강동구
","2021.12.28.","0"
"4","맛은 있습니다~","https://place.map.kakao.com/2144775169","데카망","일식","4.2","서울 강동구
","2022.06.04.","1"
"2","가성비 텐동 튀김자체는 꽤나 별로임 재료구성은 괜찮은듯 음식이 다 식어서 나옴","https://place.map.kakao.com/2144775169","데카망","일식","4.2","서울 강동구
","2022.05.24.","0"
"4","가성비좋은 텐동집 특출난 맛은 아니나 기본 텐동이 만원이면 근처 사는 사람들은 먹으러 올만함 ","https://place.map.kakao.com/2144775169","데카망","일식","4.2","서울 강동구
","2022.05.24.","1"
"2","맛 쏘쏘. 기대했는데 아쉬움. 밑밑분 말씀처럼 30분 다 되서 음식 나옴. 다같이 늦게 나오면 여기가 늦게 나오는 곳인가보다 할텐데 나보다 늦게 착석하고, 주문한 사람들 음식이 먼저 나오니 어이가 없었음ㅋㅋㅋㅋㅋ 내 옆 사람들은 주문한지 10분정도만에 나옴. 내가 왜 안냐오냐고 물으니 이제 내꺼 나간다고 말함ㅋㅋㅋㅋ 적어도 늦게 나오면 미안하다고 해야되는게...","https://place.map.kakao.com/2144775169","데카망","일식","4.2","서울 강동구
","2022.05.24.","0"
"1","싼맛에 가는곳. 어린친구들만 주로^^","https://place.map.kakao.com/71322822","스시마에","초밥,롤","4.3","서울 강동구
","2022.04.21.","0"
"5","쥰나 맛있습니다 ㅎㅎ 가성비가 좋다고 느꼈고 입문 오마카세로도 좋을거같아요 !! 깨끗하고 친절하셨습니당 ","https://place.map.kakao.com/71322822","스시마에","초밥,롤","4.3","서울 강동구
","2022.02.10.","1"
"4","가성비 괜찮아요 두번째방문~","https://place.map.kakao.com/71322822","스시마에","초밥,롤","4.3","서울 강동구
","2021.12.05.","1"
"5","가성비도 좋고 맛있는 오마카세입니다! 자주 오게 될 것 같아요~","https://place.map.kakao.com/71322822","스시마에","초밥,롤","4.3","서울 강동구
","2021.11.09.","1"
"5","맛있고 셰프님이 너무 친절하십니다. 제가 가봤던곳중 셰프님이 가장 친절하시고 인상이좋으셨습니다  음식도 맛있습니다ㅎㅎ","https://place.map.kakao.com/71322822","스시마에","초밥,롤","4.3","서울 강동구
","2021.08.29.","1"
"5","만둣국 맛있게 잘 먹었습니다","https://place.map.kakao.com/10035983","평양만두집","분식","4","서울 강동구
","2022.04.20.","1"
"5","담백하고 맛있음 두부 많이 들어간 딱 그 만두맛임","https://place.map.kakao.com/10035983","평양만두집","분식","4","서울 강동구
","2022.03.07.","1"
"5","넘 맛있어요~~","https://place.map.kakao.com/10035983","평양만두집","분식","4","서울 강동구
","2021.11.09.","1"
"3","만두국 맛있어요. 남자사장님 불친절한거빼면 다 만족스러워요~","https://place.map.kakao.com/10035983","평양만두집","분식","4","서울 강동구
","2021.11.04.","0"
"5","아인슈페너 블랙 + 레모니 = ♥ 맛이며 분위기며 사람 행복해지는 공간이에요:)","https://place.map.kakao.com/448338392","성내동커피집 온온","카페","4.4","서울 강동구
","2022.02.20.","1"
"3","Latte","https://place.map.kakao.com/448338392","성내동커피집 온온","카페","4.4","서울 강동구
","2022.02.11.","0"
"4","햇살 좋은 곳. 라떼 너무 맛있다","https://place.map.kakao.com/448338392","성내동커피집 온온","카페","4.4","서울 강동구
","2022.02.08.","1"
"1","여기 와이파이 이상하지 않나요? 맨날 연결 안되고 암튼 와이파이 개 이상함 ㅜ;;; ","https://place.map.kakao.com/1255094197","스타벅스 강동구청DT점","커피전문점","3.4","서울 강동구
","2022.04.30.","0"
"1","주말(일요일) 오후 12시 반쯤 드라이빙스루 주문받는 여자분 서비스직 다시생각해보셨으면합니다 말투 자체에서 나오는 짜증스러움, 공격성이 사람 굉장히 기분나쁘게하네요. 집 바로앞이라 정말 자주가는데 이렇게 싸가지없는분은 처음이네요. 그 누구의 잘못도 아니였고 어플 통신 오류인거같은데 제잘못처럼 얘기하는 태도가 매우 불쾌했습니다 결국 해결도 제가했고요 ㅋㅋ 다...","https://place.map.kakao.com/1255094197","스타벅스 강동구청DT점","커피전문점","3.4","서울 강동구
","2022.03.20.","0"
"5","강동구청 앞이라서 접근성도 좋고 사들고 근처 영화관으로 가면 딱 좋아요! ","https://place.map.kakao.com/1255094197","스타벅스 강동구청DT점","커피전문점","3.4","서울 강동구
","2021.12.30.","1"
"2","스팀우유인가요...? 라떼인가요...? 색깔은 라떼인데...맛은 그냥 우유...다른 스벅은 안 그런데 여기는 좀 그렇네요.","https://place.map.kakao.com/1255094197","스타벅스 강동구청DT점","커피전문점","3.4","서울 강동구
","2021.12.19.","0"
"4","구웃","https://place.map.kakao.com/1255094197","스타벅스 강동구청DT점","커피전문점","3.4","서울 강동구
","2021.10.06.","1"
"4","음식이 양은 많지 않은 듯 해요.  재료는 확실히 싱싱해요. 코스 요리가 개인별 그릇에 나눠져 나오는 게 특이해요.  다만 연예인 부부가 운영하는 데라서 한번 가볼 만한 거 같아요.","https://place.map.kakao.com/12444560","차이나린찐","중화요리","2.5","서울 강동구
","2022.06.09.","1"
