"personal_star","review","url","title","category","total_star","location","review_date","label"
"3","맛과 양 준수합니다. 갈비탕 고기도 괜찮습니다.","https://place.map.kakao.com/14701954","하누소 창동본점","한식","2.3","서울 도봉구
","2022.06.03.","0"
"1","최악의 서비스.  처음 고기올리고 구워주다 잠깐 전화받으러 간다면서 잘 뒤집고 있으라고 한 뒤 다 먹을때까지 안들어옴. 그냥 잘 익혀드세요 라고했으면 이해라도 하겠는데 벨은 2분간격으로 4번이상 눌러야 옴. 추가주문도 까먹고. 뭘 더 바라겠나요. 안가는게 상책입니다. 돈아껴드린거에요. 고기드시려면 강강술래나 다른데가세요.","https://place.map.kakao.com/14701954","하누소 창동본점","한식","2.3","서울 도봉구
","2022.05.17.","0"
"1","맛은 그닥인데 서비스 왕개판ㆍ 차라리 신라면 블랙을 먹는게 낫다","https://place.map.kakao.com/14701954","하누소 창동본점","한식","2.3","서울 도봉구
","2022.05.08.","0"
"3","리모델링후 매우 모던한 분위기로 탈바꿈해 좋았으나 불편한 디자인의 수저와 포크,받침이나 종이없이 식탁위에 바로 셋팅되는 수저와 나이프,호출을 해야 받을 수 있는 냅킨등 조금씩 아쉬움이 있었어요 커피맛도 개선이 필요 해 보입니다 직원들은 친절 했고 조경이 아주 훌륭해서 그것을 즐기신다면 그 모든 것을 상쇄할 수 있을듯 합니다","https://place.map.kakao.com/18145655","메이다이닝","양식","3.4","서울 도봉구
","2022.05.15.","0"
"5","스테이크와 피자 모두 맛있었습니다. 아주요! 야외 분재들을 보며 멋진 외양간 같은 카페에서 즐기눈 커피도 훌륭했습니다^!^","https://place.map.kakao.com/18145655","메이다이닝","양식","3.4","서울 도봉구
","2022.02.25.","1"
"3","에어컨이 지나치게 빵빵.  음악소리가 볼륨이 좀 큼.  나머지 굿","https://place.map.kakao.com/18145655","메이다이닝","양식","3.4","서울 도봉구
","2021.09.12.","0"
"3","주방이 너무 시끄러워요.! 식사하는데 방해되요! 욕하는 소리가 홀로 넘쳐흐르는건 심하잖아요.. 음식 맛은 좋은데....","https://place.map.kakao.com/18145655","메이다이닝","양식","3.4","서울 도봉구
","2021.07.23.","0"
"3","뛰어난 자연속에 자리한 카페 메이다이닝..! 당찬포부와 다르게 투자가 이루어지지 않은 말그대로 뛰어난 자연 밖에없음...  참고로 여기 아메리카노 7천원인데 반샷 같았음 투자좀 하면 발전가능성 높아보임ㅋ","https://place.map.kakao.com/18145655","메이다이닝","양식","3.4","서울 도봉구
","2021.07.03.","0"
"1","☆점수기준표☆  5개- 맛있다! 자주 갈만하다 4개- 특정메뉴가 땡기는데 여기정도면 갠춘 3개- 뭐 그냥저냥 먹을만 함 2개- 재방문은 그닥? 1개- 이게 음식인가? 컵라면이 나음  여기가 도봉구 최고맛집에 블루리본서베이를 몇년째달고있다는게 한숨이 나올 지경이다 심지어 캐치테이블로 예약해야함  캐치테이블이랑 블루리본 신뢰도 급하락  1. 5명가는데 4명자리...","https://place.map.kakao.com/13091152","무수옥","육류,고기","3.4","서울 도봉구
","2022.05.12.","0"
"2","설렁탕은 밍밍하고, 육회는 다진고기마냥 조사놔서 씹는맛이없다. 노포의 숙성된 맛을 기대하고갔으나 실망.","https://place.map.kakao.com/13091152","무수옥","육류,고기","3.4","서울 도봉구
","2022.05.05.","0"
"4","가격이 사악하지만 맛있어서 용서","https://place.map.kakao.com/13091152","무수옥","육류,고기","3.4","서울 도봉구
","2022.02.27.","1"
"1","가격은 철철이 올리네   매스컴만 탓다하면 가격부터 올리고보는 이나라 장사치들.","https://place.map.kakao.com/13091152","무수옥","육류,고기","3.4","서울 도봉구
","2022.02.09.","0"
"1","값도 비싸고 양도 적고 김치도 많이 먹지 못하게 하려는건지 짜서 제대로 먹지도 못하고 이걸 만천원 내고 줄서서 먹는지 이해가 안감","https://place.map.kakao.com/13091152","무수옥","육류,고기","3.4","서울 도봉구
","2021.11.12.","0"
"3","양은 괜춘 맛도 괜춘한데 약간 호불호 있을듯  좀 과하게 시끄러워 자리는 구석에 잡으세요  친구끼리 술한잔 하기 좋음 가족끼리는 좀  생기있다 해야하나 살아있다?","https://place.map.kakao.com/19453370","동적불고기&깡통구이 쌍문점","불고기,두루치기","4.4","서울 도봉구
","2022.06.04.","0"
