"personal_star","review","url","title","category","total_star","location","review_date","label"
"3","을밀대도 꽤 오래 다니고, 을밀대가 싫은건 절대 아니지만서도 개취는 육향이 약해서 아쉬움이 쫌 있는(육수 제조법이 다른 집과 다르기에). 그래도 오랫동안 계속 간다는건 내게도 매력적인 평랭 노포인 것은 확실~!  을밀대 평랭과 살짝 비슷하면서도(사골이 육수에 들어간다는 점, 가게마다 농도 차이 있음) 다른 결에 또 하나의 이북 냉면을 맛보고 싶다면 백령도 ...","https://place.map.kakao.com/25048467","을밀대 본점","냉면","4","서울 마포구
","2022.06.06.","0"
"4","맛은 있지만 불친절,,,그리고 반찬류 간이 좀 쎄요 그치만 평냉은 진짜 맛있습니다","https://place.map.kakao.com/25048467","을밀대 본점","냉면","4","서울 마포구
","2022.06.04.","1"
"5","을밀대 사랑해요. 외국에 있으면 제일 생각나는 집.","https://place.map.kakao.com/25048467","을밀대 본점","냉면","4","서울 마포구
","2022.05.27.","1"
"1","감흥이 없다. 이런 걸 13000원씩 받아 쳐 먹다니... 별 하나도 아깝다.","https://place.map.kakao.com/25048467","을밀대 본점","냉면","4","서울 마포구
","2022.05.27.","0"
"5","브런치 메뉴 강추여ㅜㅜ","https://place.map.kakao.com/447132083","어반플랜트 합정","카페","4.2","서울 마포구
","2022.06.07.","1"
"5","엄마 모시고 또왔어요! 엄마가 넘조아하셔서 더좋네여 엄마와 데이트코스 강추♡","https://place.map.kakao.com/447132083","어반플랜트 합정","카페","4.2","서울 마포구
","2022.06.04.","1"
"5","에이드 수제느낌 물씬 파스타는 고급진맛ㅋㅋ샐러드 버거도맛나여 분위기는 가본곳중 원탑이에영!!!","https://place.map.kakao.com/447132083","어반플랜트 합정","카페","4.2","서울 마포구
","2022.06.03.","1"
"5","식물원에 온것 같아서 너무 좋아요! 그리고 향기가 너무 좋아요!  매번 기분이 좋아져서 자주 놀러와요! :)","https://place.map.kakao.com/447132083","어반플랜트 합정","카페","4.2","서울 마포구
","2022.06.02.","1"
"5","편안한 분위기에서 커피 마실수 있어서 좋아요","https://place.map.kakao.com/447132083","어반플랜트 합정","카페","4.2","서울 마포구
","2022.06.02.","1"
"2","머리 풀어헤친 직원이 맨손으로 케익꺼내서 포장해줌 위생이 의심된다 ","https://place.map.kakao.com/26235884","피오니 홍대점","카페","3.8","서울 마포구
","2022.06.08.","0"
