"personal_star","review","url","title","category","total_star","location","review_date","label"
"5","여기만큼 족발 맛있는지 없음","https://place.map.kakao.com/11190567","뽕나무쟁이 선릉본점","족발,보쌈","4.1","서울 강남구
","2022.06.08.","1"
"4","족발 최고. 양념이 더 맛있어요. ","https://place.map.kakao.com/11190567","뽕나무쟁이 선릉본점","족발,보쌈","4.1","서울 강남구
","2022.05.21.","1"
"5","저녁에 퇴근한 선릉 직장인들 다 여기있는듯 ","https://place.map.kakao.com/11190567","뽕나무쟁이 선릉본점","족발,보쌈","4.1","서울 강남구
","2022.04.16.","1"
"2","와 이렇게 변할 수 있을까 ㅡ?  예전에 그 맛있고 쫀득한 식감   다 사라지고 최근에  그냥 그냥 그저 그런 족발집으로 순식간에 변했다   그 많던 손님들도 발 끊기고 ㅠㅠ  가격만 올리지 말고 반성 좀 합시다   예전에 그 맛있는 족발 기대하고   갔었는데 ㅠㅠ  ","https://place.map.kakao.com/11190567","뽕나무쟁이 선릉본점","족발,보쌈","4.1","서울 강남구
","2022.03.05.","0"
"5","테이블링 이런거 없어요 오자마자 벽 한 쪽에 인원 쓰고 대기해야함 본관 별관 각각 대기하고요 따로따로임 현관문 근처에 대기쓰기판이 있어요   먹는 돼지국밥에는 냄새안나는데 부엌에서 잡내가 느껴질때가 있어요 고기가 야들야들 부들부들 미쳤어요 녹아요  팁에서 매운거 저거 양념 덜고 먹으래서 그렇게 먹으니까 안 짜고 좋아요 추천","https://place.map.kakao.com/17163273","농민백암순대 본점","국밥","4.3","서울 강남구
","2022.05.26.","1"
"5","고기 양이 푸짐하고 정말 맛있어요   ","https://place.map.kakao.com/17163273","농민백암순대 본점","국밥","4.3","서울 강남구
","2022.05.26.","1"
"4","적당한 퀄리티의 안심과 채끝 ","https://place.map.kakao.com/21306153","경천애인2237 삼성본점","육류,고기","4.1","서울 강남구
","2022.06.04.","1"
"5","육회비빔빕 미쳤어용......","https://place.map.kakao.com/21306153","경천애인2237 삼성본점","육류,고기","4.1","서울 강남구
","2022.04.05.","1"
"4","서버분들 친절하시고 고기도 맛있어요! 개인적으로는 한와담이나 창고보다 여기가 더 맛있었고, 등심보다는 안심이나 채끝이 맛있었습니다. 그렇지만 동치미국수는 가성비가 별로네요 고기 먹고 개운한거 먹으려고 시켰는데 재방문 한다면 동치미국수는 안 먹을 것 같아요 인테리어는 그냥 회식 식당같습니다","https://place.map.kakao.com/21306153","경천애인2237 삼성본점","육류,고기","4.1","서울 강남구
","2022.03.07.","1"
"4","늘맛있었는데...뼈찜에서 그동안안나던 돼지 잡내가 가서 별하나깎음...","https://place.map.kakao.com/11356521","신동궁감자탕뼈숯불구이 선릉직영점","감자탕","3.5","서울 강남구
","2022.05.07.","1"
"4","맛있고 맛있음 매워서 물 1리터 먹고 배부른집","https://place.map.kakao.com/11356521","신동궁감자탕뼈숯불구이 선릉직영점","감자탕","3.5","서울 강남구
","2022.01.01.","1"
"5","짬뽕 먹을때마다 원하는 진한 국물. 낙지 작은것 한마리 들어있음. 혼자 갔는데도 밥 더 줄수 있다고 신경써주시고 친절하심.","https://place.map.kakao.com/18283045","마담밍 선릉점","중화요리","4.3","서울 강남구
","2022.06.09.","1"
"5","기분좋아지는 맛집","https://place.map.kakao.com/18283045","마담밍 선릉점","중화요리","4.3","서울 강남구
","2022.05.31.","1"
"5","일하시는 분들이 따뜻하고 친절하셔서 맛있게 잘 먹었어요","https://place.map.kakao.com/18283045","마담밍 선릉점","중화요리","4.3","서울 강남구
","2022.05.30.","1"
"1","리뷰","https://place.map.kakao.com/12890589","김돈이 본점","육류,고기","3.9","서울 강남구
","2022.05.21.","0"
"4","사장님잘먹구갑니당","https://place.map.kakao.com/12890589","김돈이 본점","육류,고기","3.9","서울 강남구
","2022.04.06.","1"
"5","너무너무맛있어요^ㅡ^","https://place.map.kakao.com/12890589","김돈이 본점","육류,고기","3.9","서울 강남구
","2022.03.31.","1"
"1","별점에 속았어요 ㅠ","https://place.map.kakao.com/163803143","마초갈비 선릉역점","갈비","4.2","서울 강남구
","2022.05.17.","0"
"5","밑반찬이 다양하게 여러가지로 즐길 수 있고 양도 많아서 아주 배부르게 먹을수 있었어요","https://place.map.kakao.com/163803143","마초갈비 선릉역점","갈비","4.2","서울 강남구
","2022.04.25.","1"
"5","갈비가 진짜 맛있고, 후식으로 나오는 냉면이랑 된장찌개도 전부 넘 맛있어용~!! 상차림부터 서비스까지 만족스럽고 또 가고싶어용!!!","https://place.map.kakao.com/163803143","마초갈비 선릉역점","갈비","4.2","서울 강남구
","2022.04.18.","1"
