"personal_star","review","url","title","category","total_star","location","review_date","label"
"3","가격대는 있는데 맛은 괜찮았어요!","https://place.map.kakao.com/647318999","락희안 목동점","중화요리","4","서울 양천구
","2022.05.26.","0"
"4","누룽지탕보다 꿔바로우가 대박 맛있었음! 직원분들은 대체로 츤데레이신듯. 무뚝뚝해 보이다가도 파채나 짜사이가 떨어지면 갑자기 와서 스윽 챙겨주심!","https://place.map.kakao.com/647318999","락희안 목동점","중화요리","4","서울 양천구
","2022.05.15.","1"
"1","꿔바로우는 돼지냄새나고 짜장은 된장냄새 진짜 실망이네요 거기에 카운터는 상당히  불친절합니다!","https://place.map.kakao.com/647318999","락희안 목동점","중화요리","4","서울 양천구
","2022.05.15.","0"
"5","잘 먹고 갑니다.","https://place.map.kakao.com/647318999","락희안 목동점","중화요리","4","서울 양천구
","2022.05.14.","1"
"4","먹을만함 찾아가서 먹었는데 실망안햇음","https://place.map.kakao.com/647318999","락희안 목동점","중화요리","4","서울 양천구
","2022.05.08.","1"
"3","씨푸드뷔페라긴 좀... 왜 씨푸드 굳이  적어놨지?싶음. 초밥개수적고 괜찮은 회가 있는것도 아니고 쿠ㅇㅋㅇ가 더 나음. 바로 접시치워주는거는 괜춘.","https://place.map.kakao.com/1474166020","더 아리엘 목동점","뷔페","3.1","서울 양천구
","2022.05.25.","0"
"5","평일 점심에 가면 가성비 매우 만족","https://place.map.kakao.com/1474166020","더 아리엘 목동점","뷔페","3.1","서울 양천구
","2022.05.14.","1"
"5","평일 점심에 가면 가성비 매우만족","https://place.map.kakao.com/1474166020","더 아리엘 목동점","뷔페","3.1","서울 양천구
","2022.02.02.","1"
"3","스테이크줄 새치기(친구한명 줄세우고 차례되면 접시 밀어넣는 얍삽한 놈) 조치 바랍니다. 고기 줄때 확인하고 주세요. 장시간 줄서있는 사람들 바보 아니에요.","https://place.map.kakao.com/1474166020","더 아리엘 목동점","뷔페","3.1","서울 양천구
","2022.01.16.","0"
"4","가격대비는 좀 아쉽지만 그래도 맛있게 먹었어요 ","https://place.map.kakao.com/1474166020","더 아리엘 목동점","뷔페","3.1","서울 양천구
","2021.12.04.","1"
