"personal_star","review","url","title","category","total_star","location","review_date","label"
"5","여긴 진짜 옛날고깃집이다.. 입구부터 오오라가 느껴짐","https://place.map.kakao.com/12405045","고바우","육류,고기","3.9","서울 구로구
","2022.03.07.","1"
"1","예전맛이 아닌....","https://place.map.kakao.com/12405045","고바우","육류,고기","3.9","서울 구로구
","2022.01.30.","0"
"5","4년 전에 처음 빠진 이후로 지금까지도 꾸준히 다니는 곳인데, 한번도 불친절하거나 고기 질이 안좋거나 맛이 떨어진 적이 없었음! 요즘은 코비드19 땜시 그런가 서비스가 더 좋아진 기분!! 청결한 곳은 아니지만 예민하지 않은, 고기와 소주를 좋아하는 사람이라면 천국같은 곳 2명이서 가서 생고기 2인에, 물갈비에, 공기밥 1개 볶아 먹으면 정말 배부르게 맛있게...","https://place.map.kakao.com/12405045","고바우","육류,고기","3.9","서울 구로구
","2021.12.22.","1"
"1","술이쌈 노포. 지저분함 고기맛없음 퍽퍽함 시끄러움 짐놓을공간없어서 옷에 냄새다배었음 연탄땜에 목아픔","https://place.map.kakao.com/12405045","고바우","육류,고기","3.9","서울 구로구
","2021.12.13.","0"
"2","일단 고기가 퍽퍽한데 같이 먹을만한 밑반찬들이 딱히 없어서 더 별로였어요 세월이 느껴지는 곳이라 깨끗함과는 거리가 멀어요","https://place.map.kakao.com/12405045","고바우","육류,고기","3.9","서울 구로구
","2021.12.13.","0"
"5","맛도 깔끔하고, 모든 게 깔끔해보여 자주 갑니다. 사장님이 위생관리도 잘 하시는 것 같아요. 국수도 맛이 깔끔합니다. 혼자 가서 자주 먹는데 딱 좋습니다. ","https://place.map.kakao.com/27140061","다원국수","국수","4.1","서울 구로구
","2022.06.03.","1"
"1","일부러 가서 먹을 정도는 아닙니다. 의자 갯수가 적어서 웨이팅이 생기는 것 같습니다. 의자가 모자라 뒷사람을 먼저 들여보내면서 앞사람에게 가게 입장에서 미안해야할 상황인데 이래서 안된다 설명만 늘어 놓고 아무 잘못 없는 뒷사람에게 앞 사람들이 양보해주는거라며 고맙다는 말 하게 만들고 상황 마무리 지었습니다. 본인들이 의자가 모자라 죄송하게됐다고 한마디 하면...","https://place.map.kakao.com/27140061","다원국수","국수","4.1","서울 구로구
","2022.05.30.","0"
"5","사과의 향이 달콤새콤 좋았어요.  개인적으론 물초계국수가 더 새롭고 맛난거 같아요.  어묵국수는 6-8월에만 13:30이후 판매하신대요. 참고하세요.  다음엔 어묵국수와 잔치국수도 먹어보려고요.  맛있었어요. ","https://place.map.kakao.com/27140061","다원국수","국수","4.1","서울 구로구
","2022.05.25.","1"
"3","면을 직접 뽑지 않는 국수집.   면이 가늘어 퍼지지 않게 하기 위해서 오래 끓이지 않는건 이해가 가는데 국물이 베어들지 않아 국물 따로 면 따로인 느낌.   초계국수는 국물의 유니크함(?)이 있지만 어묵국수는 실망. 만두는 고기 육즙 맛이 진한게 의외로 좋음.   8,000원짜리 국수치고는 그냥저냥.   주차장은 온수역에 무척이나 저렴한 노상주차장에 주차...","https://place.map.kakao.com/27140061","다원국수","국수","4.1","서울 구로구
","2022.03.28.","0"
"1","맛 변함. 으으으 다시는 안 올 맛","https://place.map.kakao.com/7869238","이천성모메존칼국수 본점","국수","3.2","서울 구로구
","2022.06.09.","0"
"1","밀가루 가격이 올라서 9천원 까지 오른건 이해해요. 그런데 가격 올릴거면 맛과 양은 그대로 유지해야하지 않을까요? 가격은 오를대로 오르고 맛은 짠데 깊은맛 없이 닝닝하고 오징어도 10개 이하 수제비도 엄청줄고 양파는 한가득... 이건 수제비가 아니라 양파죽이에요","https://place.map.kakao.com/7869238","이천성모메존칼국수 본점","국수","3.2","서울 구로구
","2022.04.18.","0"
"1","해물칼국수 바지락이랑 건새우가 전부 다른건 하나도 없음 짬뽕수제비는 맹탕매운맛 그냥 평범해요  맛집이라고 광고성인데 날짜가 별루 차이 않나요  기대하고 갔는데 맛에 실망하고 갔네요","https://place.map.kakao.com/7869238","이천성모메존칼국수 본점","국수","3.2","서울 구로구
","2022.04.02.","0"
"5","미역+짬뽕 조합 굳","https://place.map.kakao.com/7869238","이천성모메존칼국수 본점","국수","3.2","서울 구로구
","2022.02.05.","1"
"4","미역수제비","https://place.map.kakao.com/7869238","이천성모메존칼국수 본점","국수","3.2","서울 구로구
","2021.12.02.","1"
"4","수제 돼지갈비 맛있네요 연기도 안나고 아기랑 같이 오기 좋아요 근데 게장이 너무 맛없고 잡채가 말라있어서 별하나 빼요…  토요일 점심 11시반쯤 왔는데 대기팀이 있어서 놀랬어요 미리 예약하시고 오시는걸 추천드려요","https://place.map.kakao.com/379475662","경인로570숯불구이","육류,고기","3.6","경기 부천시
","2022.05.09.","1"
"2","돼지갈비는 갈비가 포뜬갈비가 아니라 정형갈비더라구요 좀 실망했어요 이렇게 규모가 있는집인데 ........","https://place.map.kakao.com/379475662","경인로570숯불구이","육류,고기","3.6","경기 부천시
","2022.02.28.","0"
"5","고급지고 맛있는 고기집 카페가 붙어있어 식사후 커피도 편하다.","https://place.map.kakao.com/379475662","경인로570숯불구이","육류,고기","3.6","경기 부천시
","2022.01.25.","1"
"5","리모델링 한 이후로 오랜만에 방문했는데 훨씬 더 깔끔해지고 분위기도 좋아졌어요~! 밑반찬 잘 나올뿐더러 고기도 맛있고 직원분들 다 친절하세요ㅎㅎ ","https://place.map.kakao.com/379475662","경인로570숯불구이","육류,고기","3.6","경기 부천시
","2022.01.14.","1"
"1","저녁에 아버지 생신때문에 날씨 한파로 미리 갈비탕ㆍ국밥 맛좀 보고 식구들 예악좀 할려고 했는데 맨밥 먹구 나왔네요! 김치라도 맛있으면 덜 그랬을텐데 ㄷㄷ 주차장때문에 별1개줌 ","https://place.map.kakao.com/379475662","경인로570숯불구이","육류,고기","3.6","경기 부천시
","2021.12.26.","0"
"5","개존맛~~~~~~~최고임ㅠ 샌드위치가 진심 개짱","https://place.map.kakao.com/181245255","작업하는 카페에베르","카페","4.9","서울 구로구
","2022.06.05.","1"
"4","타르트는 가격대비 맛이...잘 모르겠네요ㅋㅋ그거 외에는 무난했어요","https://place.map.kakao.com/181245255","작업하는 카페에베르","카페","4.9","서울 구로구
","2021.08.08.","1"
"5","사장님 왕친절 ~~ ","https://place.map.kakao.com/181245255","작업하는 카페에베르","카페","4.9","서울 구로구
","2021.05.28.","1"
"5","카페도 넓고 깨끗합니다  노래소리가 좀 크지만 역바로 앞이라 가까워서 좋네요  음료는 hot ,ice 가격이 달라요 참고하세요!","https://place.map.kakao.com/181245255","작업하는 카페에베르","카페","4.9","서울 구로구
","2020.06.22.","1"
"5","건강한 메뉴도 많고 너무 맛있었어요","https://place.map.kakao.com/181245255","작업하는 카페에베르","카페","4.9","서울 구로구
","2020.05.15.","1"
"5","남자친구 통해서 알게된 곳인데  넘나 맛있음 ~ 파절이 굿","https://place.map.kakao.com/16527583","우방정육식당","육류,고기","3.2","서울 구로구
","2022.04.28.","1"
"3","목삼겹이랑 육회 시켰는데 육회가 진짜 맛있어요 하지만 남자 사장님이 많이 불친절합니다ㅋㅋㅋㅋ 예약제라 전화드렸었는데 너무 기분 나빠서 안 갈려다가 그냥 갔어요 손님 응대가 별로입니다^^","https://place.map.kakao.com/16527583","우방정육식당","육류,고기","3.2","서울 구로구
","2021.07.18.","0"
"5","여름이면 생각나는 육회빙수!","https://place.map.kakao.com/16527583","우방정육식당","육류,고기","3.2","서울 구로구
","2021.02.16.","1"
"1","가게입구 바닥 부엌 정육점 위생이... 주차도 마을버스 다니는 길바닥에... 내돈내고 혼나면서 맘대로도 못먹음","https://place.map.kakao.com/16527583","우방정육식당","육류,고기","3.2","서울 구로구
","2020.09.09.","0"
"1","위생이 너무 더러워요","https://place.map.kakao.com/16527583","우방정육식당","육류,고기","3.2","서울 구로구
","2020.08.17.","0"
"5","집밥이 그리울때 가는 곳 너무 좋아요","https://place.map.kakao.com/21234531","맷돌손두부","두부전문점","4.7","서울 구로구
","2022.06.06.","1"
"4","비빔밥 양 많고 맛있어요! 반찬으로 나오는 전도 쫄깃해서 맛있어요. 개인적으로 찌개는 조금 별로였는데  다른 테이블에서 청국장 냄새가 너무 좋더라구요 다음에는 청국장 먹어보고 싶네요!","https://place.map.kakao.com/21234531","맷돌손두부","두부전문점","4.7","서울 구로구
","2022.06.01.","1"
"5","와 와 와 맛있당","https://place.map.kakao.com/21234531","맷돌손두부","두부전문점","4.7","서울 구로구
","2021.11.29.","1"
"5","존맛. 3:30~4:30 휴식시간임.","https://place.map.kakao.com/21234531","맷돌손두부","두부전문점","4.7","서울 구로구
","2021.06.23.","1"
"5","아주머니가 너무 친절하시고 닭이 찰집니다.  다만 준비시간이 기니 미리 예약하고 가시면 100%로 즐기실 수 있을거 같아요 ㅎㅎ","https://place.map.kakao.com/12383102","약초마을","오리","3.8","서울 구로구
","2021.10.02.","1"
"2","집근처라 가끔 가는데 맛은 깔끔하고 좋은데 오늘 가보니 삼계탕 밥양이 절반쯤 줄었음. 늦은 저녁되니 허기짐.. 서빙하는 분이 좀 귀찮아 하고, 할머니가 우산도 훔쳐감.. ㅜ ","https://place.map.kakao.com/12383102","약초마을","오리","3.8","서울 구로구
","2021.03.18.","0"
"4","온수 가고싶은집","https://place.map.kakao.com/12383102","약초마을","오리","3.8","서울 구로구
","2020.05.25.","1"
"4","깔끔하고 시원한 삼계탕을 먹을 수 있어요.","https://place.map.kakao.com/12383102","약초마을","오리","3.8","서울 구로구
","2018.08.01.","1"
"4","★8 오리와 닭, 삼계탕","https://place.map.kakao.com/12383102","약초마을","오리","3.8","서울 구로구
","2017.12.18.","1"
"5","바리스타 대회에 다수 수상 경험이 있는 만큼 우수한 커피 맛을 자랑하는 곳!  역곡역 북부광장 이면에 위치한 조용한 커피 전문점이다.  처음 1개 칸 테이크 아웃 커피숍으로 시작했지만 고객이 늘어나면서 2개칸, 3개칸으로 확장한 점이 독특하다. 각 칸마다 공간이 분리된 점도 이 가게만의 특징.  분더커피 등 독특한 시그니처 제품을 통해 고객에게 골라먹는 재...","https://place.map.kakao.com/507685809","분더커피바","디저트카페","4.8","경기 부천시
","2022.05.28.","1"
"2","디저트는 맛있는데 커피맛은 그닥이고 서빙속도가 극악","https://place.map.kakao.com/507685809","분더커피바","디저트카페","4.8","경기 부천시
","2022.02.05.","0"
"5","이집 커피 참 잘합니다. 걸어서 5분거리에 있어 주말에 주로 이용합니다. 동네사람 보다 딴 동네에서 더 많이 오는듯...","https://place.map.kakao.com/507685809","분더커피바","디저트카페","4.8","경기 부천시
","2022.01.29.","1"
"5","망하면 안돼요 계속 있어주세요","https://place.map.kakao.com/1646927607","더브라이트하우스커피","카페","5","서울 구로구
","2022.04.23.","1"
"5","맛있어용 ㅎㅎㅎ","https://place.map.kakao.com/719186071","냉삼집","삼겹살","3.7","서울 구로구
","2022.05.05.","1"
"1","냉삼이 만원이라는점에서 너무 충격이였고 찾아본 리뷰와 다르게 너무 아무것도 없었슴돠 칼국수는 면은 맛있었는데 국물이 떡국국물에 라면스프 살짝 탄 맛이고 맛이 애매했음 그리고 제일 충격인것은 볶음밥을 주문했는데 셀프로 볶으라고 준것이고 볶음밥내용물이 밥 김 고추장 기름인데 김 제외하고 셀프코너에서 가져올 수있는 거고 김도 한꼬집정도 준거같네요 게다가 밥이 질...","https://place.map.kakao.com/719186071","냉삼집","삼겹살","3.7","서울 구로구
","2021.12.11.","0"
"5","너무 맛있게 먹다보니.. 사진은 못찍었습니다.  사장님의 친절, 서비스가 좋고.. 냉동삼겹살의 가성비 최고였습니다.   기대 안하고 친구들과 들어갔는데.. 만족한 저녁 식사였습니다. ","https://place.map.kakao.com/719186071","냉삼집","삼겹살","3.7","서울 구로구
","2019.12.27.","1"
"5","사장님 친절 ^^ 커피맛조아요","https://place.map.kakao.com/13327121","뚜레쥬르 온수역남부점","제과,베이커리","5","서울 구로구
","2021.05.30.","1"
"5","빵 맛나요. 갓 구운빵 먹으려면 오전 10시 이후 방문 추천..","https://place.map.kakao.com/13327121","뚜레쥬르 온수역남부점","제과,베이커리","5","서울 구로구
","2018.06.13.","1"
"5","사장님 두분이 너무 친절하시고 친 이모같아서 좋아요~요즘 코로나 시기에 힘드실텐데 힘내세요!! 소막창 갈매기 껍데기 모두 기대 이상입니다^^ 또 먹으러 갈게요!!","https://place.map.kakao.com/16733346","꼼사모 꼼장어숯불구이","장어","4","서울 구로구
","2022.02.06.","1"
"3","양념 맛있음. 사장님 친절하심. 소금구이에 양념 찍는 것보다 양념을 적극추천함.","https://place.map.kakao.com/16733346","꼼사모 꼼장어숯불구이","장어","4","서울 구로구
","2021.04.17.","0"
"5","친절하고 맛있어요. ","https://place.map.kakao.com/43520543","블랙앵거스 고기공장","육류,고기","5","경기 부천시
","2021.02.21.","1"
"5","싸고 맛있어요","https://place.map.kakao.com/43520543","블랙앵거스 고기공장","육류,고기","5","경기 부천시
","2020.10.07.","1"
"5","아 여기 최고네요.. 가격은 물론이고 부채살 스테이크 구웠는데 감동이었어요","https://place.map.kakao.com/43520543","블랙앵거스 고기공장","육류,고기","5","경기 부천시
","2019.12.29.","1"
"5","싸고 좋음 한달에 두번은 고기사러 가는거 같아요 사장님 친절하십니다","https://place.map.kakao.com/43520543","블랙앵거스 고기공장","육류,고기","5","경기 부천시
","2019.11.24.","1"
"5","새콤한 맛 좋아하시는 분이라면 여기 물냉 딱임 녹두빈대떡 저세상 바삭함","https://place.map.kakao.com/9046362","본가칡냉면","냉면","4.7","서울 구로구
","2020.06.14.","1"
"4","바삭한 식감의 담백한 녹두전 새콤새콤한 물냉 좋습니다","https://place.map.kakao.com/9046362","본가칡냉면","냉면","4.7","서울 구로구
","2020.05.01.","1"
"5","맛있어요! ","https://place.map.kakao.com/9046362","본가칡냉면","냉면","4.7","서울 구로구
","2018.08.02.","1"
