"personal_star","review","url","title","category","total_star","location","review_date","label"
"1","밤10시까지임  빠른수정부탁 ","https://place.map.kakao.com/861945610","이이요","일식","4.1","서울 광진구
","2022.06.07.","0"
"5","친절하고 너무 맛있어요","https://place.map.kakao.com/861945610","이이요","일식","4.1","서울 광진구
","2022.06.05.","1"
"5","대존맛인데 넘 비싸ㅠㅠ","https://place.map.kakao.com/861945610","이이요","일식","4.1","서울 광진구
","2022.06.02.","1"
"5","굿","https://place.map.kakao.com/861945610","이이요","일식","4.1","서울 광진구
","2022.04.11.","1"
"1","양 너무 적고 왠만해서는 리뷰 안남기는데 정말 너무 실망해서 먹다가 입맛이 떨어졌네요.. 야채가 거의 70프로 차지하고 돈만 엄청 쓰고 헛배불러서 나왔네요","https://place.map.kakao.com/27229388","군자대한곱창 본점","곱창,막창","3","서울 광진구
","2022.04.07.","0"
"3","리모델링 이후로 처음 갔는데 양이 적어진거 같습니당 ","https://place.map.kakao.com/27229388","군자대한곱창 본점","곱창,막창","3","서울 광진구
","2021.12.05.","0"
"1","별 한개도 아깝습니다.. 너무 질기고 고기 질도 너무 안좋고 양도 적고.... 너무나 실망스럽습니다","https://place.map.kakao.com/27229388","군자대한곱창 본점","곱창,막창","3","서울 광진구
","2021.11.28.","0"
"4","맛있어요","https://place.map.kakao.com/27229388","군자대한곱창 본점","곱창,막창","3","서울 광진구
","2021.10.14.","1"
"5","존맛","https://place.map.kakao.com/27229388","군자대한곱창 본점","곱창,막창","3","서울 광진구
","2021.10.10.","1"
"5","커피 맛있고 빵도 맛있어요","https://place.map.kakao.com/1755713937","체리커피","커피전문점","3.1","서울 광진구
","2022.05.11.","1"
"1","비싸기만하고 엉망인곳 아메리카노만 괜찮고 다른 모든게 (플화,디저트,자리,친절 등등 정말 모든게) 별로라.. 굳이?","https://place.map.kakao.com/1755713937","체리커피","커피전문점","3.1","서울 광진구
","2022.05.08.","0"
"4","의자가 불편하지만, 그걸 감안할 만큼 뷰가 좋고 맛 좋은 커피와 디카페인을 제공한다. 참 마감 15분전 남아 있는 커피를 뺏아갔다 .. ","https://place.map.kakao.com/1755713937","체리커피","커피전문점","3.1","서울 광진구
","2022.05.04.","1"
"5","옛날 가정집을 개조해서 만든 카페, 야외 정원이 멋지네요","https://place.map.kakao.com/1755713937","체리커피","커피전문점","3.1","서울 광진구
","2022.04.30.","1"
"1","내부 위생 장난아니고 시스템이 진심으로 구려요. 진동벨 없어서 주문 후 알아서 주기적으로 확인해야하는데 음료는 오래걸려서 언제 나올지 모른다네요~ㅋㅋ ","https://place.map.kakao.com/1755713937","체리커피","커피전문점","3.1","서울 광진구
","2022.04.27.","0"
"4","가족들이랑 방문했는데 호불호가 나뉘길래 4점 나는 좋았어요","https://place.map.kakao.com/8476706","영미오리탕 군자점","오리","3.8","서울 광진구
","2022.06.03.","1"
"4","처음 방문 때는 넘 맛있었고 두번 째는 오리 잡냄새가 ㅜㅜㅋㅋ","https://place.map.kakao.com/8476706","영미오리탕 군자점","오리","3.8","서울 광진구
","2022.05.23.","1"
"5","미나리 맛집!!!!!!","https://place.map.kakao.com/8476706","영미오리탕 군자점","오리","3.8","서울 광진구
","2022.04.30.","1"
"4","고기는 살짝 잡내가 있는데 소스 찍어먹으면 크게 신경쓰일 정도는 아니고... 국물이 끝내주네요 미나리도 넘 맛있음","https://place.map.kakao.com/8476706","영미오리탕 군자점","오리","3.8","서울 광진구
","2022.03.23.","1"
"3","애매~~~에....","https://place.map.kakao.com/8476706","영미오리탕 군자점","오리","3.8","서울 광진구
","2022.03.09.","0"
"2","@대명소곱창 이용방법@ 1. 언제 닦았는지 알 수 없는, 찐득하고 더러운 테이블을 직접 닦는다. 2. 양파+마늘이 담겨진 접시에 고춧가루가 묻어있진 않는지 확인한다. 3. 곱창이 나오면 머리카락이 있는지 없는지 확인한다. 4. 또 머리카락이 나오진 않는지 확인한다.  위생 상태 너무 최악이고, 식당의 기본도 갖추고 있지 않은 식당이에요. 미안하다고 음료수 ...","https://place.map.kakao.com/14697504","대명소곱창","곱창,막창","3.8","서울 광진구
","2022.03.09.","0"
"4","크고 향도 좋고 곱도 좋아요. 직원분들도 친절합니다. 음식도 서비스도 비싼만큼 합니다. ","https://place.map.kakao.com/14697504","대명소곱창","곱창,막창","3.8","서울 광진구
","2022.03.03.","1"
"1","정말 살다살다 이런 식당은 처음입니다.  영업시간 끝나기 20분 전인데, 바닥에 세제를 뿌리기 시작하더니, 저희 테이블 불을 마음대로 꺼버리네요. 뭔가 미안했는지 음료수 준다고 하는데 안먹겠다 해도 굳이 줘서 그냥 놔두고 갑니다.  애초에 처음 들어갔을때 테이블 제대로 닦지도 않아서 음식물 찌꺼기들도 많았는데, 물컵은 더럽고 손닦으라고 주는 손 물수건은 김...","https://place.map.kakao.com/14697504","대명소곱창","곱창,막창","3.8","서울 광진구
","2022.02.26.","0"
"5","내닉네임이 대명소곱창인 이유 (여기말고 다른곳에서도 대명소곱창임)  아 진짜 노윤 아니었으면 ㅋㅋㅋ 여기 몰랐을텐뎈 인천사는 회사팀원도 여기 알더라 ㅌㅋ 모듬2인분 / 대창2인분 / 볶음밥 1개 양임 하.. 여기가면 그냥 곱창냄ㅅㅐ로 샤워하고온다생각하면된다. 시끌씨끌거리기도하구 근데 구워주시는 직원분들이 넘 재밌으심ㅋㅋㅋㅋㅋ 구워볼까 건드리려하면 혼남ㅋㅋㅋ...","https://place.map.kakao.com/14697504","대명소곱창","곱창,막창","3.8","서울 광진구
","2022.02.09.","1"
"5","훠궈먹으러 여기밖에안옴 재료도 항상 신선하고 진짜 완전 대박 맛있음!!","https://place.map.kakao.com/1710637721","천미천훠궈","중화요리","4.8","서울 광진구
","2022.04.16.","1"
"5","토마토탕 존맛입니다.","https://place.map.kakao.com/1710637721","천미천훠궈","중화요리","4.8","서울 광진구
","2022.03.09.","1"
"5","진짜 맛있음","https://place.map.kakao.com/1710637721","천미천훠궈","중화요리","4.8","서울 광진구
","2021.11.02.","1"
"5","동네사람들이 가는 훠궈집. 재료가 신선하고 종류가 많아서 좋음ㅎ 그리고 저번에 꽃빵 서비스로 주셔서 오늘은 안주시냐고 묻자,  바로 튀겨주셔서 감사했습니다. 지나가는 말로 말했는데 ㅠㅋㅋ 고객을 아끼는 마음이 와 닿았었어요.  ","https://place.map.kakao.com/1710637721","천미천훠궈","중화요리","4.8","서울 광진구
","2021.10.05.","1"
"5","아들이 대게를 좋아하다보니 자주는 못 와도 가끔씩 가족외식으로 좋은 것 같아요. 맛있게 잘 먹고 왔습니다.","https://place.map.kakao.com/27474088","크래버 대게나라 광장점","게,대게","3.3","서울 광진구
","2022.06.09.","1"
"5","지난주에 어머님 모시고 식사 했어요. 가족들이랑 맛있게 잘 먹고 왔습니다.","https://place.map.kakao.com/27474088","크래버 대게나라 광장점","게,대게","3.3","서울 광진구
","2022.05.16.","1"
"4","맛있네요. 돈 벌어서 또 와야겠어요.","https://place.map.kakao.com/27474088","크래버 대게나라 광장점","게,대게","3.3","서울 광진구
","2022.04.01.","1"
"5","3인 가족 킹크랩 주문, 넉넉하게 먹으려고 2.4kg 보다 조금 더 큰 걸로 주문 하고, 볶음밥이랑 소주 한 병 음료수 주문 해서.. 이래저래 오십정도 나온 것 같아요. 가격은 비싸지만 그만큼 만족하고 왔습니다.","https://place.map.kakao.com/27474088","크래버 대게나라 광장점","게,대게","3.3","서울 광진구
","2022.03.08.","1"
"5","먹기좋게 손질해주셔서 좋고 킹크랩 맛있어요.","https://place.map.kakao.com/27474088","크래버 대게나라 광장점","게,대게","3.3","서울 광진구
","2022.02.15.","1"
"5","주말은 6시 이전에 오세요! 6시 넘으니 우르르 들어와서 한참 기다려야 되더라고요 구워주시는 분들도 친절하시고 음식도 넘 맛있어서 간만에 즐거운 시간 보내써요ㅎㅎ","https://place.map.kakao.com/1994068566","세광양대창 군자점","곱창,막창","3.7","서울 광진구
","2022.06.04.","1"
"5","합리적인 가격, 양볶음밥을 먹었다면 더 좋았겠다.","https://place.map.kakao.com/1994068566","세광양대창 군자점","곱창,막창","3.7","서울 광진구
","2022.05.23.","1"
"1","여자사장님 같은 분? 정말 불친절하십니다. 스텝분들한테 짜증내는거 다 들렸습니다.  접객태도 정말 불량하십니다. 손님 테이블 멋대로 정리해서 얘기하는데 반사적으로 방어적인  태도 그리고 어떠한 사과도 없으셨음, 음식 맛 다 떠나서 이런 영업장 다시는 안 올껴","https://place.map.kakao.com/1994068566","세광양대창 군자점","곱창,막창","3.7","서울 광진구
","2022.04.19.","0"
"5","여기 대박입니다 사장님도 친절하시고 ^^  대창이 맛있어요","https://place.map.kakao.com/1994068566","세광양대창 군자점","곱창,막창","3.7","서울 광진구
","2021.06.04.","1"
"5","여긴 정말... 대박!!!!!!!! 넘 많있어요^^ 첫주문은 3인부터시작인데,,, 여자둘이가도 3인분 이상은 먹어야 잘먹었다~ 하네요  그정도로 시켜야 배가 차요 ㅋㅋ ㅎㅎ  양밥도 맛있고  일주일에 3일은가는데.... 지금은 코로나때문에 못가서 너무 아쉬워요 ㅠㅠ 사장님도 친절하시고 점장님도 친절하시고 ㅋㅋ 테이블마다 구워주시는데  넘 편하고 좋네요 ㅋㅋ...","https://place.map.kakao.com/1994068566","세광양대창 군자점","곱창,막창","3.7","서울 광진구
","2020.12.27.","1"
"5","맛있게 먹었습니다~ 평점보고 놀랬네요 4점대는 될줄알았는디 분위기 친절함 맛 다 괜찮았음 와인도 저렴하고 ","https://place.map.kakao.com/801695460","잉글사이드 군자본점","이탈리안","2.5","서울 광진구
","2022.05.08.","1"
"5","서비스 좋습니다 ㅎㅎ 당근케잌 맛있음","https://place.map.kakao.com/801695460","잉글사이드 군자본점","이탈리안","2.5","서울 광진구
","2022.01.18.","1"
"5","평소 카카오맵 평점 1000% 신뢰하는 편인데 경험한 것보다 평점이 너무 낮아서 일부러 리뷰 남겨요. 아마 직원(?)이 다르거나 바뀐 게 아닐까 싶어요. 주말 오전 카페/레스토랑 파트 직원들 전부 다 친절하고 서비스도 좋았어요!! 음식도 적당히 빠르게 나오는 편입니다. 피자도 화덕 굽는 실루엣이 다 보여서 미리 만들어 놓는 건 아니고 주문 들어가면 바로 만...","https://place.map.kakao.com/801695460","잉글사이드 군자본점","이탈리안","2.5","서울 광진구
","2022.01.02.","1"
"3","건물 외관과 인테리어만 잘된집  음식은 죄다 별로 소개팅이나 그런장소로만 적합함","https://place.map.kakao.com/801695460","잉글사이드 군자본점","이탈리안","2.5","서울 광진구
","2021.12.14.","0"
"2","맛은 별5점인데  3시간지난후부터  설사증세가 납니다  ""15,000원짜리 삼계탕이요""","https://place.map.kakao.com/23347049","기와집 한방능이백숙명품삼계탕 본점","삼계탕","3.7","서울 광진구
","2021.10.03.","0"
"5","처음 백숙부터 마지막 밥까지 맛있게 잘먹었습니다.   비오는날 운치있게 먹었네요.^^","https://place.map.kakao.com/23347049","기와집 한방능이백숙명품삼계탕 본점","삼계탕","3.7","서울 광진구
","2021.06.10.","1"
"5","오늘 방문해서 먹고 왔어요. 사장님 친절하시고 오리백숙도 간이 잘 맞아서 아주 잘 먹고 왔습니다. 오리백숙 좋아하신다면 추천합니다. ","https://place.map.kakao.com/23347049","기와집 한방능이백숙명품삼계탕 본점","삼계탕","3.7","서울 광진구
","2021.05.07.","1"
"5","푸근하게 생기신 사장님, 양푸짐하게 맛있게 먹었어요  강추합니다","https://place.map.kakao.com/461792112","택이네조개전골 군자점","조개","3.6","서울 광진구
","2022.03.05.","1"
"1","맥주 4,500원","https://place.map.kakao.com/461792112","택이네조개전골 군자점","조개","3.6","서울 광진구
","2021.12.30.","0"
"5","©2021. ethwang All rights reserved. ","https://place.map.kakao.com/461792112","택이네조개전골 군자점","조개","3.6","서울 광진구
","2021.09.06.","1"
"2","....해산물 킬러인데, 비려서 국물은 손도안대고 조개만 건져먹고 말았네 혹시나 그때만 맛이없었던걸까 다시가보고싶긴하다","https://place.map.kakao.com/461792112","택이네조개전골 군자점","조개","3.6","서울 광진구
","2021.08.09.","0"
"1","별로임","https://place.map.kakao.com/461792112","택이네조개전골 군자점","조개","3.6","서울 광진구
","2021.08.07.","0"
"5","작년부터 먹기시작햇는데 서초에서 만두사러감ㅋ 고기.김치.둘다 맛있지만 난김치를 더 많이사옴 재료마감으로 헛탕칠때도 있었음     번창하셔셔  직원도 쓰고 가게도 넓혀서 편하게 먹을수있게 해주세요","https://place.map.kakao.com/1663319716","이화만두","분식","4.5","서울 광진구
","2022.06.07.","1"
"4","솔직히... 만두 줄서서 살필요 있나 싶은데도 우연히 근처 간김에 한번 먹어봤는데 또 생각남... ","https://place.map.kakao.com/1663319716","이화만두","분식","4.5","서울 광진구
","2022.06.02.","1"
