"personal_star","review","url","title","category","total_star","location","review_date","label"
"5","너므 조아여 채광. 강아지도 갈수있음 ","https://place.map.kakao.com/1783691580","쎈느","카페","3.5","서울 성동구
","2022.05.16.","1"
"4","not bad","https://place.map.kakao.com/1783691580","쎈느","카페","3.5","서울 성동구
","2022.05.13.","1"
"5","평일낮에 가면 그리좋을수가 없네요. 직원분들 밝고 친절하시고 커피는 성수일대 카페들  비교해도 평타는하고   넓고  통창으로 보이는 뷰는 그냥 흔한 도심뷰이지만 시원시원하고.  ","https://place.map.kakao.com/1783691580","쎈느","카페","3.5","서울 성동구
","2022.03.06.","1"
"5","딸기케이크 존맛","https://place.map.kakao.com/1783691580","쎈느","카페","3.5","서울 성동구
","2022.02.20.","1"
"4","라떼만큼은 넘사 드립은 다른데도 맛있는곳이 많아서.. 분위기는 시장바닥","https://place.map.kakao.com/1492599844","블루보틀 성수 카페","카페","3.1","서울 성동구
","2022.05.27.","1"
"1","라떼 6400원 이 난감한 분위기 속에서 마시는 내내  물음표가 가득 생성되는 맛. ","https://place.map.kakao.com/1492599844","블루보틀 성수 카페","카페","3.1","서울 성동구
","2022.05.12.","0"
"1","왜 유명한데임..? 왜?...왜...? 이가격주고 커피먹을빠에 컴포즈간다 매장은 넓고 이뻤음 근데 사람이 ㅈㄴ많아서 못앉고 걍....탄식만나옴","https://place.map.kakao.com/1492599844","블루보틀 성수 카페","카페","3.1","서울 성동구
","2022.05.09.","0"
"1","직원들 개불친절  샌프란시스코 직원은 엄청친절했는데 좀 보고 배워라 맛은 그냥 저냥","https://place.map.kakao.com/1492599844","블루보틀 성수 카페","카페","3.1","서울 성동구
","2022.05.01.","0"
"4","양이 적어 보였으나 막상 다 먹고 나니 굉장히 배가 불렀다. 음식의 비쥬얼도 맛도 꽤나 좋았다. 딱히 호불호가 갈릴 것 같지 않은 맛으로 같이 간 일행들도 다 만족했다.","https://place.map.kakao.com/2092039626","성수다락","양식","3.9","서울 성동구
","2022.06.08.","1"
"5","친절하시고 너무 맛있게 잘 먹고 왔어요! 회전율도 빨라서 생각보다 오래 기다리지 않았습니다. 양식이라 대충 양식~ 생각하고 갔으나 음식 맛이 뻔하지 않고 간도 세지 않아서 굉장히 만족스러웠습니다","https://place.map.kakao.com/2092039626","성수다락","양식","3.9","서울 성동구
","2022.05.18.","1"
"5","너무 맛있고 직원분들이 너무 친절해요 다음에 또 방문할게요 !","https://place.map.kakao.com/2092039626","성수다락","양식","3.9","서울 성동구
","2022.05.12.","1"
"4","음식들 비주얼도 좋고 맛도 있어요. 직원분들 정말 친절하셔서 기분 좋았어요.  대신 옆자리와 다닥다닥 붙어 앉아있어야 한다는 점이 조금 아쉽네요.","https://place.map.kakao.com/2092039626","성수다락","양식","3.9","서울 성동구
","2022.05.11.","1"
"5","괜히 핫플이 아니에요!! 맛있고 이쁘고 다합니다 ㅎㅎㅎ","https://place.map.kakao.com/2092039626","성수다락","양식","3.9","서울 성동구
","2022.05.11.","1"
"4","큰 대형카페가고싶을때? 맛은 그냥 그렇고 일단 커서 좋다!","https://place.map.kakao.com/1301973155","할아버지공장","디저트카페","3.3","서울 성동구
","2022.05.31.","1"
"1","불친절하고 7시쯤 음식 마감","https://place.map.kakao.com/1301973155","할아버지공장","디저트카페","3.3","서울 성동구
","2022.05.15.","0"
"1","불친절, 주문받을때 말투가 위협적이고 무서웠어요. 바깥자리 앉았는데 호스로 바닥에 물뿌려서 먼지 풀풀날리고.. 얘기하니까 들은척도 안하고 계속하더군요.. 다신 안올듯합니다","https://place.map.kakao.com/1301973155","할아버지공장","디저트카페","3.3","서울 성동구
","2022.05.12.","0"
"3","딱딱한 의자에 사람도 너무많고 ㅠㅠ ","https://place.map.kakao.com/1301973155","할아버지공장","디저트카페","3.3","서울 성동구
","2022.04.02.","0"
"4","맛있어요 포장주문해서 웨이팅 별로안했음 와사비쉬림프버거 드실거면 와사비많이로 하세요 그래야 짱맛","https://place.map.kakao.com/1965582130","제스티살룬","햄버거","3.9","서울 성동구
","2022.06.05.","1"
"5","평일 7시 반 이후에 가니까 웨이팅 없었어요 ㅜㅜ 궁금했던 곳이었는데 제 인생버거 등.극했습니다.. 새우버거는 그냥 평범한 맛이었는데 저 칠리 소스 버거가 진짜 진짜 존맛탱이었어요 갈릭 감튀도 진짜 맛있었고 담에 성수 가면 또 가고싶어요 ㅠㅠㅠ","https://place.map.kakao.com/1965582130","제스티살룬","햄버거","3.9","서울 성동구
","2022.06.05.","1"
"4","오픈시간 전에 가서 한시간 기다렸는데 서울숲에서 놀다오면 되니까 괜찮았어요 1시간이하의 웨이팅이라면 재방문 의사 있음! 근데 이날만 좀 그랬나.. sns에서 봤던 것만큼 패티가 두껍진 않았어요","https://place.map.kakao.com/1965582130","제스티살룬","햄버거","3.9","서울 성동구
","2022.05.31.","1"
"5","맛나고 서비스 조아요","https://place.map.kakao.com/1965582130","제스티살룬","햄버거","3.9","서울 성동구
","2022.05.31.","1"
"5","저도 잘먹고 갑니다~~","https://place.map.kakao.com/1965582130","제스티살룬","햄버거","3.9","서울 성동구
","2022.05.29.","1"
"1","높은 확률로 일반 동네 감자탕집이 더 맛있고 청결할거라는데 손모가지 겁니다…. 초여름에 뚜껑없는 물병이 자리에 이미 놓여져있고 언제부터 있었는지 알 수도 없음… 요즘 보냉되고 따를때만 열리는 물통이 얼마나 잘 나오는데… 돈은 많이 버시면서 그런거나 좀 해놓으시지","https://place.map.kakao.com/13289056","소문난성수감자탕","감자탕","3.1","서울 성동구
","2022.06.06.","0"
"5","양많고 싸고 친절하고 깍두기가 맛있음 근데 줄이 너무 길어","https://place.map.kakao.com/13289056","소문난성수감자탕","감자탕","3.1","서울 성동구
","2022.06.04.","1"
"4","완전 푸짐하고 맛있어요. 회전율도 빠른 편. ","https://place.map.kakao.com/13289056","소문난성수감자탕","감자탕","3.1","서울 성동구
","2022.06.04.","1"
"1","별로","https://place.map.kakao.com/27373628","할머니의레시피","한식","3.3","서울 성동구
","2022.06.04.","0"
"3","그냥 그래요 ㅜㅜ 한우떡갈비 퍽퍽해서 좀 실망..","https://place.map.kakao.com/27373628","할머니의레시피","한식","3.3","서울 성동구
","2022.05.22.","0"
"5","진짜 너무 깔끔하게 잘나오고맛있어요!! 요즘 괜찮은한식집이 많이 없었는데 좋은곳 발견했네요 담에 또갈거에여진짜..존맛탱","https://place.map.kakao.com/27373628","할머니의레시피","한식","3.3","서울 성동구
","2022.05.13.","1"
"5","한식 먹기 좋은 맛집","https://place.map.kakao.com/27373628","할머니의레시피","한식","3.3","서울 성동구
","2022.05.05.","1"
"1","캬 주변의 하수구 냄새가 향기가 아주 좋아서 1점 드려요","https://place.map.kakao.com/145791269","어니언","디저트카페","3.5","서울 성동구
","2022.06.07.","0"
"5","소올직히,, 가끔 가볼만함괜찮음","https://place.map.kakao.com/145791269","어니언","디저트카페","3.5","서울 성동구
","2022.06.07.","1"
"2","사진맛집 디저트노맛집!","https://place.map.kakao.com/145791269","어니언","디저트카페","3.5","서울 성동구
","2022.05.29.","0"
"5","근처 베이커리들 통틀어서 제일 합리적임 good","https://place.map.kakao.com/145791269","어니언","디저트카페","3.5","서울 성동구
","2022.05.13.","1"
"3","야외는 밤에 가기 분위기 있고 좋아요 근데 의자가 이빨이 좀 빠져서 기대기도 어렵고 불안합니다.. 커피 맛은 그냥 그렇고 비건말차는 두유말차인 것 같아요. 의자만 좀 편했으면 다시 가고 싶을 것 같습니다.","https://place.map.kakao.com/145791269","어니언","디저트카페","3.5","서울 성동구
","2022.05.05.","0"
"1","고기 몇개는 맛있고 어떤건 드럽게 퍽퍽함 직원 불친절수준이 아니라 싸가지가없음 어르신들인데도 이런소리가 나올정도면 진짜 싸가지가 너무없습니다 제발 가지마세요 ㅜ   많이먹는다고 꼽주고 불판갈아달랬다고 꼽주고 아이고,.,,  이번에 처음 가봤는데 진짜 대성갈비 맛있다고 소문듣고 가시는 분들   제발 부탁인데 가지말아주세요 이번에 여자친구랑 둘이서 줄서서  5...","https://place.map.kakao.com/12055448","대성갈비","갈비","2.9","서울 성동구
","2022.05.15.","0"
"1","종종 가던 곳이었지만 이번을 끝으로 다신 안갑니다 정말 심하게 불친절 하시네요 전에는 이 정도는 아니였던 것 같은데..  주문도 직원분 눈치보면서 해야합니다 친절히 대답해주셨으면 기분도 안 상했겠죠  그런데 심하게 퉁명스러우시고 그나마도 갖다주실 때 턱턱 집어던지시더군요 유독 한 분이 그러셨어요   먹는 내내 기분이 안 좋고 먹고 나서도  일행이랑 저 둘 ...","https://place.map.kakao.com/12055448","대성갈비","갈비","2.9","서울 성동구
","2022.05.07.","0"
"1","갈비살은 시식 느낌으로 조금 있고 어디 살인지 모르겟는데 뻑뻑살 뭉탱이 대충 손질해서 펴놓은거 나옴 . 사이드디쉬만 거창하게 나오는데 정작 사이드 신경쓰느라 메인 질 떨어지고 서비스가 따라가질 못함","https://place.map.kakao.com/12055448","대성갈비","갈비","2.9","서울 성동구
","2022.04.21.","0"
"1","가격 보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ불친절은 덤~!!!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","https://place.map.kakao.com/12055448","대성갈비","갈비","2.9","서울 성동구
","2022.04.03.","0"
"5","아주머니 직원분들 친절하시고 괜찮았는데 평이 안좋네요 워낙 정신없이 바빠서 좀 감안해야하는부분들이 있을듯함 고기는 맛있게 잘 구워주시는데 너무 크게 잘라주시더라구요 육즙이 없을수가 없는ㅋㅋ 사실 요즘 고기좋은 식당 워낙 많아서.. 엄청 특별하진 않았지만 기본 김치비지찌개나 된장찌개도 맛 괜찮고 웨이팅 없이 갈만한듯해요 ","https://place.map.kakao.com/487116221","땅코참숯구이 본점","육류,고기","4.1","서울 성동구
","2022.06.08.","1"
"1","가격은 비싼데 직원 마인드는 너무 구리네요. 교육 좀 하세요","https://place.map.kakao.com/487116221","땅코참숯구이 본점","육류,고기","4.1","서울 성동구
","2022.06.05.","0"
"1","종업원 싸가지 교육좀 시켜주세요","https://place.map.kakao.com/487116221","땅코참숯구이 본점","육류,고기","4.1","서울 성동구
","2022.06.05.","0"
"1","맛있긴 해요. 재방문 의사는 글쎄요. 2시에 연다고해서 1시30분부터 기다렸거든요. 2시 다되가니까 3시로 오픈시간 바꼈다고 해서 당황했어요. 그래도 모처럼 기분좋게 기다리려는데. 다른데서 기다리라고 하시고 쫓겨난 기분이었네요. 손님을 귀찮게 대하셔서 기분 안좋았습니다. 먹다보니 친절한 직원분들이 더 많던데. 한두분때문에 더 맛있게 먹지 못해서 아쉬웠어요....","https://place.map.kakao.com/487116221","땅코참숯구이 본점","육류,고기","4.1","서울 성동구
","2022.05.15.","0"
"5","간장 바르는 붓을 따로 주고, 직원분들도 친절하세요. 캐쥬얼 스시로는 갓성비 스시집임.","https://place.map.kakao.com/26792732","스시도쿠","초밥,롤","4","서울 성동구
","2022.06.09.","1"
"5","직원분들 친절은 기본이고 음식 퀄리티가 가격대비 너무  훌륭합니다. 줄 서 있는 거 보면서 너무 궁굼했었는데 드럴만 합니다.  조만간 다시 찾을듯 합니다.","https://place.map.kakao.com/26792732","스시도쿠","초밥,롤","4","서울 성동구
","2022.06.08.","1"
"5","미친 가성비 스시도쿠, 숙성된 회와 즉석에서 쥐어주는 초밥이 이가격에 가능한지 의문이 들 정도 입니다. 매일 먹고 싶어요. 스시도쿠는 사랑 입니다","https://place.map.kakao.com/26792732","스시도쿠","초밥,롤","4","서울 성동구
","2022.06.08.","1"
"4","맛있네요 친절하고 내어주면서 즉석에서 토치로 구워주시는 스시가 참 맛있네요","https://place.map.kakao.com/26792732","스시도쿠","초밥,롤","4","서울 성동구
","2022.06.06.","1"
"2","정품스시 포장해서 먹었는데 맛이 별로 없네요—;;포장이라 그런가..","https://place.map.kakao.com/26792732","스시도쿠","초밥,롤","4","서울 성동구
","2022.06.05.","0"
"2","가격대비 별로","https://place.map.kakao.com/1054118175","호호식당 성수동점","일식","3.1","서울 성동구
","2022.06.07.","0"
"4","음식도 맛있고 좋아요^^ 대기 인원이 많아도  금방 순서가 옵니다","https://place.map.kakao.com/1054118175","호호식당 성수동점","일식","3.1","서울 성동구
","2022.05.14.","1"
"5","우나기동 꼭 드셔","https://place.map.kakao.com/1054118175","호호식당 성수동점","일식","3.1","서울 성동구
","2022.05.14.","1"
"4","확실한 후기 평점 별 4개 드립니다. 밑에 좋고 나쁘고 후기 등등 가실분들은 제 후기를 꼭 참고하고 가주세요 일단 조개창고는 지점별 차이가 있고 정가 25,900원주고 먹으면 안되는곳입니다. 밑에 안좋은 후기에 라면도 3,500원이나 받는다 이런이야기 있는데 여기는 조개창고 즉 조개 왕창 먹으러 오는곳이지 라면같은거 먹으러 오는곳이 아닙니다. 그리고 술도 ...","https://place.map.kakao.com/12265333","왕십리조개창고","조개","3","서울 성동구
","2022.06.08.","1"
"5","오!! 전체적으로 만족했던 맛집이에요!! 가성비, 퀄리티, 분위기가 다 굿굿굿!! 특히나 다양한 메뉴를 한자리에서 먹을 수 있어서 취향안타고 좋은듯요!","https://place.map.kakao.com/12265333","왕십리조개창고","조개","3","서울 성동구
","2022.05.09.","1"
"4","무한리필집이라고해서 조개 퀄리티를 걱정했는데~ 일반 조개구이집이랑 다를게 없네요! 조개먹다가 좀 질릴만하면 고기 먹고.. 계속 계속 먹게됩니다~  셀프로 가져다 먹는데 눈치주는 사람 없어서 좋았어요 !!","https://place.map.kakao.com/12265333","왕십리조개창고","조개","3","서울 성동구
","2022.05.09.","1"
"5","저번주 서울 놀러 갔다가 SNS에서 핫한 조개구이 맛집이라길래 다녀왔는데 대만족스러워요. 직원분들도 엄청 친절하고 소고기랑 돼지고기까지 무한리필로 먹을수 있다니... 이 가격에 가성비 이만한 곳 없다고봐요. 잘 먹고왔습니당 감사합니다! 치즈퐁듀 콘치즈 짱♡♡","https://place.map.kakao.com/12265333","왕십리조개창고","조개","3","서울 성동구
","2022.05.09.","1"
"1","시간제한이 없다더니, 덥고 눈 매워서 자동으로 나가게 만드는 조개구이집.  인당 2만6천원씩 하면서 라면 그냥 먹는건줄 알았는데 한봉지에 3500원씩 받는것도 이해불가. 처음에 들어갔을땐 27도에 맞춰져있던 에어컨을 사람이 많아지니까 29도로 올리더군요. 두사람이 소주1맥주1햇반1라면1 먹고 6만7천원이면 소고기를 먹는게 낫겠다 싶은 집이었습니다. 가성비 ...","https://place.map.kakao.com/12265333","왕십리조개창고","조개","3","서울 성동구
","2022.05.04.","0"
"1","가격으로 3대 족발인듯 요즘 맛있는 족발이야 많으니 다시는 안감.","https://place.map.kakao.com/8416853","성수족발","족발,보쌈","3.2","서울 성동구
","2022.05.29.","0"
