"personal_star","review","url","title","category","total_star","location","review_date","label"
"1","불친절한 서빙에 응대까지..혼나는 기분에 맛도 없음","https://place.map.kakao.com/12180619","광고서지스테이크","스테이크,립","3","서울 용산구
","2021.12.08.","0"
"3","그럭저럭이었네요ㅠ","https://place.map.kakao.com/12180619","광고서지스테이크","스테이크,립","3","서울 용산구
","2021.10.14.","0"
"1","안심을 기대하고 갔는데 식감 육즙 많이 아쉬워요.","https://place.map.kakao.com/12180619","광고서지스테이크","스테이크,립","3","서울 용산구
","2021.10.03.","0"
"2","안심의 퀄러티가 많이 아쉽네요. 오히려 수입으로 바꿔 조금 더 높은 등급을 사용하는게 어떨지 진지하게 제안합니다.","https://place.map.kakao.com/12180619","광고서지스테이크","스테이크,립","3","서울 용산구
","2021.10.01.","0"
"4","처음 가본 정통(?) 한국식 스테이크.. 국물없는 부대찌개 볶은거라 생각했지만, 의외로 재밌는 맛.. 고기 구워주는 이모님 말솜씨는 별 한개를 더 부른다.","https://place.map.kakao.com/12180619","광고서지스테이크","스테이크,립","3","서울 용산구
","2021.08.27.","1"
"3","한 번은 갈 만하지만... 글쎄... 굳이 이 돈 주고 이 시간 써가면서...? 맛도 평범...","https://place.map.kakao.com/220597413","몽탄","갈비","3.3","서울 용산구
","2022.06.07.","0"
"5","웨이팅 대행 필요하신 경우, 아래 카톡 주소로 문의주시면 착오없이 예약 가능합니다.  https://open.kakao.com/o/sCXIWoJd","https://place.map.kakao.com/220597413","몽탄","갈비","3.3","서울 용산구
","2022.06.04.","1"
"4","깔끔한 기본 반찬 좋아요. 고기는 물론 훌륭하고요. 그렇지만 대기가 어마어마해요. 그래서 진짜 큰 맘 먹고 가는 거 아님 또 가진 않을 것 같아요. 그래서 별 하나 뺐어요 ","https://place.map.kakao.com/220597413","몽탄","갈비","3.3","서울 용산구
","2022.06.03.","1"
"4","아침 10시에 줄서서 예약하고 오후2시쯤에 먹었는데,음식 맛은 있어요ㅎ근데 예약시스템 제발 쫌 바꿨으면 좋겠네요ㅎ 기다리다 지쳐요ㅎ환기도 안되서 직원분이 고기 구워주시는데 연기때문에 기침을 하시더라구요..","https://place.map.kakao.com/220597413","몽탄","갈비","3.3","서울 용산구
","2022.06.02.","1"
"1","고기에 대한 진심이 느껴집니다.","https://place.map.kakao.com/1376253571","로우앤슬로우","육류,고기","2.7","서울 용산구
","2022.05.09.","0"
"1","가격대비 만족도가 정말 좋아요. 강추~!","https://place.map.kakao.com/1376253571","로우앤슬로우","육류,고기","2.7","서울 용산구
","2022.05.09.","0"
"4","고기고기고기 임","https://place.map.kakao.com/1376253571","로우앤슬로우","육류,고기","2.7","서울 용산구
","2022.05.08.","1"
