"personal_star","review","url","title","category","total_star","location","review_date","label"
"2","떡, 치즈케이크 등 디저트류 맛없고 비쌈. 아메리카노가 제일 맛있었음 적당히 구수한맛. 뷰 좋은데 공사하는 한옥들이 있어서 아쉬움 비싸기만 하고 맛없는 디저트 먹어가면서 4,5층 앉을 필요 x","https://place.map.kakao.com/670102239","1인1잔","카페","3.5","서울 은평구
","2022.05.14.","0"
"5","패션후르츠에이드 조아~","https://place.map.kakao.com/670102239","1인1잔","카페","3.5","서울 은평구
","2022.05.09.","1"
"2","카페 손님보다..직원분들이 더 크게떠들어요ㅎㅎ","https://place.map.kakao.com/670102239","1인1잔","카페","3.5","서울 은평구
","2022.03.29.","0"
"3","분명 뷰가 좋은 카페는 맞지만 매우 한정된 자리고  전체적으로 자리 찾는 사람들 때문에 너무 어수선 합니다.  거기다 한옥마을 자체가 제대로 구성이 안 된 느낌이라 딱히 갈만한데도 없어서 다시는 굳이 안 갈 거 같습니다 ","https://place.map.kakao.com/670102239","1인1잔","카페","3.5","서울 은평구
","2022.03.20.","0"
"5","뷰가 참 좋고 디저트도 고급지고 맛있어요ㅎㅎ 워낙 이뻐서 가격도 비싸게 느껴지지 않아요 대만족!","https://place.map.kakao.com/670102239","1인1잔","카페","3.5","서울 은평구
","2022.03.11.","1"
"1","너무 맛없어요.26000원 버린 기분입니다. 냉면 잘만드는 사람구한다고 공고 붙어있는데.여기 직원들은 왜 이리 많나요.물냉면은 아무 맛이 안나요.비빔냉면도 참 처참합니다.다시는 갈일없겠습니다.","https://place.map.kakao.com/16852004","백년가게 만포면옥 본점","한식","3.2","서울 은평구
","2022.06.08.","0"
"5","비냉 물냉 다 맛있어요 특히 만두가 정말 맛있네요!!","https://place.map.kakao.com/16852004","백년가게 만포면옥 본점","한식","3.2","서울 은평구
","2022.05.31.","1"
"3","동네에 있어서 갈만한 평냉집 같은 돈이면 을밀대 갈래요~","https://place.map.kakao.com/16852004","백년가게 만포면옥 본점","한식","3.2","서울 은평구
","2022.05.29.","0"
"1","가오픈 중이라 만두서비스로 준대서 왔어요. 만두는 고기가 안들어간데다 만두피가 흐물흐물해서 맛없고, 냉면은 13,000원인데 솔직히 돈 아까웠습니다. 면이 탱탱하지 않고 푹 퍼진데다, 물냉에 넣어먹는 무도 없고,심지어 냉면에 넣은 고기도 퍽퍽하네요. 육수도 별로라서 겨자넣고 겨우 먹음,비빔냉면 양념도 집에서 간장 섞어서 대충 만든 맛","https://place.map.kakao.com/16852004","백년가게 만포면옥 본점","한식","3.2","서울 은평구
","2022.05.28.","0"
"1","다녀오면 정말 돈 아까운 냉면집! 옛날 명성에 기대는 집, 직원들이 콧대높고 불친절하며 손님 귀한줄 모르는집, 맛 없는 집(주관적). 다신 안감.","https://place.map.kakao.com/16852004","백년가게 만포면옥 본점","한식","3.2","서울 은평구
","2022.05.21.","0"
"5","이게 식당이지","https://place.map.kakao.com/15980007","가이오국수 본점","국수","4","서울 은평구
","2022.06.09.","1"
"5","유튜브에서 맛삼인들이 찍은 영상을 보고 찾아가서 일반잔치국수를 주문해서 먹었더니 보통사이즈만 해도 충분하더라.  다음에는 비빔국수도 괜찮겠더라.  명동할머니국수 청계광장점처럼 QR만 고집하지 않고, 손님에게 소리지르거나 하지 않아서 만족.","https://place.map.kakao.com/15980007","가이오국수 본점","국수","4","서울 은평구
","2022.06.03.","1"
"5","기보고싶다..90","https://place.map.kakao.com/15980007","가이오국수 본점","국수","4","서울 은평구
","2022.04.24.","1"
"5","여긴.. 지금도 웨이팅해서 먹는 곳ㅋ 지인짜 맛있긴하다. 생각한 뻔한 그 맛인데도 자꾸 생각나는 그 맛ㅋㅋ 마지막에 볶음밥이 쵝5","https://place.map.kakao.com/25037411","원조두꺼비집불오징어","해물,생선","4.3","서울 은평구
","2022.05.27.","1"
"5","두꺼비는 원조다.","https://place.map.kakao.com/25037411","원조두꺼비집불오징어","해물,생선","4.3","서울 은평구
","2022.05.21.","1"
"5","진짜 소주를 안 시킬 수가 없네요 장사가 잘되는 집이라 그런지 식재료들 상태가 참 좋네요 오징어는 볶은 뒤에도 질기지 않고 탱글탱글하면서 쫄깃해요 그리고 채소들도 푸릇하고 향긋하네요 골목길에 있어서 분위기도 편안해요 비오는 날에 가면 빗소리도 듣고 특유의 옛정취를 느낄 수 있어서 술맛이 더 좋을 것 같아요","https://place.map.kakao.com/25037411","원조두꺼비집불오징어","해물,생선","4.3","서울 은평구
","2022.04.17.","1"
"5","짱맛있어요…  대기는 좀 있었지만… 안주로 최고.. 밥 비벼먹으면 또 … 더 들어가요 ","https://place.map.kakao.com/25037411","원조두꺼비집불오징어","해물,생선","4.3","서울 은평구
","2022.03.27.","1"
"4","다들 해물누릉지탕을 시켜먹던데 개인적으로 불호였고 여긴 짜장면이 맛있더군요.","https://place.map.kakao.com/12506935","중화원","중화요리","3.5","서울 은평구
","2022.05.21.","1"
"3","짜장 짬뽕 먹었는데 면발이 특이해서 한번 먹어볼만 해요.  ","https://place.map.kakao.com/12506935","중화원","중화요리","3.5","서울 은평구
","2022.05.18.","0"
"4","면발이 얇고 국물이 특이해서 호불호 갈립니다 그래도 먹어볼만한 짬뽕입니다 진짜 괜찮은건 볶음밥이예요 밥을 이렇게 잘 볶는데 잘 못봤어요 서울 중국집 중 볶음밥은 최고","https://place.map.kakao.com/12506935","중화원","중화요리","3.5","서울 은평구
","2022.05.17.","1"
"1","오늘 인터넷보고  방문했는데  제 취향은  아닙니다 면발은  국수면발  맛은  동네 중국집보다 못한데 네이버  댓글보고 갔는데    맛은  동네 중국집 보다 별로네요","https://place.map.kakao.com/12506935","중화원","중화요리","3.5","서울 은평구
","2022.05.12.","0"
