"personal_star","review","url","title","category","total_star","location","review_date","label"
"3","맛 : 기본에 충실한 치즈크러스트 피자에 치즈가 많이 들어간 맛 분위기 : 철지난 크리스마스 서비스 : 웨이팅이 원래도 많은 가게치고는 서비스 상태 불량함 직원들의 친절도 문제가 아니라 스피드 문제 다먹고 포장하는데만 오분걸리고 피자 나오는데만 30분 걸렸다   포장해서 식었을때가 더 맛있어요  참고로 내가 간 날은 웨이팅이 그리 많지않아 그냥 줄 서서 들...","https://place.map.kakao.com/10070964","이재모피자","피자","4.3","부산 중구
","2022.06.07.","0"
"5","테이블에서 선결제하는 패밀리레스토랑 로봇이서빙하고 특이했음 좌석많았고 분위기는 시장같다는느낌.. 피자의 치즈가 임실치즈써서 딱 임실치즈의맛이느껴졌다. 맛있음 근데 멀리서찾아가자고하면 그정돈아니고 주변여행하면서 한번 방문해볼만해볼듯","https://place.map.kakao.com/10070964","이재모피자","피자","4.3","부산 중구
","2022.06.06.","1"
"5","치즈가 토핑된 피자(X) 피자가 토핑된 치즈(O) 치즈가 다 했네 다 했어 넘나 치즈사랑맛! 피자는 따로 기교 없이 정통의 맛 그대로를 살렸고, 그래서 담백하고 깔끔하다 가히 직접 먹으러 먼 걸음 할만한 곳이라 할 수 있다 캐리어 끌고 와서 먹는 분들 중간중간 계속 보임 괜히 그런 곳이 아니라는 걸 직접 느끼고 돌아왔도다","https://place.map.kakao.com/10070964","이재모피자","피자","4.3","부산 중구
","2022.05.31.","1"
"1","라스터오더가 20시30분이라하여 그전에 갔는데 직원분이 포장만 된다고 하시네요. 그러면 정보수정을 하시던지 운전해서 주차장에 주차비까지 지불하며 맛있게 먹으러 준비하고 갔는데 일관성 없는 매장관리에 실망했네요. 일찍정리하고 퇴근하실 생각인지 대기줄도 없고 라스터오더 시간도 충분했는데 포장만된다고 하는게 이해가 안되고 아주 기분이 나쁩니다.","https://place.map.kakao.com/10070964","이재모피자","피자","4.3","부산 중구
","2022.05.28.","0"
"5","치즈가 정말 고소하고 깔끔한 맛의 피자!  많이 먹기엔 물려서 작은 사이즈에 샐러드 같이 시켜서 먹는 게 베스트 ","https://place.map.kakao.com/10070964","이재모피자","피자","4.3","부산 중구
","2022.05.27.","1"
"5","튀떡세트 4,000원! 떡이 쫀득말랑 너무 맛있었어요 양념장도 고추가루맛에 뭔가 은근한 양념치킨맛 같은 게 나면서 너무 맵지 않고 짱맛","https://place.map.kakao.com/20204736","이가네떡볶이 본점","떡볶이","3.5","부산 중구
","2022.05.28.","1"
"5","떡볶이는 여기가 최강자","https://place.map.kakao.com/20204736","이가네떡볶이 본점","떡볶이","3.5","부산 중구
","2022.05.27.","1"
"5","여기 짱짱   배불러도 맛있고 식어도 맛있게 매운 맛! 사람이 좀 많아서 복잡한게 흠","https://place.map.kakao.com/20204736","이가네떡볶이 본점","떡볶이","3.5","부산 중구
","2022.05.27.","1"
"5","진짜 너무너무 맛있었어요ㅠㅠㅠㅠ 어떻게 떡볶이에서 이런 맛이 나는거죠...? 계속 생각나는 맛이에요ㅠㅠ♡ 튀김도 최고ㅠㅠ!! 다만 다른 분들이 말씀하신 것처럼 카드 결제를 하려고 하자 카드는 안받는다고 계좌이체 해달라고 하셨습니다..!","https://place.map.kakao.com/20204736","이가네떡볶이 본점","떡볶이","3.5","부산 중구
","2022.05.23.","1"
"5","진짜 너무 맛있어요","https://place.map.kakao.com/20204736","이가네떡볶이 본점","떡볶이","3.5","부산 중구
","2022.05.19.","1"
"4","맛있어요","https://place.map.kakao.com/7886000","백화양곱창 6호","곱창,막창","3.3","부산 중구
","2022.05.27.","1"
"4","너무 맛있습니다. 고기도 직접 구워주시고. 다만 노포스타일상 위생은 별로 안좋습니다.","https://place.map.kakao.com/7886000","백화양곱창 6호","곱창,막창","3.3","부산 중구
","2022.04.16.","1"
"3","친절하고 맛은 괜찮은데 솔직히 위생은 정말 심각하네요 상추를 배송 받은 상태에서 씻지 않고 손으로 잘라서 겉절이로 무쳐주심 ㅋㅋㅋㅋ 모든집이 같은 곳에서 같은 시간에 재료를 납품받아 조리하고 운영방식도 거의 동일합니다 2번은 못가겠네요 ㅎㅎㅎ","https://place.map.kakao.com/7886000","백화양곱창 6호","곱창,막창","3.3","부산 중구
","2022.04.09.","0"
"2","예전맛아님","https://place.map.kakao.com/7886000","백화양곱창 6호","곱창,막창","3.3","부산 중구
","2022.04.04.","0"
"3","양념맛은 연타발이나 양미옥보다 못하지만 싼 맛에 가볼만 하다","https://place.map.kakao.com/7886000","백화양곱창 6호","곱창,막창","3.3","부산 중구
","2022.03.29.","0"
"5","런치 회정식 양도 많고 맛도 있네용","https://place.map.kakao.com/21590983","본참치","참치회","4.3","부산 중구
","2022.05.27.","1"
"5","점심초밥은 극강","https://place.map.kakao.com/21590983","본참치","참치회","4.3","부산 중구
","2022.02.21.","1"
"5","훌륭한 코스 구성, 친절한 응대. 부산 최고의 참치집.","https://place.map.kakao.com/21590983","본참치","참치회","4.3","부산 중구
","2022.01.02.","1"
"4","맛있어요!","https://place.map.kakao.com/7850373","뚱보집","한식","3.7","부산 중구
","2022.05.23.","1"
"5","다양한 메뉴지만 제각각 어울림","https://place.map.kakao.com/7850373","뚱보집","한식","3.7","부산 중구
","2022.03.26.","1"
