"personal_star","review","url","title","category","total_star","location","review_date","label"
"5","#먹자마자 #서울 일기 결론: 추천ㅇ 재방문ㅇ  •겨울에 예약하고간 5시타임 창가자리 좋았음","https://place.map.kakao.com/27353169","세상의모든아침 여의도점","양식","3","서울 영등포구
","2022.05.30.","1"
"4","한달전에 예약하면 창가자리 가능 맛보단 뷰 보러 가는 곳 뷰 치고 가격은 괜찮","https://place.map.kakao.com/27353169","세상의모든아침 여의도점","양식","3","서울 영등포구
","2022.05.20.","1"
"1","딱 인스타용 식당... 멋진 뷰, 깔끔한 인테리어, 예쁜 음식 말고는 아무것도 없는데 너무 비쌈ㄷ","https://place.map.kakao.com/27353169","세상의모든아침 여의도점","양식","3","서울 영등포구
","2022.05.20.","0"
"5","반드시 여기서 현 여자친구와 결혼할 겁니다","https://place.map.kakao.com/27353169","세상의모든아침 여의도점","양식","3","서울 영등포구
","2022.05.16.","1"
"1","3년전에도ㅠ이정도였나 싶을정도로 개실망.. 이걸 이금ㅇㅔ 판다고..?? 그냥 삼겹살 먹으러가세요","https://place.map.kakao.com/27353169","세상의모든아침 여의도점","양식","3","서울 영등포구
","2022.05.11.","0"
"4","된장찌개맛집이래서방문 점심에 고기듬뿍들어간 된장찌개를6000원에먹을수 있다니 가격대비 혜자네요  두부랑고기듬뿍 국물도맛있습니다 근처직장인분들도 많이오시더라구요  다음엔고기랑같이먹어보고싶네요  2인에뚝배기하나제공 세명오면뚝배기두개제공 되더라구요  ","https://place.map.kakao.com/7851288","또순이네","육류,고기","3","서울 영등포구
","2022.06.09.","1"
"2","음식 소소. 연기가득 환기안됨.  몹시 불친절. 장사하려는 맘이 없어보임다","https://place.map.kakao.com/7851288","또순이네","육류,고기","3","서울 영등포구
","2022.06.01.","0"
"4","육우나 호주산이란 점을 고려하면 가성비가 좋은 집도 아니고 친절하지도 않지만 맛은 부인할 수 없는집... 고기가 잘 숙성돼서 그런지 기름기 없는데도 엄청 부드럽고 된찌도 소문대로 맛있는 곳","https://place.map.kakao.com/7851288","또순이네","육류,고기","3","서울 영등포구
","2022.05.23.","1"
"2","된찌 사실 그렇게 최강은 아니고 그러저럭 고기집 된찌 보다 나은 수준이네요. 사실 너무 짜서 평가가 좀 어렵긴 한데 염도만 낮으면 맛있는거 같기도 하고 걍 고기집 된찌랑 비슷함 고기 안먹고 무난한 된찌만 먹을수 있다는 장점으로 가는 거지 된찌계의 탑티어는 아닌것 같음","https://place.map.kakao.com/7851288","또순이네","육류,고기","3","서울 영등포구
","2022.05.18.","0"
"2","위생관념이 없어요. 찌개 집던 도구를 행주 위에 던지고 또 쓰고.. 영혼 없이 돈 버는 곳.","https://place.map.kakao.com/7851288","또순이네","육류,고기","3","서울 영등포구
","2022.05.14.","0"
"1","1시간 기다려서 들어갔는데 베이글은 두가지 밖에 안남았고 그나마 1인당 3개구입가능이라 선택의 여지 없고 ... 플레인베이글을 먹어보려 2번시도 또 실패  기본 베이글을 먹고싶은 나에게는 어려운일이된듯 장사가 잘되다보니 계산 여직원의 말투도 귀찮게 자꾸 물어보냐는 말투 . 남은 종목이 뭔지 물어보니 앞에 있으니 읽어보고 물어보라고 면박..  다신 안가기로 ...","https://place.map.kakao.com/745164647","코끼리베이글","제과,베이커리","2.9","서울 영등포구
","2022.06.01.","0"
"4","(+)흑임자 / 크림 베이글 맛집 (÷) 주변 환경 주차는 다른곳에 다른메뉴는 평범","https://place.map.kakao.com/745164647","코끼리베이글","제과,베이커리","2.9","서울 영등포구
","2022.05.30.","1"
"1","별로","https://place.map.kakao.com/745164647","코끼리베이글","제과,베이커리","2.9","서울 영등포구
","2022.05.28.","0"
"5","세젤맛","https://place.map.kakao.com/745164647","코끼리베이글","제과,베이커리","2.9","서울 영등포구
","2022.04.25.","1"
"3","알바가 복불복임...불친절할때가 많긴함ㅋㅋㅋㅋㅋㅋ 베이글은 종류 안가리고 다 좋아하고 웨이팅은 싫어서 한산할 때 그냥 남은거 몇개씩 사와서 먹음 맛은 확실히 있다!","https://place.map.kakao.com/745164647","코끼리베이글","제과,베이커리","2.9","서울 영등포구
","2022.03.27.","0"
"5","매우맛있다 또먹고싶다 ㅜㅜ","https://place.map.kakao.com/23699720","정인면옥 본점","냉면","3.5","서울 영등포구
","2022.06.04.","1"
"3","맛은 나무랄데가 없으나 서버분들이 주문순서 상관없이 서빙하시고는 음식 취소해드릴께요 그럼 하시는 부분은 좀 아쉬웠네요","https://place.map.kakao.com/23699720","정인면옥 본점","냉면","3.5","서울 영등포구
","2022.06.04.","0"
"5","깔끔한 아롱사태에 평냉 같이 먹으니 최고네요 냉면 육수 굿굿","https://place.map.kakao.com/23699720","정인면옥 본점","냉면","3.5","서울 영등포구
","2022.05.30.","1"
"5","콩국수 포장안해와서 후회중 ㅠㅠㅠㅠ 다 맛있어서 짱짱 여름에 최소3회 이상 가고싶음","https://place.map.kakao.com/8094563","진주집","국수","3.8","서울 영등포구
","2022.06.01.","1"
"1","휴무일 표시 똑바로 하세요. 괜히 사람 헛걸음하게 만들지 말구요. ","https://place.map.kakao.com/8094563","진주집","국수","3.8","서울 영등포구
","2022.06.01.","0"
"2","소문대로 사람도 많았고 가게도 크고 정말 맛집으로 유명한 것 같긴 하더라구요 그런데 먹어봤을 때는 좀 의아했어요ㅠㅠ 이 가격에.. 이 정도 맛이 서울 3대 콩국수 맛집이라니...! 저와 일행 모두 별로라는 평가였어요 국물이 좀 밍밍하고 순한 느낌이었습니다.. 오히려 만두를 더 맛있게 먹었네요 가게 직원분들은 친절하셨어요 ㅎㅎ...","https://place.map.kakao.com/8094563","진주집","국수","3.8","서울 영등포구
","2022.05.28.","0"
"4","핫플치곤 친절했어요 매장도 엄청 커서 웨이팅 없이 금방금방 들어가요 콩국수는 별미이나 설탕파인 저는 .. 그저 그랬지만 다른 메뉴는 맛있네요","https://place.map.kakao.com/8094563","진주집","국수","3.8","서울 영등포구
","2022.05.26.","1"
"5","This place is a true GEM. Staff is very friendly and helpful. The decor is great to see and take pics.  Last but not less, the food is amazing.  I will return. ","https://place.map.kakao.com/339122660","카페1953위드오드리","카페","4.1","서울 영등포구
","2022.05.07.","1"
"5","우와 넘 좋아요ㅠㅠㅠ 카페 생각하고 갔다가, 오드리 햅번 전시회 다녀온 느낌이에요! 실제 영화 소품들, 오드리햅번이 직접 소장했던 컬렉션이나 입었던 의상들이 잔뜩이네요. 박물관도 아니고 개인이 직접 경매에서 낙찰받은 것 같던데, 이런 곳을 커피 하나만 시켜서 있어도 되나 배 안 고파도 뭐 좀 더 시킬까 싶더라구요. 서울에 지인이 오면 보여주고싶은 곳입니다....","https://place.map.kakao.com/339122660","카페1953위드오드리","카페","4.1","서울 영등포구
","2022.04.22.","1"
"3","딱 별점 3.5점짜리 카페예요 근처 가면 기념삼아 들릴법 하지만, 굳이 찾아가진 않아도 되는? 신기하긴해요~ 근데 분위기가 생각보다 뭐랄까.. 좋은 것도 아니고 그렇다고 힙한 것도 아니고 애매해요 관광지에 있는 뭔가 꾸며놓긴 했지만 어수선한 카페 같은 느낌이에요  그리고 음식이나 케이크는 전부 기성품이에요 어쩐지 대기 몇 있을정도로 사람이 많은데도 요리하시...","https://place.map.kakao.com/339122660","카페1953위드오드리","카페","4.1","서울 영등포구
","2022.04.15.","0"
"2","파르페가 가격에 비해 너무...성의없어서 황당했어요ㅜ 쉐이크도...할말하않...... 메뉴판에 사진이든 일러스트든 넣어주시면 좋을거같아요! 가게 컨셉 나쁘지않은데 메뉴에서 잘 못살리는것같아 리뷰씁니당","https://place.map.kakao.com/339122660","카페1953위드오드리","카페","4.1","서울 영등포구
","2022.04.02.","0"
"5","집 근처 애견동반 식당 찾다가 발견한 곳이예요. 넓고 구경할것도 많고 가성비좋은 메뉴들이 있어서 오래 있으면서 여러개 시킬때 부담되지 않아서 좋았어요. ","https://place.map.kakao.com/339122660","카페1953위드오드리","카페","4.1","서울 영등포구
","2022.03.21.","1"
"5","맛있어요 굿 대신 에어컨이 약해서 더워요","https://place.map.kakao.com/12048202","대한옥","설렁탕","3.3","서울 영등포구
","2022.06.07.","1"
"1","친절은 바라지도 않은데 불친절함.  다신안감 ","https://place.map.kakao.com/12048202","대한옥","설렁탕","3.3","서울 영등포구
","2022.05.28.","0"
"1","가격은 오르고, 직원들 ㅆㄱㅈ없고, 아주 오래전부터 한달3~4번다니던 단골인데 이젠 다신안감ㅋㅋ","https://place.map.kakao.com/12048202","대한옥","설렁탕","3.3","서울 영등포구
","2022.05.19.","0"
"2","진짜 실망 예전에는 진짜 맛있었는데 변했어요 고기도질겨지고 잡내도 심해졌어요","https://place.map.kakao.com/12048202","대한옥","설렁탕","3.3","서울 영등포구
","2022.05.09.","0"
