"personal_star","review","url","title","category","total_star","location","review_date","label"
"5","진짜 진짜 진짜 맛있음","https://place.map.kakao.com/1272818926","다독이네숯불구이","육류,고기","4.8","서울 동작구
","2022.05.30.","1"
"5","집에서 담근 손맛의 김치 숯불에 굽는 숙성 삼겹살 좋네요~","https://place.map.kakao.com/1272818926","다독이네숯불구이","육류,고기","4.8","서울 동작구
","2022.03.12.","1"
"5","미친 맛. 셋이가서 8인분 먹고 나오자마자 다음을 기약하는 맛.","https://place.map.kakao.com/1272818926","다독이네숯불구이","육류,고기","4.8","서울 동작구
","2022.02.01.","1"
"5","오랫만에 다시 보양물회 먹방하러 갔는데 여기는 노량진에서 가장 맛있는 물회맛집이에요! 진심!! 왜 쯔양이 여기서 먹방하고 좋아했는지 이해가 가슴으로 와닿습니다. 물가가 올라서 가격이 전체적으로 많이 오르긴 했는데 요즘 안오른데는 없으니깐요. 다음에 또 먹방하러 갈게용~^^*","https://place.map.kakao.com/576793755","노량해전","회","3.7","서울 동작구
","2022.05.28.","1"
"1","가격은 아직 업데이트 안 됐네요  저기 가격에서 x2 라고 생각하시면 됩니다.  ","https://place.map.kakao.com/576793755","노량해전","회","3.7","서울 동작구
","2022.05.14.","0"
"5","수산시장이 문 닫은 시간이라 밤에 모둠회 중 5만5천원 포장해서 한강으로 마실갔어요 도착에서 딱 열었는데 오 예상보다 양도 많고 특히 쌈채소랑 쌈장 마늘 초장 이런걸 아주 넉넉하게 챙겨주셔서 좋았습니다~ 이정도면 수산시장 안가고 여리로 또 올 것 같은데..? 했어요~ 특히 제가 깻잎 좋아하는데 야채값이 솔찬할껀데도 안아끼구 많이주셔가지고 감동  마늘이랑 고...","https://place.map.kakao.com/576793755","노량해전","회","3.7","서울 동작구
","2022.05.06.","1"
"4","스끼다시 다양함","https://place.map.kakao.com/576793755","노량해전","회","3.7","서울 동작구
","2022.04.04.","1"
"3","대방어회 맛있다. 기본 찬도 괜찮은 편. 지리는 그냥저냥. / (22.01.28) 대방어회는 여전히 괜찮은데 도미는 영;","https://place.map.kakao.com/576793755","노량해전","회","3.7","서울 동작구
","2022.02.09.","0"
"3","괜찬네 ^^","https://place.map.kakao.com/16090261","오징어야","한식","3.9","서울 동작구
","2022.05.21.","0"
"5","노량진이라 그런가요 가성비 죽여줘요 ㅠ 회도 싱싱하고 존맛","https://place.map.kakao.com/16090261","오징어야","한식","3.9","서울 동작구
","2022.05.12.","1"
"5","옴청 맛있었어요 ! ! 가성비 너무 조아요","https://place.map.kakao.com/16090261","오징어야","한식","3.9","서울 동작구
","2022.03.17.","1"
"5","굿굿굿굿귯","https://place.map.kakao.com/16090261","오징어야","한식","3.9","서울 동작구
","2022.03.10.","1"
"1","사장님이 보는지안보는지 모르겠는데....  쫌 사람을 천천히 받음 안되는건지??  줄계속서서덥고ㅡㅡ음식은계속기다리고  근데 카운터는 계속손님받고  지하1층은 줄서서사람들 먹는것도불편하고진짜  사람좀 시간차좀두고 받으세요  맛은 그냥 딱...고시식당맛....그 이상도 그 이하도 아님","https://place.map.kakao.com/1487148971","골든볼9 본점","뷔페","3.2","서울 동작구
","2022.05.10.","0"
"1","굥묻었음 젠장","https://place.map.kakao.com/1487148971","골든볼9 본점","뷔페","3.2","서울 동작구
","2022.04.30.","0"
"3","각각 몇달 먹어보고 쓰는 노량진 뷔페 리뷰  골든볼: 음식들이 공산품이라 일주일 이상 먹으면 질러서 맛없어서 못 먹음. 짜고 맛 강하고 고기 잡내가 너무 심하다.  그래도 옆에 레알짱보다는 3배 정도 낫다. 셋중에는 빵이 제일 맛있음   레알짱: 개노맛 반찬 부실. 쩝쩝충이랑 뚱뚱한 사람 노인들도 많고 전체적인 퀄리티가 떨어짐.   식객: 완전 추천! 먹은...","https://place.map.kakao.com/1487148971","골든볼9 본점","뷔페","3.2","서울 동작구
","2022.04.09.","0"
"5","출장이 잦아 일끝나고 집가다 종종 들러서 먹는데, 저녁메뉴가 늘 비슷하다는걸 제외하면 훌륭합니다","https://place.map.kakao.com/1487148971","골든볼9 본점","뷔페","3.2","서울 동작구
","2022.03.22.","1"
"1","계산하시는 여성분 싸가지가 대단합니다~","https://place.map.kakao.com/1487148971","골든볼9 본점","뷔페","3.2","서울 동작구
","2022.03.16.","0"
"5","여기는 뭔가 다 좋은 듯 다른 뷔페들은 태이블이 좁게 밀집되어 있는데.. 테이블 간격도 적당하고..  음식은.. 좋음, 갈비 양념이 좀 센 정도…  불도장 같은 특별 메뉴가 한 번에 8-9개 한 판 나오는데.. 기다리는 사람이 많아서 바로 품절 ㅠㅠ  자주 가 볼만 한 곳임 ","https://place.map.kakao.com/7967166","63뷔페 파빌리온","뷔페","3.9","서울 영등포구
","2022.06.04.","1"
"4","이 가격대 호텔뷔페 거의 다씹어먹음 갈때마다 역시 파빌리온이야 라는 만족  ★ 절대비추 지인에 가지말라고 할 집 ★★ 재방문의사 없음/평범 혹은 그이하 ★★★ 괜찮음 누가 가자고하면 다시감 ★★★★ 맛있음 재방문의사 있음 ★★★★★ 추천 찐맛집","https://place.map.kakao.com/7967166","63뷔페 파빌리온","뷔페","3.9","서울 영등포구
","2022.05.31.","1"
"5","지금까지 간 고가 뷔페 중에서 제일 만족스러웠습니다! 요즘 다른 호텔 뷔페들 가격이 많이 올랐는데, 5성급 뷔페들 보다 오히려 나은 점이 더 많았던거 같습니다. 메뉴도 차별화 돼있고, 특히 꽃게탕이 최고ㅜ","https://place.map.kakao.com/7967166","63뷔페 파빌리온","뷔페","3.9","서울 영등포구
","2022.05.04.","1"
