"personal_star","review","url","title","category","total_star","location","review_date","label"
"3","율곡로에 있는데 이름은 순라","https://place.map.kakao.com/2025215095","광고살롱순라","이탈리안","3.7","서울 종로구
","2022.05.30.","0"
"2","음식이 많이 맛있지는 않네요. 누군가를 위한 특별한 날에 간다면 실망할수도 ","https://place.map.kakao.com/2025215095","광고살롱순라","이탈리안","3.7","서울 종로구
","2022.05.28.","0"
"4","평일 런치 세트 먹었는데 만족해요. 번창하셔요. 바로 앞 종묘 구경하기 좋아요.  종로 3가 8번 출구 부근이에요.","https://place.map.kakao.com/2025215095","광고살롱순라","이탈리안","3.7","서울 종로구
","2022.05.12.","1"
"4","테라스 있어서 좋았어요 ! ","https://place.map.kakao.com/2025215095","광고살롱순라","이탈리안","3.7","서울 종로구
","2022.05.05.","1"
"5","맛나고 귀엽공♡","https://place.map.kakao.com/1974266862","카페노티드 안국","카페","3.3","서울 종로구
","2022.06.07.","1"
"4","크림도 맛있고 빵도 맛있어서 기다릴만함!","https://place.map.kakao.com/1974266862","카페노티드 안국","카페","3.3","서울 종로구
","2022.06.03.","1"
"5","크로와상이 더 맛있었음 스티커 귀여웡","https://place.map.kakao.com/1974266862","카페노티드 안국","카페","3.3","서울 종로구
","2022.06.02.","1"
"1","실패","https://place.map.kakao.com/13559837","삼청동수제비","수제비","2.7","서울 종로구
","2022.06.07.","0"
"5","몇년만에 들렀어요 청와대 관람하기 전에... 맛은 여전해요. 감자 호박 조갯살 들어간 시원한 국물.. 감자전은 간이 안돼서 간장맛으로 먹어야","https://place.map.kakao.com/13559837","삼청동수제비","수제비","2.7","서울 종로구
","2022.06.01.","1"
"3","추억의 맛","https://place.map.kakao.com/13559837","삼청동수제비","수제비","2.7","서울 종로구
","2022.05.26.","0"
"1","별로","https://place.map.kakao.com/13559837","삼청동수제비","수제비","2.7","서울 종로구
","2022.05.26.","0"
"5","커피 맛있고 뷰 좋음 사람 그나마 적을 평일 오전에 다시 오고 싶다","https://place.map.kakao.com/353512935","블루보틀 삼청 카페","카페","3.2","서울 종로구
","2022.05.30.","1"
"5","테이크아웃이어도 1층에서 주문하고 2층에서 받는 구조. 음료만드는 곳이 훤히 보이는데 굉장히 청결하단 느낌을 받았어요. 사진찍는 사람들이 대다수라 정신없긴 합니다","https://place.map.kakao.com/353512935","블루보틀 삼청 카페","카페","3.2","서울 종로구
","2022.05.19.","1"
"3","블랜드 좋다.  직원분들은 친절한데. 의자는 친절하지 않다.  느긋하게 쉴 수있는 장소는 아니다.","https://place.map.kakao.com/353512935","블루보틀 삼청 카페","카페","3.2","서울 종로구
","2022.05.19.","0"
"3","사람많아서 항상 밖에 앉음....","https://place.map.kakao.com/853028118","어니언 안국점","카페","3.3","서울 종로구
","2022.05.31.","0"
"5","된장샤브 정말 맛있게 먹고 왔어요! 내부 인테리어가 예뻐서 볼거리도 있고 식사 내내 기분도 좋았어요","https://place.map.kakao.com/1803090740","온천집 익선","샤브샤브","3.6","서울 종로구
","2022.06.05.","1"
"4","맛있게 잘 먹었습니다!  워낙 유명한 곳이라 대기가 있었지만, 맛있어서 용서가 되더군요 :) 다만, 대기 장소가 협소하다는 점은 아쉬웠습니다. ","https://place.map.kakao.com/1803090740","온천집 익선","샤브샤브","3.6","서울 종로구
","2022.06.04.","1"
"1","서비스 최악 일단 입장부터 왜 수기로 쓰는 대기표로 하는지 모르겠고 맛은 그냥저냥 맛있는데 가격이 너무 비쌈... 그리고 직원들이 뭐가 그리 바쁜지 음식 갖다줄때도 턱 놓고 가고 육수가 다 떨어져서 채워 달라고 3번 말해서야 드디어 채워줌~ 2층에 앉았는데 일단 벨이 고장나서 있으나 마나임~ 가격싼집도 아닌데 직원 교육좀 하세요~","https://place.map.kakao.com/1803090740","온천집 익선","샤브샤브","3.6","서울 종로구
","2022.05.31.","0"
"1","또한번 백반기행에 실망 휴무아침 뜨끈한 국물에 밥말아먹고 싶다고 인천에서부터 찾아간 이문설렁탕 분명 배도 심하고 고팠고 백반기행 설레발에 맛있게 먹어야했을텐데 실망 ᆢ국물은 맹탕  비싼가격에 수입소","https://place.map.kakao.com/24725293","이문설농탕","설렁탕","3","서울 종로구
","2022.05.30.","0"
"1","맛없어요...진국아님...국물맛이 많이 싱거워요","https://place.map.kakao.com/24725293","이문설농탕","설렁탕","3","서울 종로구
","2022.05.22.","0"
"1","숟가락을 설렁탕안에 이미 종업원이 넣어서 가져오는 비상식적인 가게.. 기분이 누가 먹다가 남긴거 주는 딱 그느낌. 믿을수 없었어요","https://place.map.kakao.com/24725293","이문설농탕","설렁탕","3","서울 종로구
","2022.05.20.","0"
"3","선지해장국의 백미는 특유의 꼬릿한향이거늘, 이정도 냄새도 싫으면 그냥 순대국먹으러가야지. 냄새없는 삭힌홍어 찾는거랑 뭐가다를까. 오히려 향이 좀더 세지않아 아쉬웠다. 가격은 한우로 만들었으니 납득가는수준, 건더기는 많이들어있는편 이고 간은 약한편이다. 자극적인 맛을 좋아하는 사람들에겐 좀 아쉬운곳","https://place.map.kakao.com/27540102","청진옥 본점","해장국","2.8","서울 종로구
","2022.06.07.","0"
"5","Since 1937. 대한민국 양선지해장국의 원조 & 상징.","https://place.map.kakao.com/27540102","청진옥 본점","해장국","2.8","서울 종로구
","2022.06.03.","1"
"1","최악이네요 서비스는 엉망이고 맛도 없습니다 가격만 비싸고 영~~","https://place.map.kakao.com/27540102","청진옥 본점","해장국","2.8","서울 종로구
","2022.06.02.","0"
"1","가게 위생상태가 안 좋네요. 가게 안에 걸레빤듯한 냄새가 심하게 납니다. 식탁도 더러워요.","https://place.map.kakao.com/27540102","청진옥 본점","해장국","2.8","서울 종로구
","2022.05.29.","0"
