"personal_star","review","url","title","category","total_star","location","review_date","label"
"4","맛집으로 인정합니다.  넘치는 손님 때문인지 도우선생들의 표정이좀 무거워보이는점이 아쉬웠어요 모두들 행복하시기 바랍니다.","https://place.map.kakao.com/13025948","대보명가 서울본점","한식","3.7","서울 강북구
","2022.05.29.","1"
"4","맛집 답네요 좋아요 별 4개!","https://place.map.kakao.com/13025948","대보명가 서울본점","한식","3.7","서울 강북구
","2022.05.06.","1"
"3","직장 근처라 가끔 가는편 ,, 다 좋은데 , 서빙 하시는 분들 , 불 친절 ,,그릇 탕탕 놓고 무 매너 ,. 손님 모시고 갔는데 무안  음식 깔끔하고 맛있는데 망치는 기분","https://place.map.kakao.com/13025948","대보명가 서울본점","한식","3.7","서울 강북구
","2022.04.27.","0"
"5","오랜만에 느낀 신선하게 다가온 최고의맛집 어복쟁반비슷하게 나오는데 한약재넣고 끓인 국물에 몸에좋은 나물등이 많아 어른모시고가면 100명중 100명다 좋아할맛 서울에 이런곳이 있다니 가는길이 오는길다 차가막히는곳이지만 한달에 한번은가고싶은집 윗층에 한방찻집도 너무좋아서 꼭 들려야함 마시고 액상차 구매해옴 대용량이고 비싼편인데 반씩팔면 좋을듯 한병에5만원은 부...","https://place.map.kakao.com/13025948","대보명가 서울본점","한식","3.7","서울 강북구
","2022.04.14.","1"
"5","이제 한식하면 대보명가만 생각 날 것 같아요 건강한 기운 받고 갑니다  번창하시고  식사 하신 모든 분들 건강하세요 ","https://place.map.kakao.com/13025948","대보명가 서울본점","한식","3.7","서울 강북구
","2022.03.27.","1"
"5","북한산 하산푸드로 매우 좋음","https://place.map.kakao.com/16765409","엘림들깨수제비칼국수","국수","4.3","서울 강북구
","2022.04.24.","1"
"3","수육 질기고 퍽퍽해요. 그냥 수제비만 먹는게 나음.","https://place.map.kakao.com/16765409","엘림들깨수제비칼국수","국수","4.3","서울 강북구
","2022.04.14.","0"
"3","가격도 오르고 묵은지도 없어지고 칼제비만되고 난 칼국수가 좋은데. .변하지 않음 했는데. . 처음 같지 않아 약간 실망이 됐네요","https://place.map.kakao.com/16765409","엘림들깨수제비칼국수","국수","4.3","서울 강북구
","2022.04.09.","0"
"5","들깨칼제비 진짜 최고!  가격 올랐지만 그래도 가성비 좋아요.  수육도 맛있습니다.","https://place.map.kakao.com/16765409","엘림들깨수제비칼국수","국수","4.3","서울 강북구
","2022.03.28.","1"
"5","가성비 괜춘한곳 같아요","https://place.map.kakao.com/16380488","다래함박스텍","돈까스,우동","4.2","서울 강북구
","2022.05.06.","1"
