"personal_star","review","url","title","category","total_star","location","review_date","label"
"4","정적이고 아늑해서 좋았어요 다만 실외주변주위풍경이조금그래요. 그치만 맛도있고 힐링되는곳","https://place.map.kakao.com/1403389795","다온나루","커피전문점","4.3","부산 강서구
","2022.05.22.","1"
"5","아메리카노 맛있었습니다^^","https://place.map.kakao.com/1403389795","다온나루","커피전문점","4.3","부산 강서구
","2022.03.18.","1"
"5","마음이 편안해지는 곳 휴식이 필요할땐 다온나루. 웨딩. 돌 촬영을 하는 사진작가도 있고 대관도 하는 곳.","https://place.map.kakao.com/1403389795","다온나루","커피전문점","4.3","부산 강서구
","2022.02.14.","1"
"5","여기에 카페가 있을까 싶은 곳에 있어서 좀 당황했지만 주차장이 넓어 주차도 편했고 매장도 몇 개의 건물로 나뉘어져 있고 야외자리도 많아서 좋았어요 무더운 여름에 가서 밖에 못 있고 사랑채같은 곳에 들어갔는데 좌식이라 불편하긴 했지만 나무로 지은 건물이라 그런지 은은하게 나무향이 나서 정말 좋더라구요 자연을 느끼게하는 인테리어나 조경이 매력적인 집","https://place.map.kakao.com/1403389795","다온나루","커피전문점","4.3","부산 강서구
","2021.11.12.","1"
"4","뷰가 상당히 좋습니다!","https://place.map.kakao.com/1775749005","이프리오","커피전문점","3.6","부산 강서구
","2022.01.27.","1"
"5","커피도 맛있고 분위기도 좋습니다. 장모님 모시고 왔는데 강변이라 분위기도 좋아서 너무 좋아하시네요 나중에 낮에도 와봐야겠습니다","https://place.map.kakao.com/1775749005","이프리오","커피전문점","3.6","부산 강서구
","2021.05.01.","1"
"5","아메리카노 질도 좋았고, 베이커리도 준수했습니다. 딸기케익은 인공적이지 않은 은은한 맛이라 더 좋았어요","https://place.map.kakao.com/1775749005","이프리오","커피전문점","3.6","부산 강서구
","2021.01.03.","1"
"5","핸드드립 마셨는데 향 좋고 맛 좋았어요.  뷰가 좋은 자리에 앉으세요~  2~6인 앉을 수 있는 분리된 공간도 있어서 요즘같은 시기에 도움이 됩니다. ","https://place.map.kakao.com/1775749005","이프리오","커피전문점","3.6","부산 강서구
","2020.12.17.","1"
"5","양도 많고 돼지비린내 안 나고 맛있어요","https://place.map.kakao.com/14547179","영진돼지국밥","국밥","4","부산 강서구
","2022.04.21.","1"
"5","국밥먹고 후기쓰는건 처음입니다. 평소에도 국밥을 즐겨먹는데, 가덕도 갔다가 부산시내로 가기전에 식사시간이라 밥집 찾아 가게됐습니다. 홀에 이모님들이 반찬 부족한건 없는지 먼저 물어보고 챙겨주시고, 국물 줄은거 보고 국물도 더 주시고 그동안 수많은 국밥집을 가봤지만 이런 친절은 처음 경험했습니다. 이미 많은 손님이 찾는 식당으로 알고있는데 앞으로도 변치않고 ...","https://place.map.kakao.com/14547179","영진돼지국밥","국밥","4","부산 강서구
","2022.04.12.","1"
"4","좋아용^^","https://place.map.kakao.com/14547179","영진돼지국밥","국밥","4","부산 강서구
","2021.12.06.","1"
"1","음식도 별로고 불친절하고 값도 비싸다.  두 번 가기 싫다.","https://place.map.kakao.com/11256554","소희네집","해물,생선","2.7","부산 강서구
","2022.05.18.","0"
"1","주말에 사람도 많고 안내도 안되서 모르고 예약석에 앉았다가 알바생 여자분 저희한테 고함을 고래고래 지르면서 나가라고 하시네요 ㅋㅋㅋ 예약석이라고 그냥 다른자리에 앉으라 하면 될것을 나가라고 고함을 고함을.. 싸가지도 정도껏 없어야지 기분 잡쳐서 가족들이랑 그대로 다 나왔습니다 알바생인지 주인 딸인지 나이도 어려보이던데 똥 밟았네요 차라리 똥이랑 대화하는게 ...","https://place.map.kakao.com/11256554","소희네집","해물,생선","2.7","부산 강서구
","2022.04.12.","0"
"2","가성비 빼고는 위생이나 밥도 너무 질고,,, 두번은 않간다","https://place.map.kakao.com/11256554","소희네집","해물,생선","2.7","부산 강서구
","2022.04.03.","0"
"1","이건 아니지.  회사 구내식당보다 더 못하구만,  그냥 인근에 일꾼들한테 점심사준다고 생색내는 정도로 똭~~  적당하다.  반찬은 분명 전날해놓은게 분명하다.  뭔무침인지는 모르지만 군내가 작렬~~~  떡은 딱딱해진거 전자렌지 돌린거처럼 더 딱딱했고,  들어가자 30초도 안되어 음식나오는거 보고 쎄~~~하드만....  장모님모시고 왔다가 평생 찍히게 생겼다...","https://place.map.kakao.com/11256554","소희네집","해물,생선","2.7","부산 강서구
","2022.03.02.","0"
"5","진짜 맛있어요 서울에 사는데도 벌써 4번째 방문입니다 ㅎㅎ 그리고 젓갈이랑 게장 항상 따로 구입해서 서울로 가져가서 먹어요","https://place.map.kakao.com/11256554","소희네집","해물,생선","2.7","부산 강서구
","2022.02.27.","1"
"1","호기심에 한번은 갔는데 두번은 안감... 다른데 비해 반찬은 좀더 나오는데 음식은 별로임...","https://place.map.kakao.com/968120634","명지첫집","족발,보쌈","3.7","부산 강서구
","2022.05.29.","0"
"5","여태 먹어본 보쌈 중에 제일 맛났어요ㅠㅠ 야들야들.. 다른 밑반찬들도 하나같이 감칠맛있고... 너무 잘먹었습니당!!","https://place.map.kakao.com/968120634","명지첫집","족발,보쌈","3.7","부산 강서구
","2022.05.03.","1"
"5","입이 진짜 유별나게 까다로운 아들이 평소 보쌈  안좋아하는데 여기 주문해서 먹일땐 조용히 다 먹더라구요 냄새가 안나고 보드러워서 맛있어요 퍽펃하지도 않고 오래된 냄새도 안나요 ","https://place.map.kakao.com/968120634","명지첫집","족발,보쌈","3.7","부산 강서구
","2022.04.01.","1"
"1","족발이 없으면 자리 앉기전에 입구에서 먼저 안내를 해줘야하는거 아닌가요  자리 앉아서 상차려지고 주문할때 족발 없다고 하는건 무슨경우인가요 배고파서 그냥 먹고 갔지만 기분이 너무 별로였습니다","https://place.map.kakao.com/968120634","명지첫집","족발,보쌈","3.7","부산 강서구
","2021.12.28.","0"
"4","자주가는곳 무난합니다.","https://place.map.kakao.com/968120634","명지첫집","족발,보쌈","3.7","부산 강서구
","2021.10.11.","1"
"5","JMT","https://place.map.kakao.com/10729458","장룡수산 본점","장어","4.3","부산 강서구
","2022.03.19.","1"
"5","ngon à ngen ","https://place.map.kakao.com/10729458","장룡수산 본점","장어","4.3","부산 강서구
","2021.11.21.","1"
"5","갈곳","https://place.map.kakao.com/10729458","장룡수산 본점","장어","4.3","부산 강서구
","2021.11.12.","1"
"2","주위환경 테이블에서 의자 불편하고 주차 흙먼지로 불편함","https://place.map.kakao.com/16926432","포도밭대저할매국수","국수","3","부산 강서구
","2022.04.10.","0"
"1","딸인지 며느리인지는 몰라도 고무장갑하나로 손님들음식그릇 반찬  주걱 행주 음식물쓰레기통 등등 모든걸 만지작그리고 제대로 그 고무장갑씻지도 않더라구요 몇일전 두눈으로 보고는 참 어이가 없었어요","https://place.map.kakao.com/16926432","포도밭대저할매국수","국수","3","부산 강서구
","2022.03.30.","0"
"1","선불","https://place.map.kakao.com/16926432","포도밭대저할매국수","국수","3","부산 강서구
","2022.03.30.","0"
"3","별맛은 없었다..평범한맛","https://place.map.kakao.com/16926432","포도밭대저할매국수","국수","3","부산 강서구
","2022.02.20.","0"
