"personal_star","review","url","title","category","total_star","location","review_date","label"
"5","가격대비 맛과 멋이 조화로운 빵집","https://place.map.kakao.com/16990385","쟝블랑제리","제과,베이커리","3.7","서울 관악구
","2022.06.03.","1"
"5","생크림단팥빵 맛있어요!","https://place.map.kakao.com/16990385","쟝블랑제리","제과,베이커리","3.7","서울 관악구
","2022.06.03.","1"
"5","맛있어요!! 초코크로와상은 그냥저냥이고 양파베이글, 생크림단팥빵 , 잠봉뵈르 맛있네요 잠봉뵈르는 특이하게 치즈대신 버터랑 햄 바질소스 들어있습니다. 빵에 크랜베리도 씹혀서 다음에도 먹고 시퍼요. 양파베이글도 양파 씹히던데 존맛","https://place.map.kakao.com/16990385","쟝블랑제리","제과,베이커리","3.7","서울 관악구
","2022.05.29.","1"
"1","서버 분께서 숯불 빼면서 고기 빠트림 :) 제대로 된 사과없이 어리굴젓 주며 퉁침 ^^)...","https://place.map.kakao.com/10122642","강강술래 신림점","갈비","2.6","서울 관악구
","2022.06.06.","0"
"2","직원 ♬♪♬♪","https://place.map.kakao.com/10122642","강강술래 신림점","갈비","2.6","서울 관악구
","2022.06.06.","0"
"4","젼맛 할머니가 자주 데려가줬음","https://place.map.kakao.com/10122642","강강술래 신림점","갈비","2.6","서울 관악구
","2022.05.24.","1"
"4","저녁시간 2+1 없어져서 너무 아쉽다 ㅠ","https://place.map.kakao.com/10122642","강강술래 신림점","갈비","2.6","서울 관악구
","2022.05.19.","1"
"1","서비스를 받고 싶으면 다른곳을 이용하세요. 불친절을 느껴보고 싶다면 이용해보세요.","https://place.map.kakao.com/10122642","강강술래 신림점","갈비","2.6","서울 관악구
","2022.05.08.","0"
"1","자주 갔었는데 치즈돈가스에 소스따로 달라고 주문하고 기다리니 생선가스가 나와서 안시켰다고 하니까 계속 가져가지도 않고 생선가스 시켰다고 우겨가지고 바꿔주지도 않아 열받아서 이제 안갑니다.","https://place.map.kakao.com/27508076","온정돈까스","돈까스,우동","2.4","서울 관악구
","2022.04.20.","0"
"5","여기 단골인데 후기보고 오지들마라.. 요즘 갈때마다 줄서 먹기힘들어 죽겄다","https://place.map.kakao.com/27508076","온정돈까스","돈까스,우동","2.4","서울 관악구
","2022.04.12.","1"
"1","포장하려고 전화했더니 무슨 전화주문도 안받고 와서 줄서라네. 걍 안먹어요","https://place.map.kakao.com/27508076","온정돈까스","돈까스,우동","2.4","서울 관악구
","2022.03.17.","0"
"1","최악 고기 휴지 한장이랑 비슷 튀김은 김밥마냥 뚜껍고 소스는 뭐이리 셔 돈 버리고 왔네 ","https://place.map.kakao.com/27508076","온정돈까스","돈까스,우동","2.4","서울 관악구
","2022.03.12.","0"
"5","자신있게 데려갈 수 있는 신림 보쌈집.","https://place.map.kakao.com/18569567","정담은보쌈 신림점","족발,보쌈","4.4","서울 관악구
","2022.05.30.","1"
"5","느끼하지 않고 깔끔해요.","https://place.map.kakao.com/18569567","정담은보쌈 신림점","족발,보쌈","4.4","서울 관악구
","2022.05.28.","1"
"4","느끼하지 않고 깔끔해요","https://place.map.kakao.com/18569567","정담은보쌈 신림점","족발,보쌈","4.4","서울 관악구
","2022.05.15.","1"
