"personal_star","review","url","title","category","total_star","location","review_date","label"
"4","맛있게 먹었는데 특히 샐러드바에 만족","https://place.map.kakao.com/898970657","신림춘천집 구로디지털직영점","닭요리","4.7","서울 구로구
","2022.06.08.","1"
"5","너무 맛있어요!!! 볶아져서 나오니까 더 더 맛있는 것 같아요! 맛집 인증!!","https://place.map.kakao.com/898970657","신림춘천집 구로디지털직영점","닭요리","4.7","서울 구로구
","2022.06.06.","1"
"5","맛있어요!","https://place.map.kakao.com/898970657","신림춘천집 구로디지털직영점","닭요리","4.7","서울 구로구
","2022.06.03.","1"
"5","별점 높아서 의심했는데… 맛있으니까 꼭 가세요…","https://place.map.kakao.com/898970657","신림춘천집 구로디지털직영점","닭요리","4.7","서울 구로구
","2022.05.28.","1"
"5","이 근방에선 젤 맛있어영","https://place.map.kakao.com/898970657","신림춘천집 구로디지털직영점","닭요리","4.7","서울 구로구
","2022.05.23.","1"
"4","샤오롱바오 보단 군만두가 맛있네요 군만두 소룡포 마파두부 볶음밥 맛있었어요 맥주는 테라죠..집에 테라가격에 사온 칭따오병맥이 있어서 ㅋㅋ","https://place.map.kakao.com/929624344","월래순교자관","중식","3.8","서울 구로구
","2022.06.05.","1"
"1","3년 5개월 여만에 다시 찾았다. 가게는 맞은 편으로 이전했고, 깨끗해졌다. 만두를 잘 하는 건 예나 지금이나 마찬가지인데, 디테일은 아주 나빠졌다. 예전에 없던 생맥주가 보아길래 곁들이려고 주문했더니, 생맥주 피처에 먼저 맥주를 따라 놓고 그걸 다시 유리잔에 옮겨담는 세상 어디에서도 본 적 없는 짓을 자행한다. 생맥주의 로스를 줄이려는 얄팍한 술수인 셈이...","https://place.map.kakao.com/929624344","월래순교자관","중식","3.8","서울 구로구
","2022.06.02.","0"
"2","향에 민감하시분들은 잘 못드실꺼같아요. 엄청 맛있다는 아닌데 가성비는 있네요.근데 느끼하고 그래서 두번은 찾을 맛은 전 아니에요.그리고 바쁜 시간대도 아닌데 젊은 여직원은 메뉴판이며 그릇이며 줄때 던지듯이 주는지 기분 불쾌했습니다.","https://place.map.kakao.com/929624344","월래순교자관","중식","3.8","서울 구로구
","2022.05.09.","0"
"5","진짜 모든 음식 너.무 맛있음. 고추잡채, 만두, 냉면, 마파두부는 꼭 시켜드세요. 안드시면 후회밖에 없음. 새우볶음밥 시켜서 마파두부랑 비벼먹으면 술도 잊고 허겁지겁 먹게됨.","https://place.map.kakao.com/929624344","월래순교자관","중식","3.8","서울 구로구
","2022.05.05.","1"
"5","만두+토달볶+완탕+칭타오시켰는데 3만원 언더 가성비 굳","https://place.map.kakao.com/929624344","월래순교자관","중식","3.8","서울 구로구
","2022.04.30.","1"
"1","별 한개도 아깝네요. 맛은 괜찮으나, 서비스 마인드가 아닌 듯요. 2시간 시간제한은 많은 사람들이 방문한다고 하니, 이해합니다. 하지만 추가 메뉴른 주문했을 때, 너무 빨리 먹고 나가라는 식으로 얘기하며, 손님한테 뭐라고 하는 건 좀 아닌 듯 합니다. 다시 방문하고 싶지는 않네요. 원래 댓글 잘 안하는데, 이 말 적으려고 로그인 했습니다.","https://place.map.kakao.com/18767096","강촌숯불닭갈비 본점","닭요리","3","서울 구로구
","2022.05.21.","0"
"5","맛있었어요~","https://place.map.kakao.com/18767096","강촌숯불닭갈비 본점","닭요리","3","서울 구로구
","2022.05.19.","1"
"1","기다려야해요? 대기 있어요? 기다리세요~대기 꽉 찼어요~ 그럼 대기 순서 적는곳은 어디에요? 그런거 없어요~앞에서 기다리세요~ 그럼 순서를 어떻게 알고 들여보내시는거에요? 그냥 기다리세요~","https://place.map.kakao.com/18767096","강촌숯불닭갈비 본점","닭요리","3","서울 구로구
","2022.05.18.","0"
"1","맛은 있으나 위생이 좋지 않아 보이고, 3명이면 입장시켜주고 2명이면 안된다 함","https://place.map.kakao.com/18767096","강촌숯불닭갈비 본점","닭요리","3","서울 구로구
","2022.05.09.","0"
"1","블랙컨슈머가 되어야겠소.. 욕설과 행동 진심 x판이더군요 이 가게만 100번은 아니지만 지난 8년 동안 정말 많이 다녔습니다. 금일 아버지 모시고 다녀왔는데 사정상 저녁 좀 늦게.. 9시 가까이 들어가서 10시 30분에 문 닫는다는 이야기를 듣고 실례 안되게 나오려고 했습니다. 10시가 되기 전에 이미 매장 정리를 시작했고 그 전에도 정리하는 느낌이 나는 ...","https://place.map.kakao.com/18767096","강촌숯불닭갈비 본점","닭요리","3","서울 구로구
","2022.05.07.","0"
"5","메밀국수 같은 면발, 의외로 쫄깃하다. 육수는 우래옥이나 필동면옥 정도로 간이 센 편. 잘 먹었습니다.","https://place.map.kakao.com/25049372","평양냉면","냉면","3.7","서울 구로구
","2022.06.01.","1"
"3","가성비 정말 좋은 노포. 말도 안되게 비싼 다른 평랭 집들은 반성해라~ 너무 비싸서 여기나 유진식당 같은 곳 아니면 평랭도 못 먹겠다 ㅠㅠ  2014년 첫 방문 때는 강한 육향과 고소한 메밀면으로 저렴한 가격인데 맛은 고가에 평랭집들에 절대 밀리지 않는 극강에 가성비 였음. 2021년 마지막 방문 때 육향이 약해져 아쉬웠음. 현재는 어떤지 방문 후 수정 예...","https://place.map.kakao.com/25049372","평양냉면","냉면","3.7","서울 구로구
","2022.05.01.","0"
"1","유튜브보고 가자던 남편과 이혼할뻔...ㅜㅜ","https://place.map.kakao.com/25049372","평양냉면","냉면","3.7","서울 구로구
","2022.04.02.","0"
"1","별로임","https://place.map.kakao.com/25049372","평양냉면","냉면","3.7","서울 구로구
","2022.02.08.","0"
"4","맛있던데 커피만좀 저렴했으면..1인메뉴브런치도 있었으면","https://place.map.kakao.com/14984169","메이비","카페","3","서울 구로구
","2022.05.21.","1"
"1","안갑니다. 불친절하고 정말 이런 말 하기싫은데 재수없어요~~~~ 별하나도 너무 아깝고 별 안주고싶네요","https://place.map.kakao.com/14984169","메이비","카페","3","서울 구로구
","2022.05.10.","0"
"1","직원들이 진짜 너무 불친절함.  기본적인 친절 교육이 결여된듯.  솔직히 친절만 개선해도 매출 10~20%는 오를듯.  특히 여직원들이 다들 지나치게 예민함. ","https://place.map.kakao.com/14984169","메이비","카페","3","서울 구로구
","2022.04.03.","0"
"1","우선 매장내 콘센트는 없는듯 하고요 와이파이 접속도 제대로 안되는듯 하고요 (휴대폰 테더링해서 씀) 주차는 20,000원인가 이상 구매해야 2시간 줍니다 그래서 저는 별로.....(참고하세요.)","https://place.map.kakao.com/14984169","메이비","카페","3","서울 구로구
","2022.02.18.","0"
"4","냉동음식(무한이라 딱히 기대는 안함.) 자기먹고싶은고 주문하면 좀 늦게와서. 한거번에 많이시키는거 추천(기다리는시간에 감튀같은거 먹고 시간보내는것도 추천)","https://place.map.kakao.com/14612436","갓파스시 구로점","초밥,롤","2.8","서울 구로구
","2022.05.28.","1"
"1","알바분 오지도 안고 설명도 안함 다시는 가고싶지 안음 맛은 그냥 냉동느낌 돈 더내고 참치나 먹으러감","https://place.map.kakao.com/14612436","갓파스시 구로점","초밥,롤","2.8","서울 구로구
","2022.05.14.","0"
"5","평일런치 가성비 괜찮은 듯","https://place.map.kakao.com/14612436","갓파스시 구로점","초밥,롤","2.8","서울 구로구
","2022.05.02.","1"
"3","음. 두번째가니 이제 알겠음.  맛없음. ","https://place.map.kakao.com/14612436","갓파스시 구로점","초밥,롤","2.8","서울 구로구
","2022.03.20.","0"
"2","돈 더 내고 제한접시했는데 일반접시랑 다를게없네요 더럽게 비싸고 맛은 평범해요 부디 가실 때 참고하시기를","https://place.map.kakao.com/14612436","갓파스시 구로점","초밥,롤","2.8","서울 구로구
","2022.03.19.","0"
