"personal_star","review","url","title","category","total_star","location","review_date","label"
"4","구로, 금천구 쪽에서는 가장 오래된 화상중국집으로 중국식 인테리어가 제법 분위기 있다. 옛날식 짜장을 맛 볼 수 있고 딤섬종류는 포장해 가거나 사이드메뉴로 먹을만하다. since 1951년","https://place.map.kakao.com/11833906","동흥관","중화요리","2.8","서울 금천구
","2022.05.20.","1"
"4","어려서 부터 단골인데 개인적으로는 짬뽕이 최고인듯 다른 요리도 맛있어요","https://place.map.kakao.com/11833906","동흥관","중화요리","2.8","서울 금천구
","2022.05.12.","1"
"5","돈의문 박물관마을의 서울미래유산관에 전시된 동흥관 자료","https://place.map.kakao.com/11833906","동흥관","중화요리","2.8","서울 금천구
","2022.04.29.","1"
"1","옆 테이블서 머리카락 나옴.. 서비스도 별로고  요리도 가격대비 별로.. 차라리 홍대로 가겠음","https://place.map.kakao.com/11833906","동흥관","중화요리","2.8","서울 금천구
","2022.04.17.","0"
"1","점점 최악임. 불이 고장나서 숯불나오는데 20분걸리고, 고기도 직접구워먹어야함. 냉면20분씩걸리는데 괜찮으면 가세요","https://place.map.kakao.com/8153541","강강술래 시흥점","육류,고기","3.3","서울 금천구
","2022.03.12.","0"
"5","장모님과 함께 찾은 찾아간 집, 옛날에 우리가 많이 먹었던 청국장 비빕밥을 기억나게하는 맛이 뭍어는 맛집이다. 감사합니다.","https://place.map.kakao.com/8153541","강강술래 시흥점","육류,고기","3.3","서울 금천구
","2022.02.20.","1"
"5","등심 존맛탱이에요 담엔 스페셜로 ㄱㄱ","https://place.map.kakao.com/8153541","강강술래 시흥점","육류,고기","3.3","서울 금천구
","2022.02.03.","1"
"5","올 때마다 항상 잘 먹고 갑니다. 직원분들이 친절하고 고기도 맛있어요.","https://place.map.kakao.com/8153541","강강술래 시흥점","육류,고기","3.3","서울 금천구
","2021.12.18.","1"
"4","기본적으로 달달한 맛에 매콤함을 더해서 젊은 사람들 입맛에 잘 맞을듯. 가격이 좀 아쉬워요","https://place.map.kakao.com/1954563179","가산물갈비&백년불고기","불고기,두루치기","3.6","서울 금천구
","2022.05.31.","1"
"1","어우 달고 짜고 맵고 근본없이 불량스러운 맛 콩나물 밑에 숨겨진 갈비는 한약재로 과하게 닳여져 너무 쓰고 맛없음 사람 왜 많은지 진짜 모르겠음;(","https://place.map.kakao.com/1954563179","가산물갈비&백년불고기","불고기,두루치기","3.6","서울 금천구
","2022.03.30.","0"
"1","3시에 브레이크타임있다고 2시부터 3시부터 나가야됩니다 이러는게 맞나요??  계속 눈치주는데 맞나요? 그러면 손님을 받지를 말아야죠. 여기 다시는 오기싫네요. ","https://place.map.kakao.com/1954563179","가산물갈비&백년불고기","불고기,두루치기","3.6","서울 금천구
","2022.02.08.","0"
"5","재방문의사 100퍼 음식도 서비스도 완벽했습니다","https://place.map.kakao.com/1954563179","가산물갈비&백년불고기","불고기,두루치기","3.6","서울 금천구
","2022.01.25.","1"
"1","완전비추. 사장이 음식같다 먹는데 엄청 눈치를 줌. 내돈내고 내가먹는데 조리음식 다양하지 않음.5가지 종류(짜장.짬뽕.탕수육.스프.깐풍기) 차비들여서 가기에는 메리트없음.","https://place.map.kakao.com/1713311171","도원","뷔페","3.7","서울 금천구
","2022.05.20.","0"
"4","짜장 4.5 짬뽕 3 탕수육 4.5 양장피 3 기타요리류 3 청결 4 사장님땀냄새 2 가격 5 친절 4.5 주차 5  짜장과 탕수육 추천 사장님 고도비만이시라 쉰냄새가... 배불러서 볶음밥, 중국냉면은 못먹엇는데 다음에 먹어볼게요~!","https://place.map.kakao.com/1713311171","도원","뷔페","3.7","서울 금천구
","2022.05.09.","1"
"3","가깝고 중식을 아주 좋아하며 많이많이 드실수있는 분께 추천드립니다. 특히 탕수육이 맛있기 때문에 탕수육을 아주 좋아하시고 많이많이 드실수있으면 나름데로...","https://place.map.kakao.com/1713311171","도원","뷔페","3.7","서울 금천구
","2022.04.18.","0"
"5","맛있어요. 항상 건강하세요 사장님!","https://place.map.kakao.com/16794970","순댕이네얼큰수제비","수제비","2.8","서울 금천구
","2022.05.23.","1"
"3","22.03.28(월) 또 헛걸음~~ 어쩐지 전화를 안받더라~~ 다음번에 꼭!! 전화 해보고 가는걸로~~","https://place.map.kakao.com/16794970","순댕이네얼큰수제비","수제비","2.8","서울 금천구
","2022.03.29.","0"
"1","맛은 최고. 멍청이들같으니 느려빠져서는. 이게 뭐 대단한 음식이라고. 조리 시스템 개선하세요. 이동네사는데 수십년동안 2번 가봤네요. 너무기다려.","https://place.map.kakao.com/16794970","순댕이네얼큰수제비","수제비","2.8","서울 금천구
","2022.03.29.","0"
"5","고기/김치 둘다 맛있어요. 더 대박은 전골에 들어가는 육수... 육수 정말 맛있습니다. 그리고 친절하시고... 만두먹고 감동도 먹었습니다.","https://place.map.kakao.com/1454070757","개성손만두요리전문점 가산디지털점","한식","4.6","서울 금천구
","2022.05.07.","1"
"4","진짜 괜찮은 집. 가성비도 좋고 국물이 진짜 맛있음","https://place.map.kakao.com/1454070757","개성손만두요리전문점 가산디지털점","한식","4.6","서울 금천구
","2022.02.03.","1"
"5","왜 별점 높은지 이해됨","https://place.map.kakao.com/1454070757","개성손만두요리전문점 가산디지털점","한식","4.6","서울 금천구
","2021.11.07.","1"
"5","전체적으로 맛있어요! 콤보 세트로 타코 브리또볼 퀘사디아 다 맛볼수 있어 좋았고 여자들이 먹기에 양도 넉넉한 편. 주중 저녁시간에 웨이팅이 좀 있으나 직원들 모두 친절함","https://place.map.kakao.com/1020449161","호세가","멕시칸,브라질","4.4","서울 금천구
","2022.04.19.","1"
"3","돼지타코 포장. 얇은 또띠아에 양념한 돼지고기, 양파, 양상추와 고추 페이스트로 보이는 것이 올라갔는데, 신맛이 없고 고수도 없다. 주문할 때 고수에 대해 안물어봤으니 그냥 안넣는 듯.  고수맛이 안나서 별 세 개. 멕시칸 불모지인 동네에 그것도 골목에서 장사하는데 너무 밍숭밍숭한 맛이라 실망. 개성 팍팍을 느끼려면 좀 더 비싼 것을 골라야했나 싶다.  동...","https://place.map.kakao.com/1020449161","호세가","멕시칸,브라질","4.4","서울 금천구
","2022.03.25.","0"
"4","엄청맛있는건 아니지만 괜찮아요 직원들 친절함 브리또볼 시켰는데 고기랑 밥양이 적은느낌? 첨에 빼먹고 밥 안넣어준줄 알고 한참 찾아봄; 고수 들어가요 저는 빼달라함 그냥저냥 ㄱㅊ 맥시칸 땡길때 올만한듯 갠적으로 부리또볼은 역쉬 쿠차라..","https://place.map.kakao.com/1020449161","호세가","멕시칸,브라질","4.4","서울 금천구
","2022.03.09.","1"
"3","스파이시치킨 프라이스 - 1/5 부리또볼인데 라이스가 감자튀김으로 바뀐 것일 줄 알고 시켰는데 진짜 감자튀김 만방에 야채 0%에 소스에 치킨 양 조금 나올 뿐… 너어무 실망. 말그대로 소스, 닭고기 조금, 감자튀김 오만상… 맛없어서 사진 안찍음  비프브리또볼- 4/5 큐브형태로 된 촉촉한 비프일 줄 알았으나 납작한 숯불고기 느낌. 전체적인 재료들의 양과 조...","https://place.map.kakao.com/1020449161","호세가","멕시칸,브라질","4.4","서울 금천구
","2022.02.26.","0"
"5","본토 찐맛집 우육면진짜 맛있어요  양도 많고 맛있어요 중국현지맛 그대로 입니다.","https://place.map.kakao.com/1627688058","김사부샤브샤브","샤브샤브","3.9","서울 금천구
","2022.05.29.","1"
"3","집에서 멀어도 맛있어서 자주 가던 맛집이였는데 예전에 비해서 꿔바로우 쫀득함이 사라져서 아쉬워요ㅠㅠ ","https://place.map.kakao.com/1627688058","김사부샤브샤브","샤브샤브","3.9","서울 금천구
","2022.05.14.","0"
"5","샹궈 최고 탕슈슉 최고 평소 마라 좋아하시는 분들은 꼭 가세요","https://place.map.kakao.com/1627688058","김사부샤브샤브","샤브샤브","3.9","서울 금천구
","2022.05.12.","1"
"4","꿔바로우 마라샹궈 맛집 잊지 못하는 그 맛","https://place.map.kakao.com/1627688058","김사부샤브샤브","샤브샤브","3.9","서울 금천구
","2022.02.24.","1"
"5","가산 근방 중국요리점 중에서 제일 맛있어요 꿔바러우 마라샹궈가 베스트메뉴이고 루육돤 지삼선도 맛있어요 청결도는 잘 모르겠지만...맛과 가격으로 커버 가능합니다","https://place.map.kakao.com/1627688058","김사부샤브샤브","샤브샤브","3.9","서울 금천구
","2022.02.07.","1"
"5","고기에 칼집+초벌구이해서 나와요. 정말 부드럽고 맛있습니다. 날씨좋으면 야외에서 먹을 수도 있구요  길냥이 돌보시는듯 한데 길냥이가 소나무타고 올라가고ㅋㅋㅋ 너무 귀엽고 재밌었어요. 2인이상 시키면 된장라면이랑 껍데기 서비스입니다.","https://place.map.kakao.com/25449227","동대문털보네","삼겹살","4.7","서울 금천구
","2022.04.22.","1"
