"personal_star","review","url","title","category","total_star","location","review_date","label"
"1","줄서서 기다리면서까지 먹을 맛은 아니에요, 개인적으로 단 떡볶이를 싫어하는데, 여긴 제 입맛이 너무 안맞았습니다.  무침만두도 속이 너무 눅눅해서 별로였어요.","https://place.map.kakao.com/10587024","애플하우스(이수)","떡볶이","3","서울 동작구
","2022.06.06.","0"
"1","떡볶이가 4천원인데 주차비로 6600원 내노라함 1분 초과했다고 완전 쌩 양아치","https://place.map.kakao.com/10587024","애플하우스(이수)","떡볶이","3","서울 동작구
","2022.06.03.","0"
"5","확장이사해서 매장도 깔끔하고 여전히 줄서야 했지만 금방금방 빠져서 오래 안서고 괜찮았어요. 직원분들은 대체로 친절하셨고 제일 중요한 건 떡볶이 맛이죠! 단맛이 강해서 호불호 있지만 단거 좋아하는 사람이라면 좋아할 맛이에요. 양념이 계속 당기더라고요 맛있어요!! 무침만두는 누구나 좋아할 거 같은 맛이에요. 따뜻하지 않고 식어서 그건 조금 아쉬웠어요. 순대볶음...","https://place.map.kakao.com/10587024","애플하우스(이수)","떡볶이","3","서울 동작구
","2022.06.03.","1"
"1","예전 감성도 없고 맛도 좀 다른거같고 불친절 하네여. 그만 다녀야겠어여.","https://place.map.kakao.com/10587024","애플하우스(이수)","떡볶이","3","서울 동작구
","2022.05.28.","0"
"5","장소 이전하고 다시 갔는데 아주 쾌적하고 깔끔해졌다. 맛도 그대로. 딱 한가지 아쉬운 점은 음료수 자판기가 현금만 먹는다는 거. 불친절함은 딱히 못느꼈음.   정신없긴 하지만 그래도 꿀맛","https://place.map.kakao.com/10587024","애플하우스(이수)","떡볶이","3","서울 동작구
","2022.05.25.","1"
"1","알바생들 노답 ㅋㅋ","https://place.map.kakao.com/8078768","전주전집","한식","3.1","서울 동작구
","2022.05.21.","0"
"4","사당역 전맛집~","https://place.map.kakao.com/8078768","전주전집","한식","3.1","서울 동작구
","2022.04.25.","1"
"3","맛이 괜찮긴한데 유명해서 정신없음","https://place.map.kakao.com/8078768","전주전집","한식","3.1","서울 동작구
","2022.04.04.","0"
"1","줄 서있다가 불러서 앉았는데 줄세우는 사람이 잘못불러서 2층 올라갔다가 내려옴.. 안내를 제대로 하지 않은 점을 컴플레인 하니 죄송하단 말은 1도 없이 그렇게 말하지 말라며 대뜸 반말.. 아니 니가 뇌가 우동사리라 안내를 잘못해서 항의한걸 왜 손님한테 화내고 반말함? 줄 세우는 약간 곱슬머리 단발 아줌마.. 평생 그 ♪♩♩~로 사람들 줄이나 세우고 빌어먹다...","https://place.map.kakao.com/8078768","전주전집","한식","3.1","서울 동작구
","2022.03.26.","0"
"1","유튜브에 순대국 먹방집이라 찾았는데,아!정말 최악입니다.꼰대 사장에 주차장도 없고 김치도 순대국도 엉망 돈버려,시간버려,돗대기 시장이 여기더군요.시끄러워 죽는줄 알았어요.가시면 정말 후회 할껍니다.최악 최악 최악 최악입니다.","https://place.map.kakao.com/27454501","서일순대국","순대","3.4","서울 동작구
","2022.05.26.","0"
"3","진짜 친절함. 그리고 가성비 짱. 근데 약간 제 타입은 아니네요. 하지만 순대는 참신했어요. ","https://place.map.kakao.com/27454501","서일순대국","순대","3.4","서울 동작구
","2022.05.21.","0"
"5","맛있는데 비쌈","https://place.map.kakao.com/11891906","등나무집","육류,고기","3.5","서울 동작구
","2022.06.07.","1"
"1","도가니탕먹었는데 털이들어잇었어요. 그냥먹엇지만...진짜 찝찝.. 두번다신 안가요.","https://place.map.kakao.com/11891906","등나무집","육류,고기","3.5","서울 동작구
","2022.05.29.","0"
"5","꼬리찜에 돌솥밥이 정말 맛있어요 굉장히 바쁜데도 불구하고 직원분들이 친절하셔서 기분좋게 식사했습니다","https://place.map.kakao.com/11891906","등나무집","육류,고기","3.5","서울 동작구
","2022.05.08.","1"
"2","- 가격 카카오 후기 보고 5-6만원대면 2명이서 꼬리찜 먹겠구나, 했는데 77,000원으로 가격이 올랐더라구요. 많이 비싼 금액인 것 같아요.  - 맛 소꼬리찜은 대파가 워낙 많이 들어가 있어서 고기 특유의 잡내는 크게 느끼지 못했습니다. 대파가 참기름과 소금으로 간이 조금 쎄게 되어있어서 고기랑 먹으면 간이 딱 맞아요. 고기만 먹을 경우 간이 안되어있어...","https://place.map.kakao.com/11891906","등나무집","육류,고기","3.5","서울 동작구
","2022.04.22.","0"
"1","어쩌다 이리됐는지 ㅠㅠ","https://place.map.kakao.com/21656813","스시로로","초밥,롤","3.6","서울 동작구
","2022.05.25.","0"
"1","흘러간 맛집 예전같지 않은 맛과 서비스 ","https://place.map.kakao.com/21656813","스시로로","초밥,롤","3.6","서울 동작구
","2022.05.21.","0"
"1","예전에 주방장인가 직원인가 정식 요리복입고 모자도갖춰쓰고 가게앞에서 담배쳐피는거보고 너무 기가막혀서 발끊은지오래인데 그직원 바뀌었는지 모르겠네요 자기직업에대한 자부심도없고 ㅉㅉ 담배핀손으로 초밥만듬","https://place.map.kakao.com/21656813","스시로로","초밥,롤","3.6","서울 동작구
","2022.05.15.","0"
"4","회 양은 많고 초밥양은 적어서 딱 먹기 좋아요!","https://place.map.kakao.com/21656813","스시로로","초밥,롤","3.6","서울 동작구
","2022.04.25.","1"
"4","스시가 튼실해요.ㅎㅎ","https://place.map.kakao.com/21656813","스시로로","초밥,롤","3.6","서울 동작구
","2022.04.21.","1"
"5","진짜 진짜 진짜 맛있음","https://place.map.kakao.com/1272818926","다독이네숯불구이","육류,고기","4.8","서울 동작구
","2022.05.30.","1"
"5","집에서 담근 손맛의 김치 숯불에 굽는 숙성 삼겹살 좋네요~","https://place.map.kakao.com/1272818926","다독이네숯불구이","육류,고기","4.8","서울 동작구
","2022.03.12.","1"
"5","미친 맛. 셋이가서 8인분 먹고 나오자마자 다음을 기약하는 맛.","https://place.map.kakao.com/1272818926","다독이네숯불구이","육류,고기","4.8","서울 동작구
","2022.02.01.","1"
"1","여기 재료 일찍마감되는데 미리알아보려고하는데 전화도 안받으시고..","https://place.map.kakao.com/2005573719","소담촌 사당직영점","샤브샤브","4.1","서울 동작구
","2022.04.26.","0"
"4","음식도 깔끔하고 맛있어요","https://place.map.kakao.com/2005573719","소담촌 사당직영점","샤브샤브","4.1","서울 동작구
","2022.04.21.","1"
"4","맛있게 먹었음. 깔끔하고 좋음. ","https://place.map.kakao.com/2005573719","소담촌 사당직영점","샤브샤브","4.1","서울 동작구
","2022.02.16.","1"
"5","가족단위로 가도 좋을 것 같고, 음식이 깔끔하고 셀프바도 좋다!","https://place.map.kakao.com/2005573719","소담촌 사당직영점","샤브샤브","4.1","서울 동작구
","2022.02.06.","1"
"1","불친절하고 맛도 없음 거기다 양도 너무 적음","https://place.map.kakao.com/8106735","가마솥손두부","두부전문점","4","서울 동작구
","2022.06.09.","0"
"5","건강한 느낌. 맛도 너무 좋았어요!","https://place.map.kakao.com/8106735","가마솥손두부","두부전문점","4","서울 동작구
","2022.06.07.","1"
"1","1인 15,000원 보쌈정식 2인분으로 총 30,000원 입니다. 1인 분에 젓가락 굵기의 고기 5조각으로, 이 가격이면 차라리 다른 곳에서 보쌈 배달시켜먹는 게 낫습니다.","https://place.map.kakao.com/8106735","가마솥손두부","두부전문점","4","서울 동작구
","2022.05.25.","0"
"4","밑반찬도 맛있고 메인요리 보쌈정식도 맛있어요!!","https://place.map.kakao.com/8106735","가마솥손두부","두부전문점","4","서울 동작구
","2022.04.21.","1"
"5","김밥 최애맛집. 속이 꽉차서 진짜 맛있음.  앉아서 먹는 테이블 없다고 하는 사람들, 카드 안된다 어쩌고 하는 사람들, 맛없다 생각하는 사람들은 제발 가지마라. 줄서기 좀 줄여보자.  카드 받고 안받고는 주인 맘이지. 신용카드 받기 싫어서 가맹안하면 그만임(합법적)","https://place.map.kakao.com/9008598","방배김밥","분식","3.2","서울 동작구
","2022.05.08.","1"
"1","카드결제는 신한카드만 가능","https://place.map.kakao.com/9008598","방배김밥","분식","3.2","서울 동작구
","2022.02.25.","0"
"1","요즘 길거리 가판대도 다 카드 되는데 여긴 신한카드만 가능","https://place.map.kakao.com/9008598","방배김밥","분식","3.2","서울 동작구
","2022.01.29.","0"
"5","다른 장사하는 입장에서 카드결제 운운하시는분들 아직도 이런 갑질이 있다니 그냥 못보겠네요 김밥이 차갑다니 따뜻한 김밥도 있나보죠? 카드 가맹 자체를 안하면 카드 안받아도 불법 아닙니다 수수료를 내기 싫은건 자유경제에서 선택할 수 있는 사항이고 탈세를 목적으로 현금영수증 거부와 카드결제 가능한데 거부 혹은 추가요금 받는게 불법입니다 법의 테두리 내에서 정당한...","https://place.map.kakao.com/9008598","방배김밥","분식","3.2","서울 동작구
","2021.10.20.","1"
"1","<<프로필 누르면 알겠지만, 제가 악플만 다는 이상한 사람은 아닙니다.>>   알바생한테 “단호박 스프 양이 어느정도 되나요? 이걸 시키고 다른 걸 어떻게 시켜야 배부를까요” 하고 물으니  무슨 돈이 없어서 커플 둘이 와서 단호박 스프만 먹는 줄 알고  “아무래도 레스토랑이라 가격이 있긴 한데 ㅎㅎ;; 단호박 스프 하나로는 배부르긴 어려우세요” 이딴 식으로...","https://place.map.kakao.com/955711488","닥터로빈 흑석점","양식","4.1","서울 동작구
","2022.04.14.","0"
"5","생각지도 못한 맛입니다.너무 맛있고 완전 좋아요.","https://place.map.kakao.com/955711488","닥터로빈 흑석점","양식","4.1","서울 동작구
","2022.02.11.","1"
"5","깔끔하고 맛있습니다 ㅎ ","https://place.map.kakao.com/955711488","닥터로빈 흑석점","양식","4.1","서울 동작구
","2022.01.18.","1"
"5","저번에 텐동 먹고 나서 재방문 했어요! 여기 옥수수 튀김 너무 맛있어요!ㅎㅎ","https://place.map.kakao.com/1860467113","훈감동","일식","4.2","서울 동작구
","2022.06.08.","1"
"1","텐동 너무 맛없어요… 튀김 너무 눅눅하고 두껍고 질기고 맛없고 전혀 어울리는 맛도 아니고 여태 먹어본 텐동중에 제일 맛없고 제일 비싸요 돈이까워서 억지로 먹었습니다 텐동 절대 시키지 마세요 ㅠ","https://place.map.kakao.com/1860467113","훈감동","일식","4.2","서울 동작구
","2022.06.06.","0"
