"personal_star","review","url","title","category","total_star","location","review_date","label"
"1","소문난 잔치에 먹을게 없음ㅜㅜ명성이해불가 양갈비도 요즘 잘하는 양고기집 다들 이정도함  ★ 절대비추 지인에 가지말라고 할 집 ★★ 재방문의사 없음/평범 혹은 그이하 ★★★ 괜찮음 누가 가자고하면 다시감 ★★★★ 맛있음 재방문의사 있음 ★★★★★ 추천 찐맛집","https://place.map.kakao.com/13279465","롯데호텔월드 라세느","뷔페","3.6","서울 송파구
","2022.05.31.","0"
"5","호텔 뷔페중 최고이자 최선인 곳","https://place.map.kakao.com/13279465","롯데호텔월드 라세느","뷔페","3.6","서울 송파구
","2022.05.07.","1"
"5","부페치고 정신이 덜 없고 먹을 것도 다양하다는 느낌이 듭니다 직원분들도 친절하십니다","https://place.map.kakao.com/13279465","롯데호텔월드 라세느","뷔페","3.6","서울 송파구
","2022.04.04.","1"
"4","맛있고 분위기도 좋아요~~","https://place.map.kakao.com/13279465","롯데호텔월드 라세느","뷔페","3.6","서울 송파구
","2022.01.20.","1"
"5","퀄리티 굿굿","https://place.map.kakao.com/13279465","롯데호텔월드 라세느","뷔페","3.6","서울 송파구
","2021.10.11.","1"
"5","랍스터 망고 커피 아이스크림 얼그레이케이크 맛있어요 망고 주시는 분이 좀 무섭게(?) 보여서 망고 더 많이 먹고싶었는데 참게되더라구요..","https://place.map.kakao.com/425520392","바이킹스워프 롯데월드몰점","바닷가재","3.2","서울 송파구
","2022.05.10.","1"
"1","오랫만에 다녀왔는데 진짜 대실망!! 개선 되기 전까지는 다시 안가려고요. 1인당 110달러 오늘 135,000원이나 받으면서 메뉴들이 정말 부실했어요. 그리고 사시미에 흰살생선 없는 뷔페가 어딨나요? 심지어 연어는 사시미에도 없고 초밥에도 없고 구운연어에 있었는데 진짜작은 조각;;; 예전에 비해 메뉴 갯수도 많이 줄고 동선도 별로! 진짜 다 별로 였습니다....","https://place.map.kakao.com/425520392","바이킹스워프 롯데월드몰점","바닷가재","3.2","서울 송파구
","2022.04.18.","0"
"3","동선배치가 별로였고 랍스타로 뽕뽑을 거 아니면 그냥구래용","https://place.map.kakao.com/425520392","바이킹스워프 롯데월드몰점","바닷가재","3.2","서울 송파구
","2022.03.10.","0"
"4","맛있어요. 공간은 좋은데 여자사람이 많아서 그런지 구조가 그런지 넘 시장통이에요 ㅜ 직원도 친절하고 좋은데 여유롭진 않습니다. ","https://place.map.kakao.com/1877651691","벨라스가든","카페","3.8","서울 송파구
","2022.05.26.","1"
"5","두번째 방문! 너무 맛있어요~무엇보다 친절하신 사장님과 직원들~최고입니다^^","https://place.map.kakao.com/1877651691","벨라스가든","카페","3.8","서울 송파구
","2022.03.10.","1"
