"personal_star","review","url","title","category","total_star","location","review_date","label"
"3","못 굽는다는 얘기를 많이 보고가서... 진짜 바쁜지 계속 왔다갔다 하네요~ 걍 제가 구워 먹었어요. 맛은 좋아요ㅋㅋㅋ","https://place.map.kakao.com/26939037","두툼","육류,고기","3.9","서울 중구
","2022.06.08.","0"
"3","예전부터 자주 다니던 집인데 이번에 갔을 때 너무 별로였어요. 고기도 잘 못 굽고, 응대도 별로였네요. 한동안 안올듯여~","https://place.map.kakao.com/26939037","두툼","육류,고기","3.9","서울 중구
","2022.06.06.","0"
"2","집에서 멀지만 첫번째 너무 맛있어서 두번째 방문,, 바빠서 어쩔수 없기도 하겠지만 직원이 여기저기 돌아다니면서 고기 구워주는데 그래서 고기가 너무 못구워져요 처음이랑 차이가 너무 나요. 심지어 퍽퍽한 수준,,, 굽는 직원의 실력문제인지 인력난인지 모르겠지만  이건 쫌,,,,","https://place.map.kakao.com/26939037","두툼","육류,고기","3.9","서울 중구
","2022.05.28.","0"
"2","직원이 고기를 못구워요 ","https://place.map.kakao.com/26939037","두툼","육류,고기","3.9","서울 중구
","2022.05.21.","0"
"5","삼겹항정 존맛임니다,, 고추장찌개도 맛있음 ! 웨이팅은 늘 있는 편.","https://place.map.kakao.com/26939037","두툼","육류,고기","3.9","서울 중구
","2022.05.20.","1"
"1","밥 먹는데 바닥에 락스 뿌리고 청소하는 바람에 다 버리고 나왔습니다 최악이네요  위생 0점","https://place.map.kakao.com/8079539","중림장","설렁탕","3.4","서울 중구
","2022.05.28.","0"
"4","특유의 꼬릿하고 강한 육향 덕분에 거친(?) 느낌의 설렁탕. 꼬릿한 냄새 때문에 호불호가 극명하게 갈리긴 하지만 지금까지 데려간 지인들은 모두 만족. 건더기도 충실한 편이다. 설렁탕 보통은 토렴식, 특은 따로국밥으로 나온다. 반반수육도 맛있다. //  카카오맵 맛집 추천 지도 - https://www.photoguraphy.com/?p=3997","https://place.map.kakao.com/8079539","중림장","설렁탕","3.4","서울 중구
","2022.04.11.","1"
"3","가야는이유 : 오래끓여야 나올 국물 안가는이유 : 꼬릿한 고기로 호불호 있을듯  설렁탕,도가니탕 : 국물의 깊이는 상당하다 느껴지지만 설렁탕의 고기는 꼬릿함이 꽤 심해 취향을 많이탈듯, 도가니는 부드럽고 쫄깃함이 꽤 놀라웠던, 딱 반씩 섞여있으면 좋겠단 느낌","https://place.map.kakao.com/8079539","중림장","설렁탕","3.4","서울 중구
","2022.04.03.","0"
"4","Since 1972. 국물이 너무 뜨겁지 않고 적당하게 간이 벤, 맑은 설렁탕의 명가. '하동관'처럼 파를 듬뿍 넣어서 먹을수 있고 새큰하게 잘 익은 김치, 깍두기도 예술이다.","https://place.map.kakao.com/8079539","중림장","설렁탕","3.4","서울 중구
","2022.01.11.","1"
"1","서비스정신 빵점! 위생상태 빵점! 맛 빵점! 트리플크라운!! ","https://place.map.kakao.com/8079539","중림장","설렁탕","3.4","서울 중구
","2021.11.07.","0"
"3","옛날엔 진짜 대존맛집이였는데ㅜ 저녁장사 시작되고 맛 떨어져서 너무 아쉬워요.. 걍 쏘쏘함.. ","https://place.map.kakao.com/469577034","유즈라멘 만리동점","일본식라면","4.2","서울 중구
","2022.06.09.","0"
"3","맛은 괜찮은데 웨이팅 관리가 전혀 안되요.","https://place.map.kakao.com/469577034","유즈라멘 만리동점","일본식라면","4.2","서울 중구
","2022.06.01.","0"
"5","정말 맛나요. 올때마다 만족하고 갑니다!","https://place.map.kakao.com/469577034","유즈라멘 만리동점","일본식라면","4.2","서울 중구
","2022.05.29.","1"
"5","4.5가 없어서 주관적 편애에 따라 별 5개 찍음ㅎㅎ 작년에 처음 와보고 재방문을 3번 이상 했어요. 처음 맛본 뒤로 늘 유즈시오라멘을 먹습니다.  지인은 여기서도 매운소유아 매운시오를 먹네요. 국내에서 라멘 맛있다는 곳을 가도 그저그런데에 비해 유즈라멘은 일관성 있게 라면이 맛있는 곳입니다 망설이지 말고 드셔보세요  ::: 시오 라멘은, 소금으로 간을해서...","https://place.map.kakao.com/469577034","유즈라멘 만리동점","일본식라면","4.2","서울 중구
","2022.05.26.","1"
