,title,stars,review,visitor_save
0,쇼쿠지 서면점,4.89,268,223
1,데일리,4.77,495,525
2,고향연화,4.42,"1,356",983
3,해운대암소갈비집,4.22,"4,148","3,210"
5,초량밀면,4.3,"4,079","3,537"
6,해목,4.45,"1,272","2,156"
7,이재모피자,4.5,"4,984","3,229"
8,해운대 가야밀면,4.53,"5,084","5,203"
9,본전돼지국밥,4.4,"3,981","3,277"
10,소문난주문진막국수,4.34,"3,884","1,876"
11,덕미,4.64,"1,735",970
12,국제밀면 본점,4.42,"1,782","1,105"
13,고옥,4.48,"1,287","1,416"
14,신기산업,4.41,"1,301","1,806"
15,문토스트,4.4,"6,561","1,476"
16,모리,4.89,31,39
17,거대숯불구이,4.59,483,246
18,해운대밀면,4.42,"1,218",975
19,더스타뷔페,4.44,663,598
20,갈삼구이,4.66,"1,268","1,370"
21,영동밀면&돼지국밥,4.54,"1,684","2,384"
22,육전밀면,4.44,889,"1,508"
23,플렌터,4.61,492,483
24,춘하추동밀면 서면본점,4.29,"1,651",910
25,부산명물횟집,4.14,372,427
26,구디너프,4.43,"1,938",923
27,얼크니손칼국수,4.39,"2,810","1,346"
28,내호냉면,4.26,875,806
31,피크스퀘어,4.32,897,"1,415"
32,야스마루,4.42,485,641
34,광안리 언양불고기부산집,4.37,"1,061",752
35,거인통닭,4.37,"1,934","1,035"
36,부산횟집,4.3,144,"1,257"
37,앙로고택,4.64,"2,861",865
39,용호동할매팥빙수단팥죽 본점,4.47,"1,895",935
40,치히로식당,4.69,597,480
41,구프,4.52,480,877
42,스테이트,4.41,540,707
43,도시농가코페도코,4.47,"1,155","1,211"
44,더바리스트로,4.34,519,360
45,이프리오,4.42,"1,400",637
46,고메밀면 본점,4.39,805,"1,701"
47,원산면옥,4.1,980,628
48,우사부일체,4.58,520,283
49,대정양곱창,4.57,717,"1,129"
50,구석,4.51,120,124
51,광안리 막창집 본점,4.37,737,626
52,갓파스시 연산점,4.24,"1,684",496
53,컵넛,4.74,241,185
54,블랙업커피 을숙도,4.54,"2,149",565
55,우리돼지국밥,4.24,705,346
57,광안리 진양호횟집,4.62,585,338
58,공원칼국수,4.5,"1,779",530
59,송도1913,4.31,694,323
