,title,stars,review,visitor_save
0,우마이돈,4.39,183,16
3,샤브리샤브샤브,4.38,350,356
5,더플라잉팬레드,4.36,696,916
6,플레이버즈,4.6,"3,527","1,011"
7,딘타이펑 강남점,4.45,"2,642","1,381"
8,수향가 사당직영점,4.58,552,833
9,텍사스데브라질 센트럴시티점,4.31,"4,240","1,295"
10,이누식당,4.54,232,266
11,이솔라 레스토랑,4.5,"1,246",365
12,한소반 청계산점,4.33,"1,490",604
13,더 스테이크 하우스 피어 79 로열스테이크,4.5,363,241
14,성천막국수 논현점,4.3,208,110
15,프릳츠 양재점,4.5,"3,769","1,761"
16,미국식,4.41,375,382
18,더 리버사이드 호텔 뷔페 더가든키친,4.37,"13,824","1,607"
20,그릴진,4.6,113,130
21,식감이야기 양재점,4.61,823,343
23,푸드더즈매터,4.67,769,311
24,도셰프,4.38,433,"1,236"
26,겁없는토끼부엌,4.63,"4,124",626
27,도우룸,4.4,498,628
28,거북이,4.61,182,335
29,유미분,4.77,724,152
30,조양관한정식,4.61,417,"1,418"
32,심야식당,4.67,"1,103",386
33,경복궁 사당점,4.28,484,55
34,강남역파스타,4.59,959,175
35,푸슈,4.95,325,120
36,맛깔포차 강남역점,4.57,137,220
37,황재벌,4.41,376,634
38,인덕원비빔국수 양재직영점,4.3,"1,391",307
39,세광양대창 교대본점,4.65,"1,177",534
40,소호정 본점,4.35,936,533
41,스시효잠원본점,4.38,197,458
42,노랑저고리,4.34,"1,607",403
43,한성돈까스,4.36,"1,382","1,443"
44,선화의고기 방배본점,4.7,818,330
45,하레,4.44,107,143
46,파운드 로컬,4.36,307,308
47,크리스탈제이드 파미에스테이션점,4.3,"1,013",550
48,강남교자 본점,4.36,975,540
49,황소양곱창 양재점,4.9,702,888
50,볼라레,4.29,251,344
51,진도울돌목가는길,4.27,408,117
52,금강바베큐,4.4,270,150
53,테루아,4.6,152,206
54,알로하포케 신논현점,4.41,321,468
55,메종드꼼빠뇽,4.29,"1,024",309
56,서초면옥 본점,4.3,"1,046",256
58,본토닭갈비 강남점,4.17,427,621
59,쿄 베이커리 X 카페더인피닛,4.44,"1,450",324
