,title,data
0,다온카츠,"영업 중
별점
4.81방문자리뷰 670블로그리뷰 213"
1,송추가마골 은평2호점,"영업 중
별점
4.31방문자리뷰 1,557블로그리뷰 97"
2,밀라노기사식당,"오늘 휴무
별점
4.85방문자리뷰 334블로그리뷰 389"
3,구석집,"영업 중
별점
4.43방문자리뷰 438블로그리뷰 321"
4,아재비구이,"영업 중
별점
4.5방문자리뷰 65블로그리뷰 39"
5,만포면옥 본점,영업 중방문자리뷰 742블로그리뷰 361
6,옥탑방,"오늘 휴무
별점
4.87방문자리뷰 958블로그리뷰 323"
7,1인1잔,"영업 중
별점
4.33방문자리뷰 2,879블로그리뷰 1,470"
8,롱브레드 은평한옥마을점,"영업 중
별점
4.22방문자리뷰 1,559블로그리뷰 400"
9,청솔집,"영업 중
별점
4.22방문자리뷰 156블로그리뷰 61"
10,다온카츠,"영업 중
별점
4.81방문자리뷰 670블로그리뷰 213"
11,송추가마골 은평2호점,"영업 중
별점
4.31방문자리뷰 1,557블로그리뷰 97"
12,밀라노기사식당,"오늘 휴무
별점
4.85방문자리뷰 334블로그리뷰 389"
13,구석집,"영업 중
별점
4.43방문자리뷰 438블로그리뷰 321"
14,아재비구이,"영업 중
별점
4.5방문자리뷰 65블로그리뷰 39"
15,만포면옥 본점,영업 중방문자리뷰 742블로그리뷰 361
16,옥탑방,"오늘 휴무
별점
4.87방문자리뷰 958블로그리뷰 323"
17,1인1잔,"영업 중
별점
4.33방문자리뷰 2,879블로그리뷰 1,470"
18,롱브레드 은평한옥마을점,"영업 중
별점
4.22방문자리뷰 1,559블로그리뷰 400"
19,청솔집,"영업 중
별점
4.22방문자리뷰 156블로그리뷰 61"
20,경복궁 녹번점,"영업 중
별점
4.14방문자리뷰 636블로그리뷰 140"
21,아그라 롯데몰 은평점,영업 중방문자리뷰 687블로그리뷰 146
22,충무칼국수,"영업 중
별점
4.32방문자리뷰 1,042블로그리뷰 203"
23,알렉스,"영업 중
별점
4.76방문자리뷰 278블로그리뷰 139"
24,아로이타이,"영업 중
별점
4.4방문자리뷰 543블로그리뷰 204"
25,뚜띠쿠치나 응암점,"영업 중
별점
4.38방문자리뷰 745블로그리뷰 231"
26,머슴과마님,영업 중방문자리뷰 637블로그리뷰 86
27,다용도실,"오늘 휴무
별점
4.73방문자리뷰 103블로그리뷰 114"
28,범맥주 연신내점,영업 전방문자리뷰 21블로그리뷰 7
29,쿠키날,"영업 중
별점
4.79방문자리뷰 275블로그리뷰 45"
30,소재,"영업 중
별점
4.71방문자리뷰 162블로그리뷰 25"
31,스데반카레,"영업 중
별점
4.64방문자리뷰 103블로그리뷰 83"
32,달가득치킨 연신내점,"영업 중
별점
4.56방문자리뷰 561블로그리뷰 233"
33,호주방,"영업 전
별점
4.89방문자리뷰 52블로그리뷰 61"
34,술집타디스,"곧 영업 시작
별점
4.63방문자리뷰 128블로그리뷰 46"
35,카페뤽상부르,영업 중방문자리뷰 309블로그리뷰 326
36,섬진강참숯민물장어,"오늘 휴무
별점
4.39방문자리뷰 702블로그리뷰 176"
37,미스터아구 DMC점,"영업 중
별점
4.27방문자리뷰 871블로그리뷰 238"
38,멘야다이고미,"영업 중
별점
4.45방문자리뷰 284블로그리뷰 335"
39,공음,"영업 중
별점
4.33방문자리뷰 147블로그리뷰 157"
40,더 모먼트,"영업 전
별점
4.66방문자리뷰 46블로그리뷰 25"
41,코스믹버거랩,"영업 중
별점
4.57방문자리뷰 247블로그리뷰 116"
42,아리산채,"영업 중
별점
4.39방문자리뷰 904블로그리뷰 110"
43,포옹싸,"영업 중
별점
4.54방문자리뷰 283블로그리뷰 76"
44,양촌리,"24시간 영업방문자리뷰 1,280블로그리뷰 134"
45,카도야라멘 갈현점,"오늘 휴무
별점
4.34방문자리뷰 220블로그리뷰 117"
46,갓덴스시 롯데몰 은평점,"영업 중
별점
4.34방문자리뷰 1,528블로그리뷰 148"
47,요요미,"영업 중
별점
4.33방문자리뷰 203블로그리뷰 192"
48,두앤두,"영업 중
별점
4.62방문자리뷰 167블로그리뷰 20"
49,니노나,"영업 중
별점
4.7방문자리뷰 82블로그리뷰 37"
50,투썸플레이스 연신내점,"영업 중
별점
4.43방문자리뷰 1,564블로그리뷰 57"
51,고기로와,"영업 중
별점
4.51방문자리뷰 311블로그리뷰 72"
52,읍천리382 응암점,영업 중방문자리뷰 120블로그리뷰 26
53,아웃닭 연신내점,"영업 중
별점
4.38방문자리뷰 429블로그리뷰 107"
54,갯벌의 진주,"영업 중
별점
4.5방문자리뷰 208블로그리뷰 54"
55,옥이네김밥,"별점
4.39방문자리뷰 741블로그리뷰 66"
56,이베리코민족 은평점,영업 중방문자리뷰 21블로그리뷰 10
57,봉평옹심이메밀칼국수,"영업 중
별점
4.36방문자리뷰 2,048블로그리뷰 95"
58,두루올순대 응암본점,"영업 중
별점
4.64방문자리뷰 323블로그리뷰 71"
59,은평회관,"영업 중
별점
4.72방문자리뷰 45블로그리뷰 39"
