,title,stars,review,visitor_save
0,다온카츠,4.81,670,213
1,송추가마골 은평2호점,4.31,"1,557",97
2,밀라노기사식당,4.85,334,389
3,구석집,4.43,438,321
4,아재비구이,4.5,65,39
6,옥탑방,4.87,958,323
7,1인1잔,4.33,"2,879","1,470"
8,롱브레드 은평한옥마을점,4.22,"1,559",400
9,청솔집,4.22,156,61
10,다온카츠,4.81,670,213
11,송추가마골 은평2호점,4.31,"1,557",97
12,밀라노기사식당,4.85,334,389
13,구석집,4.43,438,321
14,아재비구이,4.5,65,39
16,옥탑방,4.87,958,323
17,1인1잔,4.33,"2,879","1,470"
18,롱브레드 은평한옥마을점,4.22,"1,559",400
19,청솔집,4.22,156,61
20,경복궁 녹번점,4.14,636,140
22,충무칼국수,4.32,"1,042",203
23,알렉스,4.76,278,139
24,아로이타이,4.4,543,204
25,뚜띠쿠치나 응암점,4.38,745,231
27,다용도실,4.73,103,114
29,쿠키날,4.79,275,45
30,소재,4.71,162,25
31,스데반카레,4.64,103,83
32,달가득치킨 연신내점,4.56,561,233
33,호주방,4.89,52,61
34,술집타디스,4.63,128,46
36,섬진강참숯민물장어,4.39,702,176
37,미스터아구 DMC점,4.27,871,238
38,멘야다이고미,4.45,284,335
39,공음,4.33,147,157
40,더 모먼트,4.66,46,25
41,코스믹버거랩,4.57,247,116
42,아리산채,4.39,904,110
43,포옹싸,4.54,283,76
45,카도야라멘 갈현점,4.34,220,117
46,갓덴스시 롯데몰 은평점,4.34,"1,528",148
47,요요미,4.33,203,192
48,두앤두,4.62,167,20
49,니노나,4.7,82,37
50,투썸플레이스 연신내점,4.43,"1,564",57
51,고기로와,4.51,311,72
53,아웃닭 연신내점,4.38,429,107
54,갯벌의 진주,4.5,208,54
55,옥이네김밥,4.39,741,66
57,봉평옹심이메밀칼국수,4.36,"2,048",95
58,두루올순대 응암본점,4.64,323,71
59,은평회관,4.72,45,39
