personal_star,review,url,title,category,total_star,location,label
5,,https://place.map.kakao.com/85570955,광고남도애찬,한식,4.6,"서울 강남구
",1
4,맛있어요,https://place.map.kakao.com/85570955,광고남도애찬,한식,4.6,"서울 강남구
",1
4,넘넘 맛있어요,https://place.map.kakao.com/85570955,광고남도애찬,한식,4.6,"서울 강남구
",1
5,넘 맛있어요,https://place.map.kakao.com/85570955,광고남도애찬,한식,4.6,"서울 강남구
",1
1,"예약할 때는 룸을 주기로 하고 홀을 주고, 덥고, 직원들이 정신이 없어 그 가격에 내가 직접 구워먹고 갈비살, 등심은 질기고 냉면은 맛이 없고 장어 양념들도 제 때 안 가져다 주고 회식으로 한시간만에 120만원을 썼는데 이런 경험 처음입니다.",https://place.map.kakao.com/85570955,광고남도애찬,한식,4.6,"서울 강남구
",0
5,분위기 좋고 맛도 좋고 최고에요 ㅎ,https://place.map.kakao.com/26431943,광고백억하누 강남본점,한식,4.8,"서울 강남구
",1
5,한우가 원래맛있지만 갚어치만큼 서비스도 좋구 불고기도 진짜 자극적이지않아서 잘어울려요 ㅎ,https://place.map.kakao.com/26431943,광고백억하누 강남본점,한식,4.8,"서울 강남구
",1
5,한우정말 맛나요,https://place.map.kakao.com/26431943,광고백억하누 강남본점,한식,4.8,"서울 강남구
",1
5,불고기 맛있다길래 먹으러 갔다가 옆테이블 삼합보고 시켜봤는데 천국의 맛이었음 재방문의사 100% ,https://place.map.kakao.com/26431943,광고백억하누 강남본점,한식,4.8,"서울 강남구
",1
5,샐러드도 골고루 나오고 반찬도  신선하니 다양해서 좋더라구요 백억삼합도 맛있었어요,https://place.map.kakao.com/26431943,광고백억하누 강남본점,한식,4.8,"서울 강남구
",1
5,맛있음,https://place.map.kakao.com/27270313,광고램스칸,"육류,고기",5.0,"서울 서초구
",1
5,양갈비는 앞으로 여기다,https://place.map.kakao.com/27270313,광고램스칸,"육류,고기",5.0,"서울 서초구
",1
5,맛있네요~ 음식도 깔끔하니 추천입니다~!!,https://place.map.kakao.com/27270313,광고램스칸,"육류,고기",5.0,"서울 서초구
",1
5,진짜 강남에서 맛집 찾기가 이렇게 힘들었나 맛있게 먹었어요,https://place.map.kakao.com/27270313,광고램스칸,"육류,고기",5.0,"서울 서초구
",1
