personal_star,review,url,title,category,total_star,location,label
2,너무 맛있는 집이었는데 최근 두달간 두번의 방문동안 너무 실망한 점이 많았습니다. 향신료가 일단 너무 적어져서 특유의 매력적이던 향과 맛이 옅어져 물 많이 넣고 끌인 라면 같습니다. 다른 요리류도 마찬가지입니다. 다시 예전으로 돌아와주세요.,https://place.map.kakao.com/610799971,송화산시도삭면 2호점,중화요리,4.2,"서울 광진구
",0
5,시키는 족족 다 맛있어요 ,https://place.map.kakao.com/610799971,송화산시도삭면 2호점,중화요리,4.2,"서울 광진구
",1
5,진짜 맛남,https://place.map.kakao.com/610799971,송화산시도삭면 2호점,중화요리,4.2,"서울 광진구
",1
5,맛있음! 데이트로 먹기엔 극악이지만 (도삭면 국물이 튀기 쉬움) 맛으로 가기엔 최고다. 곱빼기 양도 엄청 많음 사람들 말대로 가지튀김이 부드럽고 고소하고 따뜻하고 맛있다 딤섬은 비주얼에 당황했지만 맛은 굿 ,https://place.map.kakao.com/610799971,송화산시도삭면 2호점,중화요리,4.2,"서울 광진구
",1
5,,https://place.map.kakao.com/610799971,송화산시도삭면 2호점,중화요리,4.2,"서울 광진구
",1
1,서비스가 아쉬움,https://place.map.kakao.com/21929635,로니로티 건대점,이탈리안,3.6,"서울 광진구
",0
3,짬뽕차돌박이 파스타인가? 그것만 시키지마세요 차돌박이 상태가 정말 안좋은 질김그자체,https://place.map.kakao.com/21929635,로니로티 건대점,이탈리안,3.6,"서울 광진구
",0
5,,https://place.map.kakao.com/21929635,로니로티 건대점,이탈리안,3.6,"서울 광진구
",1
5,,https://place.map.kakao.com/21929635,로니로티 건대점,이탈리안,3.6,"서울 광진구
",1
5,가성비가젛음,https://place.map.kakao.com/21929635,로니로티 건대점,이탈리안,3.6,"서울 광진구
",1
5,,https://place.map.kakao.com/14822911,송화양꼬치,양꼬치,3.9,"서울 광진구
",1
4,,https://place.map.kakao.com/14822911,송화양꼬치,양꼬치,3.9,"서울 광진구
",1
1,"양꼬치 10개 15,000원????ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무 저렴하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",https://place.map.kakao.com/14822911,송화양꼬치,양꼬치,3.9,"서울 광진구
",0
1,"양꼬치 10개 15,000원 최고가 경신",https://place.map.kakao.com/14822911,송화양꼬치,양꼬치,3.9,"서울 광진구
",0
5,양꼬치만 놓고보면 젤 맛있음,https://place.map.kakao.com/14822911,송화양꼬치,양꼬치,3.9,"서울 광진구
",1
5,말해모해 뭘먹든 존맛탱이고 아주 지극한 서비스를 느낄수있음 그대신 가격은 좀 나오는편 그리고 다른지점보다 건대점이 괜찮음,https://place.map.kakao.com/1026281815,하이디라오코리아 건대점,중화요리,4.5,"서울 광진구
",1
5,아 왤케 처먹고 싶은거야 돈도 업는데 우엉엉.엉.엉엉.,https://place.map.kakao.com/1026281815,하이디라오코리아 건대점,중화요리,4.5,"서울 광진구
",1
5,,https://place.map.kakao.com/1026281815,하이디라오코리아 건대점,중화요리,4.5,"서울 광진구
",1
5,,https://place.map.kakao.com/1026281815,하이디라오코리아 건대점,중화요리,4.5,"서울 광진구
",1
5,지금까지 총 5번정도 방문했습니다. 훠거집은 여기만 갑니다 ㅎㅎ마라탕 매니아라면 한 번쯤 먹어보길 추천! 특히 마라맛 마니아라면 무조건 좋아할 맛입니다. 좀 가격이 나가긴 하는데 그래도 맛은 있습니다. 호불호는 좀 갈릴 것같아요~ 점심시간이나 저녁시간에 가면 웨이팅 많아서 웬만하면 예약하고 가시는 것을 추천드립니다~,https://place.map.kakao.com/1026281815,하이디라오코리아 건대점,중화요리,4.5,"서울 광진구
",1
4,친절 음료괜찮고 대화나누기좋은 루프탑,https://place.map.kakao.com/1926044933,도우터,카페,4.2,"서울 광진구
",1
4,,https://place.map.kakao.com/1926044933,도우터,카페,4.2,"서울 광진구
",1
4,,https://place.map.kakao.com/1926044933,도우터,카페,4.2,"서울 광진구
",1
5,친절 존맛,https://place.map.kakao.com/1926044933,도우터,카페,4.2,"서울 광진구
",1
5,,https://place.map.kakao.com/1926044933,도우터,카페,4.2,"서울 광진구
",1
4,,https://place.map.kakao.com/61909173,아르무아,카페,3.8,"서울 광진구
",1
5,말차 비엔나커피 개개개존맛 근데 6천원에 비해 양은 코딱지라 아쉬웠음ㅠㅠ 공간 또한 가본곳 중 특이하고 예뻤던 탑3안에 든당,https://place.map.kakao.com/61909173,아르무아,카페,3.8,"서울 광진구
",1
5,사장님 저 사진 잘 찍었죠 ? 커피랑 컵이랑 넘 예뻐요~~~!~!~!,https://place.map.kakao.com/61909173,아르무아,카페,3.8,"서울 광진구
",1
4,,https://place.map.kakao.com/61909173,아르무아,카페,3.8,"서울 광진구
",1
4,맛집 인정인정!,https://place.map.kakao.com/61909173,아르무아,카페,3.8,"서울 광진구
",1
5,최고. 비싼데 맛있음,https://place.map.kakao.com/629672914,성수명당,"호프,요리주점",4.2,"서울 성동구
",1
3,영업시간 14시부터입니다.. 12시라고 되어있어서 헛걸음했네요   ㅜㅜ,https://place.map.kakao.com/629672914,성수명당,"호프,요리주점",4.2,"서울 성동구
",0
4,,https://place.map.kakao.com/629672914,성수명당,"호프,요리주점",4.2,"서울 성동구
",1
3,기본안주쥐튀 4.5/5 손님숫자 4/5 대선 4/5 친절 4/5 음악 2/5 고등어초밥맛 2/5  화장실 1/5  총평: 줄서면 안 갈 것 같습니다. ,https://place.map.kakao.com/629672914,성수명당,"호프,요리주점",4.2,"서울 성동구
",0
5,분위기도 좋고 맛도 좋고 최고예용,https://place.map.kakao.com/629672914,성수명당,"호프,요리주점",4.2,"서울 성동구
",1
4,양갈비살꼬치보다 양꼬치가 훨씬 맛있네요~!! 마라탕도 맛있어욬ㅋ손님이 너무 많고 씨끄러워서 귀청떨어질거같아요; 요리 노룩으로 거의 던지는 직원 계서서  서비스 점수 1개 뺏어요~ㅠ 음식은 거의 최고수준~,https://place.map.kakao.com/12063452,명봉양꼬치,양꼬치,3.7,"서울 광진구
",1
5,,https://place.map.kakao.com/12063452,명봉양꼬치,양꼬치,3.7,"서울 광진구
",1
