personal_star,review,url,title,category,total_star,location,label
5,,https://place.map.kakao.com/23699720,정인면옥 본점,냉면,3.5,"서울 영등포구
",1
5,매우맛있다 또먹고싶다 ㅜㅜ,https://place.map.kakao.com/23699720,정인면옥 본점,냉면,3.5,"서울 영등포구
",1
3,맛은 나무랄데가 없으나 서버분들이 주문순서 상관없이 서빙하시고는 음식 취소해드릴께요 그럼 하시는 부분은 좀 아쉬웠네요,https://place.map.kakao.com/23699720,정인면옥 본점,냉면,3.5,"서울 영등포구
",0
4,,https://place.map.kakao.com/23699720,정인면옥 본점,냉면,3.5,"서울 영등포구
",1
5,깔끔한 아롱사태에 평냉 같이 먹으니 최고네요 냉면 육수 굿굿,https://place.map.kakao.com/23699720,정인면옥 본점,냉면,3.5,"서울 영등포구
",1
3,사람 엄청 많지만 음식은 빨리나와 좋네요. 맛은 무난했습니다.:),https://place.map.kakao.com/22211975,하동관 국회의사당역직영점,곰탕,3.2,"서울 영등포구
",0
1,명성에 비해 실망스러웠던 기억...,https://place.map.kakao.com/22211975,하동관 국회의사당역직영점,곰탕,3.2,"서울 영등포구
",0
1,24시간 연중무휴 아님 월요일 오전 6시 기준 영업하지 않음  헛걸음 함 ,https://place.map.kakao.com/22211975,하동관 국회의사당역직영점,곰탕,3.2,"서울 영등포구
",0
5,몸보신,https://place.map.kakao.com/22211975,하동관 국회의사당역직영점,곰탕,3.2,"서울 영등포구
",1
5,"서여의도에 사우나가 없는 이유,,,, 뜨끈한 곰탕국물이 묵은 피로를 싹 씻겨주니까,, ㅎ",https://place.map.kakao.com/22211975,하동관 국회의사당역직영점,곰탕,3.2,"서울 영등포구
",1
5,#먹자마자 #서울 일기 결론: 추천ㅇ 재방문ㅇ  •겨울에 예약하고간 5시타임 창가자리 좋았음,https://place.map.kakao.com/27353169,세상의모든아침 여의도점,양식,3.0,"서울 영등포구
",1
4,한달전에 예약하면 창가자리 가능 맛보단 뷰 보러 가는 곳 뷰 치고 가격은 괜찮,https://place.map.kakao.com/27353169,세상의모든아침 여의도점,양식,3.0,"서울 영등포구
",1
1,"딱 인스타용 식당... 멋진 뷰, 깔끔한 인테리어, 예쁜 음식 말고는 아무것도 없는데 너무 비쌈ㄷ",https://place.map.kakao.com/27353169,세상의모든아침 여의도점,양식,3.0,"서울 영등포구
",0
5,반드시 여기서 현 여자친구와 결혼할 겁니다,https://place.map.kakao.com/27353169,세상의모든아침 여의도점,양식,3.0,"서울 영등포구
",1
1,3년전에도ㅠ이정도였나 싶을정도로 개실망.. 이걸 이금ㅇㅔ 판다고..?? 그냥 삼겹살 먹으러가세요,https://place.map.kakao.com/27353169,세상의모든아침 여의도점,양식,3.0,"서울 영등포구
",0
1,서울에 볼일 보러 갔다가 근처 별점 높아서 갔더니 호불호긴한데 좁음 맛 개평범함 그리고 츄리닝상태로 동생이랑 들어갔는데 계산 먼저했음 먹고 나갈라는데 직원이 계산하셨냐고 무시하듯이 말함 기분 상함 솔직히 다른집 갔으면 돈 아낌 양도 적고 맛도 그렇게 맛있지 않음  솔직히 돈값못함 여의도라는 이유로 비싼게 학계정설 얼굴 철판깔고 하면 누구나 할듯 ^^,https://place.map.kakao.com/19697033,차이나플레인 여의도점,중화요리,3.8,"서울 영등포구
",0
5,food was both stimulating and delicious.,https://place.map.kakao.com/19697033,차이나플레인 여의도점,중화요리,3.8,"서울 영등포구
",1
4,적당하게 깔끔한 맛,https://place.map.kakao.com/19697033,차이나플레인 여의도점,중화요리,3.8,"서울 영등포구
",1
5,"해물볶음짜장면, 차돌짬뽕, 맛나요~~ 마라맛 살짝 나는 탄탄면도 맛있구요 미원 넣는 중국집이랑 달리 짜거나 MSG맛이 느껴지지 않아요 ㅎㅎ",https://place.map.kakao.com/19697033,차이나플레인 여의도점,중화요리,3.8,"서울 영등포구
",1
5,바삭바삭 탕수육. 타 탕수육과 확연히 다르다. 차돌 짬뽕 강추~!,https://place.map.kakao.com/19697033,차이나플레인 여의도점,중화요리,3.8,"서울 영등포구
",1
4,"홀로 안내받았지만 쾌적하고 조용했으며 서버분들은 친절했습니다. 다만 낫또와 아보카도와 참치를 섞은 메뉴는 조카의 평에 따르면 '짱구 아빠가 좋아할 맛'이었으며, 랍스터라면은 많이 짰고 랍스터부분들은 살을 발라먹기엔 애매하게 껍질이 손질되어 있었습니다. 그 외엔 다 맛있었습니다.",https://place.map.kakao.com/171248151,화담,일식,4.9,"서울 영등포구
",1
