personal_star,review,url,title,category,total_star,location,label
4,깔끔하고 맛있음. 가성비 맛집. 강추,https://place.map.kakao.com/16050121,일등식당,해장국,3.6,"서울 마포구
",1
5,가격대비 푸짐한 식사,https://place.map.kakao.com/16050121,일등식당,해장국,3.6,"서울 마포구
",1
5,저렴하고 푸짐한식사 ,https://place.map.kakao.com/16050121,일등식당,해장국,3.6,"서울 마포구
",1
5,자극적이지 않고 담백한 뼈해장국입니다. 자리는 많지 않고 널찍하지도 않지만 노포 느낌이 매력있어요 :) 주문하면 금방 나와요!,https://place.map.kakao.com/16050121,일등식당,해장국,3.6,"서울 마포구
",1
5,,https://place.map.kakao.com/16050121,일등식당,해장국,3.6,"서울 마포구
",1
5,너무너무 맛있어요 사람도 많아서 너무 다닥다닥 붙어 앉아야 하기는한데 주문 하자마자 전골 나오고 볶음밥도 존맛.. 곱창도 엄청 많아요 볶음밥 드실테지만 곱창전골 먹을 때 공기밥도 시켜 드세요 밥 무조건 필수 …. ,https://place.map.kakao.com/13292214,청어람 본점,"곱창,막창",3.2,"서울 마포구
",1
5,갈때마다 너무 맛있고 바쁜데도 항상 직원분들 친절하셔서 기분좋게 항상 먹구갑니당,https://place.map.kakao.com/13292214,청어람 본점,"곱창,막창",3.2,"서울 마포구
",1
5,언제나 good,https://place.map.kakao.com/13292214,청어람 본점,"곱창,막창",3.2,"서울 마포구
",1
1,별로 맛도 예전 같지 않아요,https://place.map.kakao.com/13292214,청어람 본점,"곱창,막창",3.2,"서울 마포구
",0
1,사람많은건 상관없는데 아주 빨리가라고 재촉하고 사람 앉아있는데 치우고 꺼지라고 하는통에 기분 드러움,https://place.map.kakao.com/13292214,청어람 본점,"곱창,막창",3.2,"서울 마포구
",0
1,,https://place.map.kakao.com/256064588,소금집델리 망원,샌드위치,3.9,"서울 마포구
",0
5,잠봉뵈르는 물릴 것 같아서 잠봉프로마쥬를 주문했습니다 별 기대 없이 먹었는데 맛있어서 놀랬어요 함께 나온 감자튀김도 맛있었습니다,https://place.map.kakao.com/256064588,소금집델리 망원,샌드위치,3.9,"서울 마포구
",1
4,잠봉뵈르 맛있음,https://place.map.kakao.com/256064588,소금집델리 망원,샌드위치,3.9,"서울 마포구
",1
5,말모  잠봉뵈르랑 크로크마담 존맛. ,https://place.map.kakao.com/256064588,소금집델리 망원,샌드위치,3.9,"서울 마포구
",1
4,맛있어요! 잠봉프로마쥬보다는 원조가 나아요 ,https://place.map.kakao.com/256064588,소금집델리 망원,샌드위치,3.9,"서울 마포구
",1
4,,https://place.map.kakao.com/132500108,이치젠,일식,3.5,"서울 마포구
",1
5,,https://place.map.kakao.com/132500108,이치젠,일식,3.5,"서울 마포구
",1
