personal_star,review,url,title,category,total_star,location,label
4,,https://place.map.kakao.com/220597413,몽탄,갈비,3.3,"서울 용산구
",1
3,한 번은 갈 만하지만... 글쎄... 굳이 이 돈 주고 이 시간 써가면서...? 맛도 평범...,https://place.map.kakao.com/220597413,몽탄,갈비,3.3,"서울 용산구
",0
5,"웨이팅 대행 필요하신 경우, 아래 카톡 주소로 문의주시면 착오없이 예약 가능합니다.  https://open.kakao.com/o/sCXIWoJd",https://place.map.kakao.com/220597413,몽탄,갈비,3.3,"서울 용산구
",1
4,깔끔한 기본 반찬 좋아요. 고기는 물론 훌륭하고요. 그렇지만 대기가 어마어마해요. 그래서 진짜 큰 맘 먹고 가는 거 아님 또 가진 않을 것 같아요. 그래서 별 하나 뺐어요 ,https://place.map.kakao.com/220597413,몽탄,갈비,3.3,"서울 용산구
",1
4,"아침 10시에 줄서서 예약하고 오후2시쯤에 먹었는데,음식 맛은 있어요ㅎ근데 예약시스템 제발 쫌 바꿨으면 좋겠네요ㅎ 기다리다 지쳐요ㅎ환기도 안되서 직원분이 고기 구워주시는데 연기때문에 기침을 하시더라구요..",https://place.map.kakao.com/220597413,몽탄,갈비,3.3,"서울 용산구
",1
1,"제가 08년부터 문배동육칼 방문했습니다. 육칼1인분,육개장1인분 시키면 항상 면을 한 곳에 몰아서 줍니다.그러면 기본 면과 소자 면이 섞여서 일행과 나눠먹기 어려워서 처음으로 부탁드렸습니다ㅡ따로 달라구요.그게 어려운 부탁인지..어이없다는 듯이 비아냥거리시더군요..제가 재차 부탁하니깐 그때서야 주방에 전달했구요.그리고 면 받은 후에 어느게 기본이고 어느게 소...",https://place.map.kakao.com/24188406,문배동육칼 본점,국수,3.0,"서울 용산구
",0
1,내돈 내고 하루종일 기분더럽고 열받고 싶으면 가서 먹기 좋은곳 서비스도 엉망이지만 손님한테 화내고 음식을  던지다 시피 하는곳은 살다살다 처음 맛은 평균이지만 서비스 친절 여튼 그거 하나로 평점 깍아먹는곳~~ 두번 안감 돈주고 사먹으라고 가라고 해도 안감,https://place.map.kakao.com/24188406,문배동육칼 본점,국수,3.0,"서울 용산구
",0
4,음식이 빠르게 나와서 호로록 먹었어요 해장으로 좋네요 가격은 좀 세다고 생각됨,https://place.map.kakao.com/24188406,문배동육칼 본점,국수,3.0,"서울 용산구
",1
1,기분더럽네 일을하기싫으면 집에있고 사람써서장사해라 돈내고밥먹으러가는사람 기분더럽게하지말고 장사잘된다고 배짱 디지네 그따위로장사하다 언젠간 망할꺼다,https://place.map.kakao.com/24188406,문배동육칼 본점,국수,3.0,"서울 용산구
",0
1,"최악 입니다. 특히 위생이 눈뜨고 못 볼 정도 입니다. 여자 직원은 마스크도 쓰지 않은채 반찬 위에서 과자먹으며 부스러기 다 흘리고, 과자먹은 손으로 음식 손으로 만지는 것을 보았고 그때 음식점을 나왔어야 했다고 후회 중 입니다. 저는 매장 식사 였지만 포장은 더 최악 입니다. 대량 포장을 하던 중 육개장 위로 설거지 채반을 옮기더니 음식에 그 설거지 물들...",https://place.map.kakao.com/24188406,문배동육칼 본점,국수,3.0,"서울 용산구
",0
4,"고기는 안먹어보긴했는데, 내장탕은 끝내준다  5/6 추가) 차돌이 맛에 비해 가격이 좀 쎄고, 고기 굽기가 불편하다.",https://place.map.kakao.com/8122347,평양집,"육류,고기",2.6,"서울 용산구
",1
2,,https://place.map.kakao.com/8122347,평양집,"육류,고기",2.6,"서울 용산구
",0
3,걍 머..,https://place.map.kakao.com/8122347,평양집,"육류,고기",2.6,"서울 용산구
",0
