personal_star,review,url,title,category,total_star,location,label
3,맛은 괜찮은데 웨이팅 관리가 전혀 안되요.,https://place.map.kakao.com/469577034,유즈라멘 만리동점,일본식라면,4.2,"서울 중구
",0
5,정말 맛나요. 올때마다 만족하고 갑니다!,https://place.map.kakao.com/469577034,유즈라멘 만리동점,일본식라면,4.2,"서울 중구
",1
5,"4.5가 없어서 주관적 편애에 따라 별 5개 찍음ㅎㅎ 작년에 처음 와보고 재방문을 3번 이상 했어요. 처음 맛본 뒤로 늘 유즈시오라멘을 먹습니다.  지인은 여기서도 매운소유아 매운시오를 먹네요. 국내에서 라멘 맛있다는 곳을 가도 그저그런데에 비해 유즈라멘은 일관성 있게 라면이 맛있는 곳입니다 망설이지 말고 드셔보세요  ::: 시오 라멘은, 소금으로 간을해서...",https://place.map.kakao.com/469577034,유즈라멘 만리동점,일본식라면,4.2,"서울 중구
",1
3,"맛있긴 맛있습니다 그러니깐 사람이 많은 것 같긴 하나 맛을 빼면 모든 면에서 다 그닥인 업장입니다. 제가 3점을 준 이유도 맛 5점에 다른 모든 부분이 1점이라 평균 내서 3점 드리네요. 맛도 유자향 싫어하면 또 별로라 할 순 있겠으나 간판부터 유자라멘이라는데 들어가기까지 한 것이니 그것은 논외로 하고 진짜  맛은 좋네요 그런데 테이블 회전, 가격, 음식점...",https://place.map.kakao.com/469577034,유즈라멘 만리동점,일본식라면,4.2,"서울 중구
",0
3,독특한맛  유자. 루꼴라가 느끼함을 잡아줌,https://place.map.kakao.com/469577034,유즈라멘 만리동점,일본식라면,4.2,"서울 중구
",0
5,"** 첫번 째 방문! 가격은 조금 비싸지만 공간도 넓고 조용하니 좋다 나만 알고싶닿ㅎ   ** 두번 째 방문!  아인슈페너는 별로다ㅜㅜ 보통 크림이 엄청 차야하는데 따뜻해서 놀랐다 주말이라 그런지 사람들도 엄청 많았다  2층,1층,지하 ",https://place.map.kakao.com/1769574951,더하우스1932,카페,4.2,"서울 중구
",1
4,,https://place.map.kakao.com/1769574951,더하우스1932,카페,4.2,"서울 중구
",1
3,직원들은 불친절한데 커피는 맛있음 ,https://place.map.kakao.com/1769574951,더하우스1932,카페,4.2,"서울 중구
",0
3,가격이 좀 있으나 분위기 다양함 커피 나쁘지 않고..,https://place.map.kakao.com/1769574951,더하우스1932,카페,4.2,"서울 중구
",0
5,음료와 디저트 평범하게 맛있고 카페가 너무 예뻐요. 좌석 여기저기 오밀조밀하게 있어서 원하는 자리 찾아다니는 재미가 있네용 직원분들 친절하시고 분위기가 좋았어요.,https://place.map.kakao.com/1769574951,더하우스1932,카페,4.2,"서울 중구
",1
