personal_star,review,url,title,category,total_star,location,label
5,❤❤❤❤❤❤엄마네❤❤❤❤❤❤ 3층 안쪽 좌측끝부분  310호 ★엄마 학사네★ 1.이모가 너무젊고 이뻐서 ★한번 놀라고 2.빽순대에 오소리감투에 쫄깃함에 ★두번 놀라고 3.양념순대에 매콤함에 ★세번 놀라는데 4.뽁음밥에 ★네번 놀라고 놀라는 그맛! 5 맛나고 푸짐하고  저렴한 가격에 ★다섯번째  깜놀 ! ! ★★영원히 잊지 못할거 같아~~~★★ 민속순대타운 ...,https://place.map.kakao.com/15317417,원조민속순대타운,순대,2.9,"서울 관악구
",1
1,"0.5점 없나... 호객, 사람많은거, 더러운거, 아줌마, 싫어하면 가지마세요 갠적 순대 퀄리티 영 구대기임 나한테만 ♪♪♪ 맛없나봄. 뭐가맛있다는거지? 대체 뭐가? 걍 닭갈비먹을래.",https://place.map.kakao.com/15317417,원조민속순대타운,순대,2.9,"서울 관악구
",0
1,민속순대타운 305 전라도해남 아지매,https://place.map.kakao.com/15317417,원조민속순대타운,순대,2.9,"서울 관악구
",0
1,또순이 아줌마들 손님한테 반말하고 명령하고 뭐 달라면 답답하고 흘리고.. 일하는 젊은 놈들은 용팔이 말투에 꽥꽥 성질내고 너무 싫었음 좋은 사람이랑은 가지 마세요 강매에 비싸고 맛도 더럽게 없음,https://place.map.kakao.com/15317417,원조민속순대타운,순대,2.9,"서울 관악구
",0
1,왜 사람이 많은지 의문임 맛없음 웩,https://place.map.kakao.com/15317417,원조민속순대타운,순대,2.9,"서울 관악구
",0
1,첫방문에 노룩패스 경험 메밀가루는 중국산,https://place.map.kakao.com/13491393,막불감동 신림본점,냉면,3.7,"서울 관악구
",0
4,9천원으로 오름~ 비빔막쌈 2개 주문. 고기는 그닥.. 열무도 맛있고~ 매운데 맛있어요^^ 같이 가신 분도 만족~ 육수 맛있어서 계속 먹었네요~ 1시 넘었는데도 웨이팅이~~ 잘 먹고 갑니다 ^^,https://place.map.kakao.com/13491393,막불감동 신림본점,냉면,3.7,"서울 관악구
",1
1,첫 방문. 지하로 내려감. 문 앞에 키오스크가 있길래 주문 터치하고 카드 꽂으려 하니 어떤 머리 하나로 묶은 분이 오더니 눈에 레이져 쏘면서  뭐하는 거죠? 네? 이거 키오스크 아닌가요? 이거  우리가 쓰는 거다 아~  문앞에 바로 있길래 당연히 주문기계 인줄 알았어요 (제 실수니 더 없이 정중하고 부드러운 말투와 표정으로 답변 드렸습니다)  대답없이 나를...,https://place.map.kakao.com/13491393,막불감동 신림본점,냉면,3.7,"서울 관악구
",0
5,그야말로 감동적인 맛집으로 오열하면서 먹었읍니다,https://place.map.kakao.com/13491393,막불감동 신림본점,냉면,3.7,"서울 관악구
",1
3,후기에 엄청맛있다는 분들 ㅎㅎ 너무 밍밍  시골에서 잘숙성된 동치미에 물부어놓은 느낌,https://place.map.kakao.com/13491393,막불감동 신림본점,냉면,3.7,"서울 관악구
",0
