personal_star,review,url,title,category,total_star,location,label
5,"온가족 맛집 4층 불고기 1인분에 300그람 12000원, 공기밥은 추가지만 가성비 좋고 맛있음 조금 달기도 함 서빙도 너무 친절하고 반찬도 푸짐하게 더 잘 줌",https://place.map.kakao.com/15937430,신촌형제갈비,갈비,2.5,"서울 서대문구
",1
1,언제부터 우리나라에 팁문화가 생긴거죠? 갈비 금액에 구워주는 서비스가 포함된거 아닌가요? 불편하네..,https://place.map.kakao.com/15937430,신촌형제갈비,갈비,2.5,"서울 서대문구
",0
1,"별 한개도 아까운 곳. 저녁 7시 4층 단체석 예약했는데 당일 매장에 도착하니 아줌마 하는말 ""여기 영업시간 8시까지인거 아시죠?"" 2층 갈비파는곳은 10시까지고 4층 불고기는 8시까지라는데 홈피에는 고지되어 있지도 않고 그럼 예약할때 미리 알려주지 그랬냐고 하니 ""불고기는 금방먹는건데 뭐 어때요"" 이소리 함. 10명이 넘게 모이는거라 늦은 사람은 7시 반...",https://place.map.kakao.com/15937430,신촌형제갈비,갈비,2.5,"서울 서대문구
",0
1,사장님이 관리를 안하나봐요 별점이 이렇게 거지 같은데 개선할 생각이 없네요 4층 직원을 다 짜르고 새로 뽑으세요 가위가 더러운 것도 짜증나는데 바꿔달라고 했더니 놓던 숟가락 던지다시피하고 가져간 가위 들으라는건지 소리 엄청 크게 나게 던져버리네요 기분 더럽네요,https://place.map.kakao.com/15937430,신촌형제갈비,갈비,2.5,"서울 서대문구
",0
1,비싼 돈 주고 기분 망치고 싶으면 가면 됩니다,https://place.map.kakao.com/15937430,신촌형제갈비,갈비,2.5,"서울 서대문구
",0
3,,https://place.map.kakao.com/26615188,부엉이돈가스 신촌점,"돈까스,우동",3.9,"서울 서대문구
",0
3,맛: ⭐️⭐️⭐️⭐️ 가성비: ⭐️⭐️⭐️ 서비스(음식 나오는 속도): ⭐️  맛있어요. 근데 가격이 아주 조금 비싼 느낌입니다. 그리구 음식이 나오는 속도가 너무 느려서 강제로 천천히 먹으니 건강해지는 기분이 듭니다.,https://place.map.kakao.com/26615188,부엉이돈가스 신촌점,"돈까스,우동",3.9,"서울 서대문구
",0
1,나오는데 30분,https://place.map.kakao.com/26615188,부엉이돈가스 신촌점,"돈까스,우동",3.9,"서울 서대문구
",0
5,맛있어요,https://place.map.kakao.com/26615188,부엉이돈가스 신촌점,"돈까스,우동",3.9,"서울 서대문구
",1
5,양이 좀 적은 감이 있지만 맛있어요,https://place.map.kakao.com/26615188,부엉이돈가스 신촌점,"돈까스,우동",3.9,"서울 서대문구
",1
5,맛있었어요. 다음에도 소중한 사람들과 함께 재방문 하고싶어요! 번창하세요.,https://place.map.kakao.com/26976526,라구식당,이탈리안,4.0,"서울 서대문구
",1
5,최근 먹은 파스타 중 제일 만족 라자냐 좋아하는데 내 기준 좀 간간했고 파스타가 정말 맛있었음. 그래도 담에 또가면? 하나씩 주문해서 나눠먹을거임  요즘 파스타집들 보면 가격 진짜 어이없게 올려받던데 여기는 맛도 좋지만 가격도 합리적이고 양도 많아요 ,https://place.map.kakao.com/26976526,라구식당,이탈리안,4.0,"서울 서대문구
",1
5,,https://place.map.kakao.com/26976526,라구식당,이탈리안,4.0,"서울 서대문구
",1
5,메뉴가 몇개 없어서 더 맛집 바이브가 느껴집니다 친구가 라자냐가ㅜ맛있다해서 갔는데 저는 파스타가 더 맛있었어요 마늘빵위에 소스랑 면이랑 같이 올려서 먹으면 존맛 식당 내부 분위기도 좋고 만족이에여,https://place.map.kakao.com/26976526,라구식당,이탈리안,4.0,"서울 서대문구
",1
3,솔직히 그렇게 맛있는지는 모르겠어요,https://place.map.kakao.com/26976526,라구식당,이탈리안,4.0,"서울 서대문구
",0
5,이번에 리모델링하고 처음 가봤는데 인테리어 너무 이쁘네요 ෆ⃛ 자주가는곳인데 항상 맛있어요!  레몬머랭존맛탱,https://place.map.kakao.com/1011256721,더파이홀,커피전문점,3.9,"서울 서대문구
",1
3,so so,https://place.map.kakao.com/1011256721,더파이홀,커피전문점,3.9,"서울 서대문구
",0
4,너무 맛있고 다 좋은데 내부가 울려서 그런지  너어무 시끄러워요 ... ㅜㅜ,https://place.map.kakao.com/1011256721,더파이홀,커피전문점,3.9,"서울 서대문구
",1
5,한결같이 맛있음. 사람이 많아서 매장이 시끌시끌 정신 없는게 조금 아쉽지만 파이는 항상 맛있음.,https://place.map.kakao.com/1011256721,더파이홀,커피전문점,3.9,"서울 서대문구
",1
5,추억의 공간. 얼그레이 파이 먹고 싶은데 홍대까지 언제가아ㅏ아아아ㅏㅏ,https://place.map.kakao.com/1011256721,더파이홀,커피전문점,3.9,"서울 서대문구
",1
5,여기 감튀는 꼭 먹으세요...❤️ ,https://place.map.kakao.com/27243051,또보겠지떡볶이집 신촌히어로점,떡볶이,4.1,"서울 서대문구
",1
4,,https://place.map.kakao.com/27243051,또보겠지떡볶이집 신촌히어로점,떡볶이,4.1,"서울 서대문구
",1
3,맵지만 종종 갑니다 즉석떡볶이먹으러,https://place.map.kakao.com/27243051,또보겠지떡볶이집 신촌히어로점,떡볶이,4.1,"서울 서대문구
",0
4,,https://place.map.kakao.com/27243051,또보겠지떡볶이집 신촌히어로점,떡볶이,4.1,"서울 서대문구
",1
4,"홍대에 있는 세 지점은 엄청 자주 갔었고 세월이 흘러 신촌점을 와봤다. 물가가 올라서 그런지, 신촌점은 원래 그런지 모르겠지만 여기는 감튀양이 확 줄었다. 감튀~ 돌려도~~",https://place.map.kakao.com/27243051,또보겠지떡볶이집 신촌히어로점,떡볶이,4.1,"서울 서대문구
",1
3,대학가라 그런지 가격은 괜찮지만 맛은 그냥 평범함,https://place.map.kakao.com/7892863,복성각,중화요리,3.3,"서울 서대문구
",0
5,"짜장-일반적인 맛과 좀 달라서 호불호가 있을 것 같지만, 개인적으로 맛있었음.",https://place.map.kakao.com/7892863,복성각,중화요리,3.3,"서울 서대문구
",1
1,간짜장달라했는데 없다니까 삼선짜장먹으면 비슷하다길래 시켜보니 아니나 다를까 그냥 짜장면에 대충 나온거. 사람 장난치는거도아니고 ,https://place.map.kakao.com/7892863,복성각,중화요리,3.3,"서울 서대문구
",0
3,,https://place.map.kakao.com/7892863,복성각,중화요리,3.3,"서울 서대문구
",0
5,짜장면 곱 7000원  맛 있습니다  밥에 비벼 먹어도 맛있습니다  악플 달지 마세요 ㅡㅡ,https://place.map.kakao.com/7892863,복성각,중화요리,3.3,"서울 서대문구
",1
5,,https://place.map.kakao.com/26522526,소신이쏘,갈비,3.8,"서울 서대문구
",1
5,"너무 맛있어서 감동받았어요 이런 갈비찜 첨먹어봤어요,, 당면도 야들야들 너무 맛있고,, 또먹고싶네요",https://place.map.kakao.com/26522526,소신이쏘,갈비,3.8,"서울 서대문구
",1
3,크림 장맛으로먹음 다음엔더매운맛도전하기 크림아닌거먹어보기,https://place.map.kakao.com/26522526,소신이쏘,갈비,3.8,"서울 서대문구
",0
2,양이 너무 적고 맛도 평범해요,https://place.map.kakao.com/26522526,소신이쏘,갈비,3.8,"서울 서대문구
",0
1,여자알바 일하기싫음 때려쳐라,https://place.map.kakao.com/26522526,소신이쏘,갈비,3.8,"서울 서대문구
",0
2,일단 모기가 ♩♪~ 많습니다. 밥먹으면서 5마리 잡았네요.  성인 남성이 먹기에 양은 적고 맛은 평범하네요. 가성비는 절대 아님.  저번에 덮밥은 맛있게 먹었는데 가정식 스테이크 모시기는 별로네요.,https://place.map.kakao.com/594421253,미도인 신촌,일식,3.8,"서울 서대문구
",0
5,언제나 좋은 식사 진심으로 감사드립니다.,https://place.map.kakao.com/594421253,미도인 신촌,일식,3.8,"서울 서대문구
",1
3,평범해요,https://place.map.kakao.com/594421253,미도인 신촌,일식,3.8,"서울 서대문구
",0
3,맛있어요 고기 양은 조금 적은 듯...? 매장 인테리어도 강남점이 좀 더 예쁜 듯 하네요....,https://place.map.kakao.com/594421253,미도인 신촌,일식,3.8,"서울 서대문구
",0
1,"스테이크 미디움인데 양이적고 질이 별로였습니다. 저희만 그랬을수도 있지만 단호박스프가 한입먹자마자 신+쓴맛이여서 못먹었어요. 라멘만 괜찮았습니다. 어려운상황이라 안좋은 후기는 안남기려고 하는데 계산하시는 친절도다 맛, 양 모든게 만족하기는 힘든 곳이였습니다.",https://place.map.kakao.com/594421253,미도인 신촌,일식,3.8,"서울 서대문구
",0
1,"시간 얼마나 중요한지 알게 되었어요ㅠ  오늘 저녁 갔다왔습니다... 미쉐린 가이드받아서 궁금해서 그런지 대기 거의 1시간 정도 기다리고 깨부수면, 수란, 소자 유린기 시켰어요. 시그니처 메뉴라서  먹다가 너무 실망했어요. 맛은 평범하고 원재료만 그대로쓰고 서빙하는거에요. 결국은 맛은 평범하고 슴슴하고 같이 주는 치킨스톡 뿌려 비벼도 더 맛있지않아요. 저 치...",https://place.map.kakao.com/1705674698,정육면체,퓨전요리,3.7,"서울 서대문구
",0
3,,https://place.map.kakao.com/1705674698,정육면체,퓨전요리,3.7,"서울 서대문구
",0
1,"홍탄이랑 깨부수면 먹었는데 홍탄은 면이랑 국물이랑 따로 노는 느낌?  깨부수면는 너무 느끼하네요, 다짐육으로 너무 싸게 맞춘 느낌ㅠ  그리고 알바생 교육 좀 필요할듯하네요 22/5/25 오후 6시 반 쯤 홀 알바생 한명이요",https://place.map.kakao.com/1705674698,정육면체,퓨전요리,3.7,"서울 서대문구
",0
3,유린기 사진이 없는데 유린기가 젤 맛있음 가지만 따로 팔았음 좋겠다 구운가지가 존맛,https://place.map.kakao.com/1705674698,정육면체,퓨전요리,3.7,"서울 서대문구
",0
5,진짜 여기는 인정,https://place.map.kakao.com/1705674698,정육면체,퓨전요리,3.7,"서울 서대문구
",1
1,예전 곱창대란때 볶음밥 다 팔려서 없다고 해서 그럼 이번만 공기밥주문해서 우리가 볶아먹음 안되냐니까 그것도 안된다 한 이후로 안감. 곱창에 볶음밥을 못먹다니 말이됩니까~,https://place.map.kakao.com/15847929,신촌황소곱창 신촌본점,"곱창,막창",2.2,"서울 서대문구
",0
2,양은 적고 곱창은 질기고 콩나물국은 맛있어요!  분위기는 정겨운 분위기에요!! ,https://place.map.kakao.com/15847929,신촌황소곱창 신촌본점,"곱창,막창",2.2,"서울 서대문구
",0
5,,https://place.map.kakao.com/15847929,신촌황소곱창 신촌본점,"곱창,막창",2.2,"서울 서대문구
",1
5,맛있어요!! 콩나물국이 칼칼하고 최고에여~ 근데 더러븜,https://place.map.kakao.com/15847929,신촌황소곱창 신촌본점,"곱창,막창",2.2,"서울 서대문구
",1
3,곱창 그램수가 안나오니 가격이 비싼지 싼지는 알수가 없네요,https://place.map.kakao.com/15847929,신촌황소곱창 신촌본점,"곱창,막창",2.2,"서울 서대문구
",0
5,"맛: 크로플이 생각보다 질겨서(?) 아쉬웠지만 밀크티도 맛있고 좋았어요 서비스: 친절하심 인테리어: 입구부터 분위기가 어나더레벨입니다. 그릇들도 이쁘고, 자리도 편하구요. 짧게 말고 오래 얘기하러 오기에는 최적의 카페 기타: 참 예쁜 장소.. 언젠가 또 올일이 있지 않을까 싶습니다.",https://place.map.kakao.com/8122805,클로리스 신촌점,카페,4.1,"서울 서대문구
",1
5,,https://place.map.kakao.com/8122805,클로리스 신촌점,카페,4.1,"서울 서대문구
",1
5,,https://place.map.kakao.com/8122805,클로리스 신촌점,카페,4.1,"서울 서대문구
",1
5,좋은시간 보냈어요…. 정말 맛있습니다. ,https://place.map.kakao.com/8122805,클로리스 신촌점,카페,4.1,"서울 서대문구
",1
3,비싸고 불친절하심 맛은 ㄱㅊ,https://place.map.kakao.com/8122805,클로리스 신촌점,카페,4.1,"서울 서대문구
",0
5,음료 가격대가 세지만 여기만한 곳이 없다.  뷰도 좋고 인테리어도 좋다.  그리고 계단 밑에 비밀창고 있음! 짱신기 ,https://place.map.kakao.com/18826661,독수리다방,다방,4.2,"서울 서대문구
",1
3,,https://place.map.kakao.com/18826661,독수리다방,다방,4.2,"서울 서대문구
",0
1,정신나간 메뉴가격 정신나간 커피 맛..,https://place.map.kakao.com/18826661,독수리다방,다방,4.2,"서울 서대문구
",0
2,커피가ㅜ진짜 맛이 없어요 7500짜리 ㅇ초코 음료도 이게 뭔가싶은 맛,https://place.map.kakao.com/18826661,독수리다방,다방,4.2,"서울 서대문구
",0
5,약간 비싸고 불편한 자리가 대부분이지만 카공하기 좋아요,https://place.map.kakao.com/18826661,독수리다방,다방,4.2,"서울 서대문구
",1
4,마제소바 맛이 좀 유동적인가.. 어느날은 무척 맛있는데 또 다른 날은 뻑뻑해서 다 먹지도 못함 ㅠ,https://place.map.kakao.com/1025832828,카라멘야,일본식라면,4.1,"서울 서대문구
",1
5,"맛: 아직 본라멘만 먹어봤는데, 면 식감도 취향이고 국물도 취향이네요. 꽤 진하고 간이 센 편입니다. 차슈도 타 라멘집들보다 부드럽구요.. 근방 라멘집들을 많이 다녀본건 아니지만 그중 제일 맛있습니다. 서비스: 친절하심. 근데 서버분이 사복입고계셔서 처음엔 손님인줄 ㅋㅋ 보통 밥은 셀프리필이던데 말씀드리면 직접 퍼서 갖다주시더라구요 인테리어: 네이버 소개글...",https://place.map.kakao.com/1025832828,카라멘야,일본식라면,4.1,"서울 서대문구
",1
4,,https://place.map.kakao.com/1025832828,카라멘야,일본식라면,4.1,"서울 서대문구
",1
4,마제소바 맛있어여,https://place.map.kakao.com/1025832828,카라멘야,일본식라면,4.1,"서울 서대문구
",1
5,"이치란이 생각난다면,",https://place.map.kakao.com/1025832828,카라멘야,일본식라면,4.1,"서울 서대문구
",1
1,"왜 후기가 높은지 이해불가.. 가격은 가격대로 예전보다 엄청 올랐고 기본제공으로 시켰는데 파인애플 커피 안줘서 본인조차도 잊고 식당에서 그냥 나옴,,고기를 한꺼번에 가져다 줘서 거의 식은 상태로 먹었어요ㅠ다신 안갈래요..",https://place.map.kakao.com/27560694,이빠네마그릴,"멕시칸,브라질",4.0,"서울 서대문구
",0
5,퍼펙토,https://place.map.kakao.com/27560694,이빠네마그릴,"멕시칸,브라질",4.0,"서울 서대문구
",1
5,,https://place.map.kakao.com/27560694,이빠네마그릴,"멕시칸,브라질",4.0,"서울 서대문구
",1
1,알바가 불친절함..,https://place.map.kakao.com/27560694,이빠네마그릴,"멕시칸,브라질",4.0,"서울 서대문구
",0
1,"맛은 있으나, 알바의 불친절 및 접객에 있어 문제가 있다. 재방문 불가. 일부러 저렴한 소시지만 계속 주려고 해서 고기 달라 하니깐 한동안 오지도 않는다. 무한리필로 돈을 받고 리필 안하려고 애쓰는 곳. 알바 동원해서 점수 높여서 한국 사람 등쳐먹는 외국인 가게.",https://place.map.kakao.com/27560694,이빠네마그릴,"멕시칸,브라질",4.0,"서울 서대문구
",0
3,맛은 좋았습니다.  그러나 대화금지라는 가게 지침을 미리 밖에 고지했으면 좋겠습니다.  그러면 대화가 필요한 사람은 안들어갈테니까요. ,https://place.map.kakao.com/1985785355,미분당 신촌2호점,베트남음식,3.9,"서울 서대문구
",0
4,쌀국수의 파라곤,https://place.map.kakao.com/1985785355,미분당 신촌2호점,베트남음식,3.9,"서울 서대문구
",1
3,혼밥하기 좋아요,https://place.map.kakao.com/1985785355,미분당 신촌2호점,베트남음식,3.9,"서울 서대문구
",0
1,,https://place.map.kakao.com/1985785355,미분당 신촌2호점,베트남음식,3.9,"서울 서대문구
",0
4,무난한 맛. 기다릴 맛은 절대 아니구요. 국물이 진하거나 특색 있지는 않아요. 직원분들이 먼저 이것저것 사리나 고수 등 필요한걸 물어주시고 친절합니다. ,https://place.map.kakao.com/1985785355,미분당 신촌2호점,베트남음식,3.9,"서울 서대문구
",1
