personal_star,review,url,title,category,total_star,location,label
4,,https://place.map.kakao.com/1386489124,진미식당,"게,대게",3.6,"서울 마포구
",1
4,예약이 안되어 픽업해왔는데... 살이 정말 통통허니 맛있었어요. 그런데 쪼끔 짜서 별점하나 깠어요..,https://place.map.kakao.com/1386489124,진미식당,"게,대게",3.6,"서울 마포구
",1
1,여기말고 명현만 무한리필 25000원짜리가 훨씬 좋은듯 합니다. 연평도 암캐쓴다는데 거기는,https://place.map.kakao.com/1386489124,진미식당,"게,대게",3.6,"서울 마포구
",0
2,여기 말고 강서구 제일한우ㅊ 가서 간장게장 드셔보세요.. JMT,https://place.map.kakao.com/1386489124,진미식당,"게,대게",3.6,"서울 마포구
",0
3,생각보다 별로,https://place.map.kakao.com/1386489124,진미식당,"게,대게",3.6,"서울 마포구
",0
5,간도 심심하고 맛있네요. 아이도 맛있다고 하니 좋네요. 단 머리 뒤로 묶은 남자 사장님은 조금 까칠하신 것 같네요ㅋ 맛있으니 그냥 별 다섯개 드려요,https://place.map.kakao.com/20709046,황금콩밭,두부전문점,3.7,"서울 마포구
",1
5,처음와서 근본이라고 할 수 있는 청국장에 생두부. 진짜 맛있다 자주 방문해서 여러 메뉴 먹고 싶다,https://place.map.kakao.com/20709046,황금콩밭,두부전문점,3.7,"서울 마포구
",1
5,제발 냄비두부조림 두부구이,https://place.map.kakao.com/20709046,황금콩밭,두부전문점,3.7,"서울 마포구
",1
4,나무랄 데 없는 맛. 근처에서 술 먹을 있으면 들를 것 같습니다.,https://place.map.kakao.com/20709046,황금콩밭,두부전문점,3.7,"서울 마포구
",1
5,맛만보고 별점 드립니다.,https://place.map.kakao.com/20709046,황금콩밭,두부전문점,3.7,"서울 마포구
",1
4,"부드럽고 깔끔한 설렁탕 스타일의 사골 국물이 일품이다. 같은 국물에 우거지와 선지가 들어간 해장국, 고기와 살이 붙은 소뼈가 들어간 곰탕이 메뉴의 전부. 청양고추 다대기를 국물에 풀어 먹으면 인상적인 맛을 즐길 수 있다. //  카카오맵 맛집 추천 지도 - https://www.photoguraphy.com/?p=3997",https://place.map.kakao.com/20616798,북성해장국,해장국,4.4,"서울 서대문구
",1
3,음식은 맛있는데 홀에 남직원이 아무리 불러도 반응을 안해요 ㅋㅋ 나참,https://place.map.kakao.com/20616798,북성해장국,해장국,4.4,"서울 서대문구
",0
5,Since 1978. 이제껏 경험해보지 못한 명품 해장국 !!!  정갈하고 품격 넘치는 맛 그리고 살가운 주인장의 서비스 배리 굿 ~ 마약같은 청양고추절임과 부드러운 선지도 일품이다.  ,https://place.map.kakao.com/20616798,북성해장국,해장국,4.4,"서울 서대문구
",1
5,"정말 맛있습니다. 곰탕과 해장국 둘 다 맛있지만, 해장국에 고추절임 넣은건 적극추천입니다! 꼭 넣어드세요.",https://place.map.kakao.com/20616798,북성해장국,해장국,4.4,"서울 서대문구
",1
4,고기가 좀더 잘 뜯어졌다면 더 좋았을듯.  국물과 우거지의 조합은 최상급,https://place.map.kakao.com/20616798,북성해장국,해장국,4.4,"서울 서대문구
",1
5,맛있어용. 좁은 게 단점.,https://place.map.kakao.com/582437543,옐로우보울,양식,4.3,"서울 서대문구
",1
3,,https://place.map.kakao.com/582437543,옐로우보울,양식,4.3,"서울 서대문구
",0
5,두명이라고 스튜를 두 그릇에 나누어 주셨다. 세심하신듯. 그리고 파스타 정말 괜찮다. 또 가고싶음,https://place.map.kakao.com/582437543,옐로우보울,양식,4.3,"서울 서대문구
",1
2,직장인이 몰려 있는 지역에서 이 정도는 좀 아쉽습니다,https://place.map.kakao.com/582437543,옐로우보울,양식,4.3,"서울 서대문구
",0
5,서빙하는 분도 넘 친절하시구 내공이 느껴지는 파스타와 치즈몬스터!!! 하나하나 너무 맛났어요 ㅎㅎ,https://place.map.kakao.com/582437543,옐로우보울,양식,4.3,"서울 서대문구
",1
5,퀸아망 마싯어요.. 가격대가 나가긴 하지만 디저트 사러 또 오는 이 곳,https://place.map.kakao.com/922091993,비파티세리 공덕점,카페,4.1,"서울 마포구
",1
5,,https://place.map.kakao.com/922091993,비파티세리 공덕점,카페,4.1,"서울 마포구
",1
5,공덕에 살아서 행복해요..커피는 솔직히 존맛탱은 아닙니다 ㅎㅎ 빵은 전체적으로 단 편입니다!  가게 인테리어가 주는 공간감이나 층고가 높아서인지 여유롭게 티타임하기 좋아요. 다만 주말에는 앉을 자리가 없습니다!,https://place.map.kakao.com/922091993,비파티세리 공덕점,카페,4.1,"서울 마포구
",1
4,"단층의 넓은 공간에 비파티세리, 쿠도스 커피가 공존. 빵과 커피. 둘 다 수준급. ",https://place.map.kakao.com/922091993,비파티세리 공덕점,카페,4.1,"서울 마포구
",1
5,자주 방문하는 카페,https://place.map.kakao.com/922091993,비파티세리 공덕점,카페,4.1,"서울 마포구
",1
1,맛있다 떡볶이는 맵지 않지만 자극적이라 맛있는 판떡볶이고 야끼튀김도 소는 없지만 엄청 빠삭해서 닭껍질튀김 먹는 듯 고소하다 다른 곳에서 먹을 수 없는 못난이튀김도 맛있다 기차뷰도 특이하고 분위기 있다고 느꼈다  근데 이 모든 걸 다시는 경험하고 싶지 않게 만드는 비위생... 비위생이 아니라 위생이 없다 평소에 그런 거 신경 안 쓰고 잘 먹는 편인데도 여긴 ...,https://place.map.kakao.com/25880887,철길떡볶이,떡볶이,2.5,"서울 서대문구
",0
5,,https://place.map.kakao.com/25880887,철길떡볶이,떡볶이,2.5,"서울 서대문구
",1
1,테이블 더럽고 내부 위생 안좋아보이고 먹고 다같이 배탈남 맛도 딱히,https://place.map.kakao.com/25880887,철길떡볶이,떡볶이,2.5,"서울 서대문구
",0
1,,https://place.map.kakao.com/25880887,철길떡볶이,떡볶이,2.5,"서울 서대문구
",0
3,맛은 평범하지만 자꾸 생각나는 맛이에요! 저렴해서 좋아요~,https://place.map.kakao.com/25880887,철길떡볶이,떡볶이,2.5,"서울 서대문구
",0
5,저희 커플 1000일 기념으로 예약해서 간 곳인데 후기가 극과극이라 기대반 걱정반으로 방문했는데 저희 둘 다 진실의 미간 시전하고 온 곳!! 부모님 모시고 또 오고싶어요! 직원분들도 친절하시고 셰프님의 친절한 설명까지 !! 단점이 있다면 뚜벅이분들이 가기엔 좀 힘든 언덕...ㅜㅜ  별로라고 하시는 분들 디너 7만원에 이정도면 쌉가성비 아닙니까...?,https://place.map.kakao.com/20627074,이요이요스시 공덕1호점,"초밥,롤",4.0,"서울 마포구
",1
5,오마카세 멋집 맛집,https://place.map.kakao.com/20627074,이요이요스시 공덕1호점,"초밥,롤",4.0,"서울 마포구
",1
3,기대했던 것보다는 그냥 그저그랬어요 평일 디너로 7만원 먹었는데 배는 엄청 불렀는데 다먹고 나니 딱히 뭐가 진짜 맛있었다는 생각은 안드네요 ㅎㅎ 다음엔 다른 곳 갈래요 ㅎㅎ 한번쯤 먹어볼 만 합니다,https://place.map.kakao.com/20627074,이요이요스시 공덕1호점,"초밥,롤",4.0,"서울 마포구
",0
1,리뷰가 너무 좋아서 먹어봤는데  생각 보다 너무 별루였어요.  구지 이집에서 스시 먹어야하나? 여기보다 잘하는집 많아요,https://place.map.kakao.com/20627074,이요이요스시 공덕1호점,"초밥,롤",4.0,"서울 마포구
",0
2,"런치 4.5만원으로 인상, 회가 너무 얇아 식감 밥과 밸런스가 안맞았다. 초창기 방문땐 정말 대존맛이었는데, 점점 명성을 잃어가는 듯하다. ",https://place.map.kakao.com/20627074,이요이요스시 공덕1호점,"초밥,롤",4.0,"서울 마포구
",0
3,못 굽는다는 얘기를 많이 보고가서... 진짜 바쁜지 계속 왔다갔다 하네요~ 걍 제가 구워 먹었어요. 맛은 좋아요ㅋㅋㅋ,https://place.map.kakao.com/26939037,두툼,"육류,고기",3.9,"서울 중구
",0
3,"예전부터 자주 다니던 집인데 이번에 갔을 때 너무 별로였어요. 고기도 잘 못 굽고, 응대도 별로였네요. 한동안 안올듯여~",https://place.map.kakao.com/26939037,두툼,"육류,고기",3.9,"서울 중구
",0
2,"집에서 멀지만 첫번째 너무 맛있어서 두번째 방문,, 바빠서 어쩔수 없기도 하겠지만 직원이 여기저기 돌아다니면서 고기 구워주는데 그래서 고기가 너무 못구워져요 처음이랑 차이가 너무 나요. 심지어 퍽퍽한 수준,,, 굽는 직원의 실력문제인지 인력난인지 모르겠지만  이건 쫌,,,,",https://place.map.kakao.com/26939037,두툼,"육류,고기",3.9,"서울 중구
",0
2,직원이 고기를 못구워요 ,https://place.map.kakao.com/26939037,두툼,"육류,고기",3.9,"서울 중구
",0
5,"삼겹항정 존맛임니다,, 고추장찌개도 맛있음 ! 웨이팅은 늘 있는 편.",https://place.map.kakao.com/26939037,두툼,"육류,고기",3.9,"서울 중구
",1
4,꼭 공기밥을 시켜드시길 추천 드립니다 공기밥이든 시래기밥이든 밥이 맛난 고기집^^ 반찬도 깔끔하고 굿^^ 투블럭 남자 알바생분은 조금만 더 침착한 서빙을 하면 좋을듯 ‘어디에 놔드릴까요~?’멘트도 없이 식탁 모서리에 맥주를 탁 놓고 가서 기분 상함,https://place.map.kakao.com/151847027,곱창파는고깃집,삼겹살,3.8,"서울 마포구
",1
1,좋은평가 생각하고 지인들과 갔었는데 서빙직원은 불친절하고 빨리 손님을 내보내려는 느낌이 강했으며 전반적인 고기집 서비스 측면에서 크게 아쉬웠습니다. 인근 거주민으로서 동일 수준 고깃집 대비 비추합니다!! ,https://place.map.kakao.com/151847027,곱창파는고깃집,삼겹살,3.8,"서울 마포구
",0
4,비싸지만 고기는 정말 맛있어요,https://place.map.kakao.com/151847027,곱창파는고깃집,삼겹살,3.8,"서울 마포구
",1
5,고기랑 곱창이 일단 퀄리티가 좋다. 반찬구성도 후하고 식사메뉴의 디테일들이 살아있는데 개인적으로는 밥을 매우 좋아함. 다이어트만 아니면 밥만 두 그릇씩 먹고 싶음.,https://place.map.kakao.com/151847027,곱창파는고깃집,삼겹살,3.8,"서울 마포구
",1
2,사장님은 안계시고 알바들만 있는 듯. 손님들이 들어와도 아는 척도 안하고 몇 번을 주문하려 해도 반응도 없고...음식은 찬도 괜찮고 맛도 좋습니다.,https://place.map.kakao.com/151847027,곱창파는고깃집,삼겹살,3.8,"서울 마포구
",0
3,주인 아저씨 변덕빼고는 안주가 맛남. 위생 좀 신경 쓰시지.ㅜㅜ,https://place.map.kakao.com/16962310,테라스,"호프,요리주점",3.8,"서울 서대문구
",0
3,"추억을 마신다,,,,,, 일요일 쌩맥 1000원을 노려야 함. 청결 살짝 포기^^ㅎ",https://place.map.kakao.com/16962310,테라스,"호프,요리주점",3.8,"서울 서대문구
",0
1,여기 사장님 불친절에 대한 리뷰는 없네요? 사장님인지 매니저이신지 정식이랑 스페셜 메뉴 무슨 차이가 있냐고 여쭤봤는데 제대로 대답을 안해주시더라구요. 그냥 깔리는게 다르데요ㅎㅎ 그리곤 뒤돌아서 들으라는 듯이 궁시렁 거리시더라구요. 또 바로 추가 주문 하려했더니 지금 바쁘다면서 거절하셨습니다(마감까지 4시간 30분 남았었고 테이블은 우리 포함 세 테이블이었습...,https://place.map.kakao.com/16962310,테라스,"호프,요리주점",3.8,"서울 서대문구
",0
4, 사장님 주방실장님 넘 친절하시고 무엇보다 맛있음! 추억의 경양식맛,https://place.map.kakao.com/16962310,테라스,"호프,요리주점",3.8,"서울 서대문구
",1
3,40년 전통의 돈까스안주 ~ 우리 학교 다닐 때는 이게 제일 호사스러운 안주였지 ^^ ,https://place.map.kakao.com/16962310,테라스,"호프,요리주점",3.8,"서울 서대문구
",0
4,과하게 맵지 않게 슬슬 올라오는 중독성 있는 시장 스타일 닭발집으로 고추장 맛이 강하게 느껴진다. 칼국수면을 닭발 소스 볶아 먹거나 조기 튀김을 닭발 소스에 조려먹으면 다른 곳에서는 접하기 힘든 특색있는 맛을 즐길 수 있다. //  카카오맵 맛집 추천 지도 - https://www.photoguraphy.com/?p=3997,https://place.map.kakao.com/15455044,아현닭발,닭요리,4.2,"서울 서대문구
",1
5,인생닭발 1등 연신내에서도 먹고 여기서도 먹고 여기 닭발 이후로 다른 닭발은 다 그저그럼  칼국수 추가해서 면 양념에 섞어먹는거 필수에요,https://place.map.kakao.com/15455044,아현닭발,닭요리,4.2,"서울 서대문구
",1
5,맛은 있지만 알바를 한 명 뽑으셔야할듯.. 콩나물 더 달라고 두번 말씀 드렸지만 조금 기다려달라고 하시고 다시 오신적 없음.. 기본으로 나왔던 콩나물 조금이 끝이었어서 아쉬움,https://place.map.kakao.com/15455044,아현닭발,닭요리,4.2,"서울 서대문구
",1
