personal_star,review,url,title,category,total_star,location,label
3,옆으로 건물 이전하고 맛 바뀜  대짜 탕수육 나오는데 5분도 안걸림ㅋㅋㅋ 걍 만들어 놓은거 퍼준듯ㅋㅋㅋㅋ..  진짜 짬뽕이랑 짜장면 맛 이상해졌어요 밍밍... 건물을 확장 이전하면 뭐하나 주차장은 여전히 없어서 바로 옆에 유료주차해야하는데.... 안가고말지... ,https://place.map.kakao.com/10546066,송죽장,중화요리,2.6,"서울 영등포구
",0
4,난 괜찮았음,https://place.map.kakao.com/10546066,송죽장,중화요리,2.6,"서울 영등포구
",1
1,"몇년전에 바뀐 짬뽕맛에 실망 했는데 오늘 혹시나해서 왔는데 밍밍한 고추물 짬뽕에 다신 오고 싶지 않네요 단무지도 좋은걸 안쓰고, 건물은 새로 올렸네요~",https://place.map.kakao.com/10546066,송죽장,중화요리,2.6,"서울 영등포구
",0
1,얼음물 맛집. 자리도 옮기고 코로나 영향이 있지만 그래도 이건. 15년 단골이라 참아볼라했는데 심하게 안녕.,https://place.map.kakao.com/10546066,송죽장,중화요리,2.6,"서울 영등포구
",0
3,,https://place.map.kakao.com/10546066,송죽장,중화요리,2.6,"서울 영등포구
",0
5,"내 인생 최고의 우삼겹집 진짜 맛있어요 여자둘이서 삼인분 먹었는데 배부르게 먹을 수 있는 양,,, 양 짱많아요 체고,, 다음에 또 갈래ㅐ요",https://place.map.kakao.com/2039301214,승남집,한식,4.7,"서울 영등포구
",1
4,,https://place.map.kakao.com/2039301214,승남집,한식,4.7,"서울 영등포구
",1
5,친절하시고 맛있습니다 최고에요!,https://place.map.kakao.com/2039301214,승남집,한식,4.7,"서울 영등포구
",1
5,카카오맵 평점 믿고서 갔는데 맛있네요!,https://place.map.kakao.com/2039301214,승남집,한식,4.7,"서울 영등포구
",1
4,"친절하고 맛있습니다. 우삼겹 > 꽃살 >>> 삼겹살  단, 만석시 시끄러운 좁은 구조",https://place.map.kakao.com/2039301214,승남집,한식,4.7,"서울 영등포구
",1
4,테이블링하고 들어갑니다 28번째<대기10번> 12시30분였는데 입장13 20분 친절하시고 서비스 좋습니다 간은 약한편입니다 고기양은 많지 않아요 2인분  아내와 먹었네요 껍데기 2장에 공기밥 매콤한 된장찌개(무료) 더하니 양이 차네요 채소 반찬이 풍미를 더하네요 ,https://place.map.kakao.com/12004662,부일갈비,갈비,4.6,"서울 영등포구
",1
5,"평일에도 이제 웨이팅 너무 심해서 못갈듯 ㅠㅠ...  나만 아는 맛집에서 영등표 대표 맛집되서 너무 슬픈집...  맛, 친절 모두 최고!",https://place.map.kakao.com/12004662,부일갈비,갈비,4.6,"서울 영등포구
",1
5,웨이팅 작살나요. 돼지갈비는 맛있는데 솔직히 삼겹살은 그냥 보통입니다. ㅋㅋ 주인 할머니 넘나리 친근. 근데 웨이팅 때문에 다시 갈 엄두는 안납니다...,https://place.map.kakao.com/12004662,부일갈비,갈비,4.6,"서울 영등포구
",1
5,,https://place.map.kakao.com/12004662,부일갈비,갈비,4.6,"서울 영등포구
",1
5,지금까지 먹어본 돼지갈비집 중 원탑,https://place.map.kakao.com/12004662,부일갈비,갈비,4.6,"서울 영등포구
",1
5,,https://place.map.kakao.com/1214126801,하이디라오 영등포점,중식,4.1,"서울 영등포구
",1
4,아쉽게도 세트메뉴는 없어졌다고 하네요ㅠㅠ 가격대는 꽤 있지만 서비스 좋고 맛있어요ㅎㅎ ,https://place.map.kakao.com/1214126801,하이디라오 영등포점,중식,4.1,"서울 영등포구
",1
4,"방문시간대 별 서비스 편차가 큰 편.  평일점심 방문할때 엄청난 서비스에 감동받고 메기살이 이렇게 맛있다고 신세계 느끼고, 느긋하게 소스바 이용할 수 있어서 너무너무 만족함. 하이디라오에 입덕해서 거의 일주일에 한번은 꼭 갔음. 그 뒤로 평일 저녁에 갈땐 웨이팅 있고 소스바에 사람 몰려서 번잡스러움.  주말 저녁은 진짜 갈게못됨ㅋㅋㅋㅋ 웨이팅 1시간 이상이...",https://place.map.kakao.com/1214126801,하이디라오 영등포점,중식,4.1,"서울 영등포구
",1
5,뭐 그냥 내사랑 말할것도 없고!,https://place.map.kakao.com/1214126801,하이디라오 영등포점,중식,4.1,"서울 영등포구
",1
4,메리어트 호텔 투숙하면 접근성 굿 - 22.02.06,https://place.map.kakao.com/1214126801,하이디라오 영등포점,중식,4.1,"서울 영등포구
",1
5,맛있어요 굿 대신 에어컨이 약해서 더워요,https://place.map.kakao.com/12048202,대한옥,설렁탕,3.3,"서울 영등포구
",1
1,친절은 바라지도 않은데 불친절함.  다신안감 ,https://place.map.kakao.com/12048202,대한옥,설렁탕,3.3,"서울 영등포구
",0
1,"가격은 오르고, 직원들 ㅆㄱㅈ없고, 아주 오래전부터 한달3~4번다니던 단골인데 이젠 다신안감ㅋㅋ",https://place.map.kakao.com/12048202,대한옥,설렁탕,3.3,"서울 영등포구
",0
2,진짜 실망 예전에는 진짜 맛있었는데 변했어요 고기도질겨지고 잡내도 심해졌어요,https://place.map.kakao.com/12048202,대한옥,설렁탕,3.3,"서울 영등포구
",0
5,술먹기에 이만한 안주와 분위기도 없음. 살코기가 조금 더 많으면 좋겠다. 화장실이 조금 더 깨끗하면 좋겠다. 근데 이런 감성있는 음식점에 깔끔한 화장실은 또 안 어울리긴하지.,https://place.map.kakao.com/12048202,대한옥,설렁탕,3.3,"서울 영등포구
",1
1,맵고 짜고.. 회냉면 많이 먹어봤는데 여기만큼 짠 집을 못 봄,https://place.map.kakao.com/10643743,함흥냉면,냉면,3.1,"서울 영등포구
",0
5,팀장님께서 사주셔서 회냉면이 1000배 맛있었습니다. ,https://place.map.kakao.com/10643743,함흥냉면,냉면,3.1,"서울 영등포구
",1
5,,https://place.map.kakao.com/10643743,함흥냉면,냉면,3.1,"서울 영등포구
",1
1,,https://place.map.kakao.com/10643743,함흥냉면,냉면,3.1,"서울 영등포구
",0
5, 맛있게 먹었어요~,https://place.map.kakao.com/10643743,함흥냉면,냉면,3.1,"서울 영등포구
",1
2,고기도 겁나비싸고 직원분들 친절하다고 하는데 그것도 별로 양에비해 고기양도적고 머 신선한지도 모르겠고 어떤직원은 직원들끼리 장난치는지 박규를 날리고 있더라구여 보기 안좋았음 평점 높아서 갔더니만 오지게 비싸고 맘에 안듬 평점믿고 가지 마세여  참고로 사진 고기양이 2인분임 ㅋㅋ ,https://place.map.kakao.com/27477443,마굿간생고기,"육류,고기",4.0,"서울 영등포구
",0
1,"직원분들 모두 친절하시고 고기질 좋고 굉장히 잘 구워주십니다. 진짜 입에서 살살 녹고 감칠맛이 돌아 다시 생각날 정도에요. 그래서 자주 다녔습니다. 근데 오늘은 너무 하네요 1인분 150g 이거 맞아요?? 왼쪽 사진은 몇달전에 먹었던 삼겹살 2인분이고 오른쪽 사진은 최근에 먹은 목살 1인분, 삼겹살 1인분 사진입니다. 처음에는 그냥 그런가보다 하고 먹었는데...",https://place.map.kakao.com/27477443,마굿간생고기,"육류,고기",4.0,"서울 영등포구
",0
1,고기에서 냄새나요.,https://place.map.kakao.com/27477443,마굿간생고기,"육류,고기",4.0,"서울 영등포구
",0
5,"직원 분 완전 친절하구 고기도 짱 맛있어요ㅠ  직접 구워주시고 설명도 이것저것 해주시는데 갬동,, 다음에 또 오고싶은 맛이에요  만족합니다!!",https://place.map.kakao.com/27477443,마굿간생고기,"육류,고기",4.0,"서울 영등포구
",1
3,"고기 질 좋고, 가격대비 구워주시는 점도 좋으나 1) 김치가 너무 밍밍(=안익은 김치라 구워도 남는 아쉬움) 2) 와사비나 젓갈 등 반찬이 다소 저렴이한 느낌 3) No 볶음밥",https://place.map.kakao.com/27477443,마굿간생고기,"육류,고기",4.0,"서울 영등포구
",0
5,"리뷰보면 짜다는 평도 많지만, 제가 쪼금 짜게 먹는걸 좋아해서 저는 맛있게 먹었습니다.",https://place.map.kakao.com/1808171777,3일한우국밥,국밥,3.6,"서울 영등포구
",1
5,"클,,,리어,,,,,,  국물까지 다 먹음 자주 가는 집이지만 오늘따라 진짜 맛있다,, 해장에 최고",https://place.map.kakao.com/1808171777,3일한우국밥,국밥,3.6,"서울 영등포구
",1
4,국밥 맛있어요!!!!!!,https://place.map.kakao.com/1808171777,3일한우국밥,국밥,3.6,"서울 영등포구
",1
4,한우국밥 만원. 국밥치고는 조금 부담스러운 가격이라 차라리 수입육이나 2등급 사용해서 가격을 낮춰주면 감사하겠지만 어디까지나 개인 생각.  국밥은 장터국밥이나 소고기 장국이라고 부르는 그것이다. 아마도 양지에 우거지와 무를 넣어 끓인 빨간 국물. 어떻게해도 맛없게 끓이기 힘든 음식이지만 그중에서도 만족스러웠다.  가장 문제가 되는 것은 2022년 현재 소주...,https://place.map.kakao.com/1808171777,3일한우국밥,국밥,3.6,"서울 영등포구
",1
5,전 너무 맛있게먹었는데요,https://place.map.kakao.com/1808171777,3일한우국밥,국밥,3.6,"서울 영등포구
",1
4,담백함 맛있음 사람 많음,https://place.map.kakao.com/26089360,오월의종 타임스퀘어점,"제과,베이커리",3.5,"서울 영등포구
",1
3,,https://place.map.kakao.com/26089360,오월의종 타임스퀘어점,"제과,베이커리",3.5,"서울 영등포구
",0
5,"호밀무화과, 콘어니언치아바타, 크랜베리바게뜨, 오렌지호밀파운드(?) 사먹었는데 호밀무화과, 크랜베리바게트 존맛  평소 단짠자극적인 맛을 좋아해서 이런 빵은 잘 안사먹는데.. 계속 손이 가네요",https://place.map.kakao.com/26089360,오월의종 타임스퀘어점,"제과,베이커리",3.5,"서울 영등포구
",1
3,빵 크기나 구성은 좋아요. 하지만 맛이나 종류는 기대를 하고 찾아갈만한 곳은 아닌 것 같아요,https://place.map.kakao.com/26089360,오월의종 타임스퀘어점,"제과,베이커리",3.5,"서울 영등포구
",0
3,커피리브레 특유의 신맛이 약해요 ,https://place.map.kakao.com/26089360,오월의종 타임스퀘어점,"제과,베이커리",3.5,"서울 영등포구
",0
5,양많고 친절하고 가성비 굳..,https://place.map.kakao.com/26576095,삼해집 영등포점,"족발,보쌈",3.2,"서울 영등포구
",1
1,"굴보쌈 중으로 주문했는데 굴이랑 고기양이 많이 차이나네요 저희 뒤 테이블에도 똑같은 중인데 양이 다르고 블로그 후기마다 소, 중마다 양이 다 차이나네요 이건 맛을 떠나서 기분이 별로 좋지 않고 다신 안올거같네요 가게에 말은 했은데 이모님들이 갯수를 세서 나간다고 합니다 진짠지 모르겠지만,,두번 다신 안갈거같네요 별점 1점도 아깝습니다",https://place.map.kakao.com/26576095,삼해집 영등포점,"족발,보쌈",3.2,"서울 영등포구
",0
4,고기가 야들야들,https://place.map.kakao.com/26576095,삼해집 영등포점,"족발,보쌈",3.2,"서울 영등포구
",1
3,,https://place.map.kakao.com/26576095,삼해집 영등포점,"족발,보쌈",3.2,"서울 영등포구
",0
5,굴 엄청 신선하고 보쌈도 야들야들하고 저 뼈있는부분 싫어하는데 여기 보쌈은 뼈도 야들야들해서 다 먹음요!!!!! 김치 배추 부분 더 많이 주시면 더 잘 먹었을듯한데 일단 기본반찬으로 감자탕이 나오길래 놀람!!!!!! 가성비+맛 다 잡음,https://place.map.kakao.com/26576095,삼해집 영등포점,"족발,보쌈",3.2,"서울 영등포구
",1
5,언제 가도 맛있는 곳! 너무 시끄러운 건 아쉽지만 그래도 좋아요 =),https://place.map.kakao.com/12354234,여로집 본관,"해물,생선",2.4,"서울 영등포구
",1
3,매운걸 좋아하시는분은 아주 맛있게 드실수있을듯해요 넘넘 매웠어요 전... 근데 오징어순대는 존맛!! 강추,https://place.map.kakao.com/12354234,여로집 본관,"해물,생선",2.4,"서울 영등포구
",0
4,맛은 개인적으로 가본 오징어집 중 최고.. 다만 역시 리뷰대로 불친절(무심함) 무심한거 괜찮으면 가볼만해요,https://place.map.kakao.com/12354234,여로집 본관,"해물,생선",2.4,"서울 영등포구
",1
1,너무 친절해요~!!! 친절함 끝판왕 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://place.map.kakao.com/12354234,여로집 본관,"해물,생선",2.4,"서울 영등포구
",0
1,"최악이다.  불친절은 기본이요, 맛도없다",https://place.map.kakao.com/12354234,여로집 본관,"해물,생선",2.4,"서울 영등포구
",0
5,"국내서 제대로 된 인도, 네팔 음식을 여기서 먹어봤습니다. 인도 음식 마니아라면 꼭 가보시길",https://place.map.kakao.com/9906706,에베레스트 영등포점,인도음식,3.9,"서울 영등포구
",1
2,먹을만합니다,https://place.map.kakao.com/9906706,에베레스트 영등포점,인도음식,3.9,"서울 영등포구
",0
