personal_star,review,url,title,category,total_star,location,label
4,,https://place.map.kakao.com/1833059878,광고을지로양대장,"곱창,막창",4.8,"서울 중구
",1
5,을지로의 자랑 ,https://place.map.kakao.com/1833059878,광고을지로양대장,"곱창,막창",4.8,"서울 중구
",1
5,진짜 맛있어요... 내장류가 이렇게 냄새 안나는 곳은 첨이에요!! 그리고 양밥(볶음밥)은 대창 시킬때 같이시캬서 같이 먹는게 더 맛있어요!! ,https://place.map.kakao.com/1833059878,광고을지로양대장,"곱창,막창",4.8,"서울 중구
",1
5,어제 목요일인데도 사람이 많아서 한 시간 웨이팅 했는데 기다릴만한 가치가 있는 맛이었습니다 이렇게 맛있는 염통은 처음 먹어봤어요 흑 대창도 jmt 그리고 사장님 친철함은 덤인가요 쏘 스윗.. :) 덕분에 기분좋게 먹고 갔네요 날 풀리면 다시 먹으러 갈게요 :),https://place.map.kakao.com/1833059878,광고을지로양대장,"곱창,막창",4.8,"서울 중구
",1
5,,https://place.map.kakao.com/1833059878,광고을지로양대장,"곱창,막창",4.8,"서울 중구
",1
1,,https://place.map.kakao.com/8332362,원조만선호프 노가리체인본점,"호프,요리주점",1.5,"서울 중구
",0
1,,https://place.map.kakao.com/8332362,원조만선호프 노가리체인본점,"호프,요리주점",1.5,"서울 중구
",0
1,,https://place.map.kakao.com/8332362,원조만선호프 노가리체인본점,"호프,요리주점",1.5,"서울 중구
",0
1,,https://place.map.kakao.com/8332362,원조만선호프 노가리체인본점,"호프,요리주점",1.5,"서울 중구
",0
1,#만선호프불매 찾아보세요,https://place.map.kakao.com/8332362,원조만선호프 노가리체인본점,"호프,요리주점",1.5,"서울 중구
",0
5,,https://place.map.kakao.com/8043030,을지면옥,냉면,3.7,"서울 중구
",1
4,,https://place.map.kakao.com/8043030,을지면옥,냉면,3.7,"서울 중구
",1
5,이 나라 최고 평양냉면집,https://place.map.kakao.com/8043030,을지면옥,냉면,3.7,"서울 중구
",1
3,평양냉면 먹었던 곳 중에 국물맛에서 고기맛이 들나구 짭잘하고 면향이 많이나서 좋았어요  하지만 평양냉면 자체가 저한텐 어렵네요ㅠ,https://place.map.kakao.com/8043030,을지면옥,냉면,3.7,"서울 중구
",0
2,맛은..그냥저냥 고기값도 가격에 비해 매우비쌈. ,https://place.map.kakao.com/8043030,을지면옥,냉면,3.7,"서울 중구
",0
5,굿굿 메뉴판에 추천인가? 뭘로 되어임ㅅ엇던거 다 맛있음 시간 잘못맞추면 웨이팅합니다,https://place.map.kakao.com/378913911,을지다락,양식,3.9,"서울 중구
",1
4,2년전 동생이랑 방문후 오랜만에 재방문. 여전히 손님도 많고 변함없이 맛있어서 좋았습니다. 간은 좀 쎄진듯 한데... 그래도 맛있게 먹고 왔습니다. 메인은 오므라이스랑 크림 파스타인데 개인적으로 가츠샌드가 너무 맛있다는...깻잎 파스타도 은근 후추?의 매운맛. 간이 너무쎈거만 아쉬울뿐 그래도 기회있다면 다시 방문하고싶다,https://place.map.kakao.com/378913911,을지다락,양식,3.9,"서울 중구
",1
5,,https://place.map.kakao.com/378913911,을지다락,양식,3.9,"서울 중구
",1
5,,https://place.map.kakao.com/378913911,을지다락,양식,3.9,"서울 중구
",1
5,대존맛 사랑해요,https://place.map.kakao.com/378913911,을지다락,양식,3.9,"서울 중구
",1
4,"돈토로, 호르몬동 둘다 엄청 맛있게 먹었어요  다만 가격이 구성에 비해 좀 비싼 감이 있어서 아쉬운?",https://place.map.kakao.com/2029456983,진작,퓨전일식,3.7,"서울 중구
",1
3,그냥..예쁘고 맛있는데요..창열이에오..,https://place.map.kakao.com/2029456983,진작,퓨전일식,3.7,"서울 중구
",0
5,고추 빼고 드세요 매워요,https://place.map.kakao.com/2029456983,진작,퓨전일식,3.7,"서울 중구
",1
5,친구 추천으로 방문. 가격대 대비 음식 깔끔하게 잘나오고 맛도 있음. 만족~,https://place.map.kakao.com/2029456983,진작,퓨전일식,3.7,"서울 중구
",1
1,후토마끼는 그냥 김밥 맛이던데.... 대창덮밥 옆에 나오는 국물은 김치찌개인가요... 줄서서 먹을정도는 절대 아닙니다. 가성비 맛 모두 별로.,https://place.map.kakao.com/2029456983,진작,퓨전일식,3.7,"서울 중구
",0
4,,https://place.map.kakao.com/10582837,안동장,중화요리,3.3,"서울 중구
",1
1,맛X,https://place.map.kakao.com/10582837,안동장,중화요리,3.3,"서울 중구
",0
1,0점 주고싶다 말 못알아듣는 중국인 직원에 개시끄럽고 ♩♩♬ 짜다,https://place.map.kakao.com/10582837,안동장,중화요리,3.3,"서울 중구
",0
5,중화요리하면 가장 먼저 떠오르는 곳.  ,https://place.map.kakao.com/10582837,안동장,중화요리,3.3,"서울 중구
",1
5,,https://place.map.kakao.com/10582837,안동장,중화요리,3.3,"서울 중구
",1
