personal_star,review,url,title,category,total_star,location,label
3,닭육수의 순백함을 망가트리긴 싫지만 외도하고 싶을 때 가끔. 맛은 소소. ,https://place.map.kakao.com/25018686,광고계림마늘닭 충무로점,닭요리,3.3,"서울 중구
",0
4,닭도리탕 땡길 때 굿,https://place.map.kakao.com/25018686,광고계림마늘닭 충무로점,닭요리,3.3,"서울 중구
",1
2,솔직히 맛없어요. ,https://place.map.kakao.com/25018686,광고계림마늘닭 충무로점,닭요리,3.3,"서울 중구
",0
5,맛도 좋고 양도 많이줌ㅎㅎ,https://place.map.kakao.com/25018686,광고계림마늘닭 충무로점,닭요리,3.3,"서울 중구
",1
5,"여기는...떡이 진또임.. 굳이 떡사리 추가 안해도 무슨 떡볶이마냥 떡 짱마늠 물론 닭도 많구~,~ 담엔 칼국수 사리를 추가해서 먹어보아야겠당",https://place.map.kakao.com/25018686,광고계림마늘닭 충무로점,닭요리,3.3,"서울 중구
",1
5,의정부 평양면옥의 맏딸이 창업한 의정부계열 평냉답게 맑은 육수에 고춧가루 슬쩍 무심코 흩뿌려져 나오는데 돼지와 소의 편육을 각 한점씩 살포시 포개어져 올려내온 것 처럼 둘의 조합이 은은한 육향과 함께 조화로운 감칠맛이 좋았고 첫 맛은 슴슴한 듯 해도 오래도록 여운을 이어나가는 깊은 매력이 있다. 다소 얇은 면발은 메밀향보다는 전분의 쫄깃함 쪽에 좀더 무게감...,https://place.map.kakao.com/11231325,필동면옥,냉면,3.7,"서울 중구
",1
5,"필동면옥을 가격이나 싸가지로 깎아 내리다니 ㅎㅎ   그러기엔 매번 한그릇 한그릇이 너무 훌륭한 경험임.   이 맛을 알 줄 모르는 사람, 심지어 가격따위로 깎아 내리는 사람을 안타까움…  맛을 모르니… ",https://place.map.kakao.com/11231325,필동면옥,냉면,3.7,"서울 중구
",1
5,죽기 전에 마지막으로 먹고 싶은 음식이 뭐냐고 물으면 단연코 필동면옥 평양냉면!,https://place.map.kakao.com/11231325,필동면옥,냉면,3.7,"서울 중구
",1
1,맛에 비해 너무 비싼듯,https://place.map.kakao.com/11231325,필동면옥,냉면,3.7,"서울 중구
",0
4,육수랑 면이랑 조화가 좋습니다.,https://place.map.kakao.com/11231325,필동면옥,냉면,3.7,"서울 중구
",1
5,굿굿 메뉴판에 추천인가? 뭘로 되어임ㅅ엇던거 다 맛있음 시간 잘못맞추면 웨이팅합니다,https://place.map.kakao.com/378913911,을지다락,양식,3.9,"서울 중구
",1
4,2년전 동생이랑 방문후 오랜만에 재방문. 여전히 손님도 많고 변함없이 맛있어서 좋았습니다. 간은 좀 쎄진듯 한데... 그래도 맛있게 먹고 왔습니다. 메인은 오므라이스랑 크림 파스타인데 개인적으로 가츠샌드가 너무 맛있다는...깻잎 파스타도 은근 후추?의 매운맛. 간이 너무쎈거만 아쉬울뿐 그래도 기회있다면 다시 방문하고싶다,https://place.map.kakao.com/378913911,을지다락,양식,3.9,"서울 중구
",1
5,,https://place.map.kakao.com/378913911,을지다락,양식,3.9,"서울 중구
",1
5,,https://place.map.kakao.com/378913911,을지다락,양식,3.9,"서울 중구
",1
5,대존맛 사랑해요,https://place.map.kakao.com/378913911,을지다락,양식,3.9,"서울 중구
",1
5,best of best. 살 발라서 밥이랑 말면 훌훌 잘도 넘어갑니다.  국물이 일품.,https://place.map.kakao.com/7919722,사랑방칼국수,국수,4.1,"서울 중구
",1
5,,https://place.map.kakao.com/7919722,사랑방칼국수,국수,4.1,"서울 중구
",1
4,매달 첫째주 일요일 휴무….. 1분동안 모르고 오셨다가 돌아가시는 분들 한 10명은 됐음,https://place.map.kakao.com/7919722,사랑방칼국수,국수,4.1,"서울 중구
",1
5,가격 맛 모든 면에서 최고. ,https://place.map.kakao.com/7919722,사랑방칼국수,국수,4.1,"서울 중구
",1
4,가성비굳 백반 칼국수 다 맛있음 김치맛집 집근처면 자주올듯 양 적은 나는 백반1 칼국수1,https://place.map.kakao.com/7919722,사랑방칼국수,국수,4.1,"서울 중구
",1
4,"돈토로, 호르몬동 둘다 엄청 맛있게 먹었어요  다만 가격이 구성에 비해 좀 비싼 감이 있어서 아쉬운?",https://place.map.kakao.com/2029456983,진작,퓨전일식,3.7,"서울 중구
",1
3,그냥..예쁘고 맛있는데요..창열이에오..,https://place.map.kakao.com/2029456983,진작,퓨전일식,3.7,"서울 중구
",0
5,고추 빼고 드세요 매워요,https://place.map.kakao.com/2029456983,진작,퓨전일식,3.7,"서울 중구
",1
5,친구 추천으로 방문. 가격대 대비 음식 깔끔하게 잘나오고 맛도 있음. 만족~,https://place.map.kakao.com/2029456983,진작,퓨전일식,3.7,"서울 중구
",1
1,후토마끼는 그냥 김밥 맛이던데.... 대창덮밥 옆에 나오는 국물은 김치찌개인가요... 줄서서 먹을정도는 절대 아닙니다. 가성비 맛 모두 별로.,https://place.map.kakao.com/2029456983,진작,퓨전일식,3.7,"서울 중구
",0
5,맛있어요. 종종 생각날것 같은 맛 !!!,https://place.map.kakao.com/8082703,충무로쭈꾸미불고기 본점,한식,3.3,"서울 중구
",1
5,주기적으로 방문하고 있습니다.,https://place.map.kakao.com/8082703,충무로쭈꾸미불고기 본점,한식,3.3,"서울 중구
",1
5,충무로 핫플. 전설. 레전드.,https://place.map.kakao.com/8082703,충무로쭈꾸미불고기 본점,한식,3.3,"서울 중구
",1
5,구관이 명관 진정한 명불허전,https://place.map.kakao.com/8082703,충무로쭈꾸미불고기 본점,한식,3.3,"서울 중구
",1
4,쭈꾸미 키조개 볶음밥 된장찌개 다 존맛... 쭈꾸미랑 키조개가 진짜 연하고 양념이 진짜 맛있음 숯불냄새도 배서 더 맛남... 볶음밥은 좀 다른 양념인데 이것도 진짜 맛있고 잘어울림 양념을 넘 맛있게 만드는듯,https://place.map.kakao.com/8082703,충무로쭈꾸미불고기 본점,한식,3.3,"서울 중구
",1
5,"노포집 같은 분위기가 좋고, 맛도 너무 좋음 닭곰탕 국물 서비스로 주시고 리필도 됨",https://place.map.kakao.com/12751485,황평집,닭요리,4.1,"서울 중구
",1
1,제발 가지마세요  젊은 여자들한테만 뭐라하는 가게에요  아저씨들한테는 뭐라안하고 여자테이블에만 시끄럽다고 말해요  아저씨들 목소리가 더 큰데... 닭무침도 별로라 거의 남겼어요 다른데가세요 제발,https://place.map.kakao.com/12751485,황평집,닭요리,4.1,"서울 중구
",0
5,닭무침 너무 맛있고 곰탕국물도 끝내줌! 거의 2년만에 가서 드디어 닭찜도 먹어봄!,https://place.map.kakao.com/12751485,황평집,닭요리,4.1,"서울 중구
",1
