personal_star,review,url,title,category,total_star,location,label
5,돈 값 하는 맛과 서비스라고 생각합니다 홍대점만 3번 넘게 방문했지만 항상 만족스러워요!,https://place.map.kakao.com/1622865435,하이디라오 홍대지점,중화요리,4.0,"서울 마포구
",1
5,서비스도 넘 좋고 맛있네요. 따로 말씀 안드려도 중간중간에 테이블에 휴지 그릇 치워주셔서 좋았어요.,https://place.map.kakao.com/1622865435,하이디라오 홍대지점,중화요리,4.0,"서울 마포구
",1
5,,https://place.map.kakao.com/1622865435,하이디라오 홍대지점,중화요리,4.0,"서울 마포구
",1
4,쥰내맛있음 ….. 소스 극락으로 만들면 극락이에요,https://place.map.kakao.com/1622865435,하이디라오 홍대지점,중화요리,4.0,"서울 마포구
",1
5,"굿뜨, 맛있어요",https://place.map.kakao.com/1622865435,하이디라오 홍대지점,중화요리,4.0,"서울 마포구
",1
5,,https://place.map.kakao.com/892514586,감성타코 홍대점,"멕시칸,브라질",3.3,"서울 마포구
",1
4,찾았다,https://place.map.kakao.com/892514586,감성타코 홍대점,"멕시칸,브라질",3.3,"서울 마포구
",1
5,너무 맛있어요ㅠㅠ 파히타최고 몇번 더 갔을때 물건 잃어버린거같아서 전화드렸는데 엄청 친절하게 여러 번 찾아봐주셨어요! ,https://place.map.kakao.com/892514586,감성타코 홍대점,"멕시칸,브라질",3.3,"서울 마포구
",1
5,타코는 감성있게 즐기자.,https://place.map.kakao.com/892514586,감성타코 홍대점,"멕시칸,브라질",3.3,"서울 마포구
",1
5,저는 개인적으로 맛있게 먹었어요 ! 확실히 체인이라 그런지 가격도 양도 적당하다고 생각해요 :-) 음악이 조금 크다는 의견에는 동의하지만 말씀드렸더니 줄여주시더라고요 ㅎㅎ 다음에도 갈 의사 있습니당~,https://place.map.kakao.com/892514586,감성타코 홍대점,"멕시칸,브라질",3.3,"서울 마포구
",1
5,"모든것이 완벽했습니다. 미역우동,냉우동,붓가께,튀김까지…. 특히 어묵튀김, 정말 맛났어요! 홍대들르면 최상위 선택지에 두어야 할 식당입니다. 웨이팅이 좀 있기는 하나 메뉴 특성상 회전이 빠릅니다. ",https://place.map.kakao.com/13337463,가미우동,"돈까스,우동",4.4,"서울 마포구
",1
5,,https://place.map.kakao.com/13337463,가미우동,"돈까스,우동",4.4,"서울 마포구
",1
5,"홍대 올때마다 먹고싶을정도로 맛있어요.. 우동을 진짜 좋아하는데, 여기보다 맛있는 우동 한국에선 아직까진 먹어본적이 없네요..ㅠ 진짜 제 최애 우동집입니다",https://place.map.kakao.com/13337463,가미우동,"돈까스,우동",4.4,"서울 마포구
",1
5,,https://place.map.kakao.com/13337463,가미우동,"돈까스,우동",4.4,"서울 마포구
",1
5,,https://place.map.kakao.com/13337463,가미우동,"돈까스,우동",4.4,"서울 마포구
",1
5,,https://place.map.kakao.com/308342289,연남토마 본점,퓨전일식,3.5,"서울 마포구
",1
1,진짜... 사케동 시켰는데 연어 비린내 개쩔었음........... 먹는거 좋아해서 엥간한 맛이면 안남기고 잘먹는데 남겼음. 할라피뇨로 입헹굼ㅋㅋ,https://place.map.kakao.com/308342289,연남토마 본점,퓨전일식,3.5,"서울 마포구
",0
4,가성비 좋다는 생각은 안 나요,https://place.map.kakao.com/308342289,연남토마 본점,퓨전일식,3.5,"서울 마포구
",1
1,와사비 너무 많아요... 먹다 눈물나서 남깁니다. 가격도 너무 비쌈 양에 비해 좀 그래요.. 대신 인테리어는 강추입니다.,https://place.map.kakao.com/308342289,연남토마 본점,퓨전일식,3.5,"서울 마포구
",0
1,크림파스타 수준 최악,https://place.map.kakao.com/308342289,연남토마 본점,퓨전일식,3.5,"서울 마포구
",0
3,,https://place.map.kakao.com/23634722,1984,북카페,3.6,"서울 마포구
",0
5,아아 되게 맛있어요 여러번 와봤는데 올때마다 분위기가 다른거같아요. 조용할땐 조용하고 시끄러울땐 시끄럽고. 아쉬운건 여럿이서 같이 일하기엔 낮은 탁자가 많아요! 혼자서 일하기엔 딱 좋아요 ㅎㅎ,https://place.map.kakao.com/23634722,1984,북카페,3.6,"서울 마포구
",1
1,"1점도 주기 아깝네요 사장님. 금일 방문 하였습니다. 친구 세명이랑 갔는데 테라스 4인테이블에 셋이 앉아있었는데 안에 자리가 없던것도 아니고, 사장님 지인으로 보이시는분 앉힐려고 저희를 내쫒으셨더군요? 기분 진짜 나빴어요. 2인1테이블 이라면서 좁은 자리에 의자 갖다 주고는 ( 테이블이랑 높이가 맞지도 않는 불편한 플라스틱 의자) 그냥 나몰라라;;; 장사 ...",https://place.map.kakao.com/23634722,1984,북카페,3.6,"서울 마포구
",0
1,"6인 테이블에 커플 두명 앉아있는 곳도있는데 그곳은 가만히 놔두고, 테라스 4인 테이블에 친구 셋이서 앉아있는데 4인테이블이라 앉으면 안된다고 2인 테이블에 의자 가져다 줄 테니 셋이 앉으라고 하더니 테라스 자리에 지 지인데려와서 앉혀놓고 서비스엄청 주더라구요 ㅋㅋㅋ 그냥 솔찍하게 지인 테라스 앉혀주고 싶다고 말을 하시던가요 ㅋㅋㅋ 그리고 상식적으로 생각해...",https://place.map.kakao.com/23634722,1984,북카페,3.6,"서울 마포구
",0
5,"분위기 좋고 노트북하기 좋은카페, 커피 맛있음",https://place.map.kakao.com/23634722,1984,북카페,3.6,"서울 마포구
",1
5,여성 직원분이 넘 착하시고 국물은 좀 시간을 두고 끓이면 국물이 진하게 변해서 진짜 고기 다 먹고 거기다가 남은 채소랑 해서 밥비벼 먹으면 ㅠㅠ 흑흑  아무튼 넘 마시써요,https://place.map.kakao.com/813150217,연남물갈비,갈비,3.9,"서울 마포구
",1
4,넘 마시써요 웨이팅 기다리다지쳐,https://place.map.kakao.com/813150217,연남물갈비,갈비,3.9,"서울 마포구
",1
4,보는 재미가 있었던... 마지막 볶음밥 더 시킬걸 개후회중 5개월째,https://place.map.kakao.com/813150217,연남물갈비,갈비,3.9,"서울 마포구
",1
1,알바 교육좀.. 후.......... 광고 잘해서 사람 많은 케이스 정말x10000000 맛없으니 맛있는 밥 먹고 싶은 사람은 딴데 가세요,https://place.map.kakao.com/813150217,연남물갈비,갈비,3.9,"서울 마포구
",0
4,,https://place.map.kakao.com/813150217,연남물갈비,갈비,3.9,"서울 마포구
",1
5,"지금은 없어진 명동점과 현재까지 운영 중인 대학로점, 강남점 그리고 홍대본점까지 스탬프를 찍고 또 찍으면서 다닌 나의 20대의 시간이 고스란히 담긴 정말이지 ""추억""의 맛집. 착한 가격과 더불어서 너무나 훌륭한 맛까지. 크림소스 파스타는 꼭 드셔보시기를!",https://place.map.kakao.com/8123221,프리모바치오바치 홍대본점,이탈리안,3.5,"서울 마포구
",1
5,알바생이 잘생겨떠요,https://place.map.kakao.com/8123221,프리모바치오바치 홍대본점,이탈리안,3.5,"서울 마포구
",1
5,홍대 파스타 맛집,https://place.map.kakao.com/8123221,프리모바치오바치 홍대본점,이탈리안,3.5,"서울 마포구
",1
3,,https://place.map.kakao.com/8123221,프리모바치오바치 홍대본점,이탈리안,3.5,"서울 마포구
",0
1,여자 직원분 너무 표정이 안좋아서 제가 뭐 잘못한줄 …,https://place.map.kakao.com/8123221,프리모바치오바치 홍대본점,이탈리안,3.5,"서울 마포구
",0
4,한번쯤 가볼만한 곳 재방문은 모르겠음,https://place.map.kakao.com/53292857,943킹스크로스,카페,3.6,"서울 마포구
",1
3,음료 가격이 비쌈 = 음료 + 입장료 지하가 취저,https://place.map.kakao.com/53292857,943킹스크로스,카페,3.6,"서울 마포구
",0
5,저번에 왔을때랑 메뉴가 달라져서 고민하다가 먹었는데 나름 괜찮?,https://place.map.kakao.com/53292857,943킹스크로스,카페,3.6,"서울 마포구
",1
2,비싸기만하고 맛이 없어요...,https://place.map.kakao.com/53292857,943킹스크로스,카페,3.6,"서울 마포구
",0
1,1.다시키고 사진찍고있는데 시키고들어가라고 남자분여자분 엄청 소리지름(사장님들 파이터들임) 2.음료도 만들어놓은 베이스로 쓰신다는데 노맛.다남김 3.뭐좀물어보면서 주문하는데 싸울기세임(살짝쫄음) 4.그리고 히터안틈 너무추움 추워서 일찍 나감(리뷰보고 가지말걸ㅠ),https://place.map.kakao.com/53292857,943킹스크로스,카페,3.6,"서울 마포구
",0
5,직원분들 친절 하시고 음식도 맛있어요!!,https://place.map.kakao.com/965893653,중화복춘,중화요리,4.0,"서울 마포구
",1
5,,https://place.map.kakao.com/965893653,중화복춘,중화요리,4.0,"서울 마포구
",1
5,눈도 즐겁고 입도 즐거워요 플레이팅이 예쁘고 맛있어요,https://place.map.kakao.com/965893653,중화복춘,중화요리,4.0,"서울 마포구
",1
5,인생 중국집 이라고 말해도 될정도의  퀄리티랑 맛도 그렇고 음식도 너무 정갈하게 잘나오네요!!맛있어요,https://place.map.kakao.com/965893653,중화복춘,중화요리,4.0,"서울 마포구
",1
5,매장이 깔끔하고 음식맛도 너무 좋아요!,https://place.map.kakao.com/965893653,중화복춘,중화요리,4.0,"서울 마포구
",1
3,맛은 평범했다.  카운터석으로 재방문해보고 싶어요.  또 올만하다는 얘기.  그러나 웨이팅 할 정도인가 하면 모르겠는. ,https://place.map.kakao.com/400281849,우와 홍대본점,철판요리,3.5,"서울 마포구
",0
2,일식 철판요리 맛집,https://place.map.kakao.com/400281849,우와 홍대본점,철판요리,3.5,"서울 마포구
",0
4,여태 성공한 인스타 맛집탕방은 여기뿐임,https://place.map.kakao.com/400281849,우와 홍대본점,철판요리,3.5,"서울 마포구
",1
4,"일식 철판요리 맛집. 줄이 길지만, 강추요 ^~^",https://place.map.kakao.com/400281849,우와 홍대본점,철판요리,3.5,"서울 마포구
",1
5,줄서는식당 오꼬노미야끼 맛집,https://place.map.kakao.com/400281849,우와 홍대본점,철판요리,3.5,"서울 마포구
",1
3,컨셉은 독특하지만 오래 머물 수 있는 분위기는 아니에요 ㅋㅋ 그래도 한 번쯤은 가볼만하다고 생각합니다,https://place.map.kakao.com/1736742094,마녀주방 홍대점,양식,4.2,"서울 마포구
",0
4,가격이 가볍게 마시기 좋은곳,https://place.map.kakao.com/1736742094,마녀주방 홍대점,양식,4.2,"서울 마포구
",1
1,옛날에 갔었는데 엄청 평범한 집이 컨셉질한다고 보시면 됩니다 주변이랑 비교하면 굳이 갈만하진 않아요  2~3점 주려다 댓글알바 쓰는 것 같아서 1점 줌,https://place.map.kakao.com/1736742094,마녀주방 홍대점,양식,4.2,"서울 마포구
",0
4,음식도 맛있고 분위기나 인테리어도 가볍게 가기에 좋았어요!,https://place.map.kakao.com/1736742094,마녀주방 홍대점,양식,4.2,"서울 마포구
",1
3,굿굿,https://place.map.kakao.com/1736742094,마녀주방 홍대점,양식,4.2,"서울 마포구
",0
4,알바분들 친절함은 없지만 맛은 맛나요. 또떡 가만안둬,https://place.map.kakao.com/1463316899,또보겠지떡볶이 해피토스점,떡볶이,3.9,"서울 마포구
",1
5,2명이간다-떡볶이 버갈2 3명이 간다-떡볶이 버갈3 버갈영원하라,https://place.map.kakao.com/1463316899,또보겠지떡볶이 해피토스점,떡볶이,3.9,"서울 마포구
",1
