"","personal_star","review","url","title","category","total_star","location","label"
"0","3","","https://place.map.kakao.com/11190567","뽕나무쟁이 선릉본점","족발,보쌈","4.1","서울 강남구
","0"
"1","4","족발 최고. 양념이 더 맛있어요. ","https://place.map.kakao.com/11190567","뽕나무쟁이 선릉본점","족발,보쌈","4.1","서울 강남구
","1"
"2","5","저녁에 퇴근한 선릉 직장인들 다 여기있는듯 ","https://place.map.kakao.com/11190567","뽕나무쟁이 선릉본점","족발,보쌈","4.1","서울 강남구
","1"
"3","2","와 이렇게 변할 수 있을까 ㅡ?  예전에 그 맛있고 쫀득한 식감   다 사라지고 최근에  그냥 그냥 그저 그런 족발집으로 순식간에 변했다   그 많던 손님들도 발 끊기고 ㅠㅠ  가격만 올리지 말고 반성 좀 합시다   예전에 그 맛있는 족발 기대하고   갔었는데 ㅠㅠ  ","https://place.map.kakao.com/11190567","뽕나무쟁이 선릉본점","족발,보쌈","4.1","서울 강남구
","0"
"4","5","족발이 부드러움","https://place.map.kakao.com/11190567","뽕나무쟁이 선릉본점","족발,보쌈","4.1","서울 강남구
","1"
"5","3","","https://place.map.kakao.com/17163273","농민백암순대 본점","국밥","4.3","서울 강남구
","0"
"6","4","","https://place.map.kakao.com/17163273","농민백암순대 본점","국밥","4.3","서울 강남구
","1"
"7","5","테이블링 이런거 없어요 오자마자 벽 한 쪽에 인원 쓰고 대기해야함 본관 별관 각각 대기하고요 따로따로임 현관문 근처에 대기쓰기판이 있어요   먹는 돼지국밥에는 냄새안나는데 부엌에서 잡내가 느껴질때가 있어요 고기가 야들야들 부들부들 미쳤어요 녹아요  팁에서 매운거 저거 양념 덜고 먹으래서 그렇게 먹으니까 안 짜고 좋아요 추천","https://place.map.kakao.com/17163273","농민백암순대 본점","국밥","4.3","서울 강남구
","1"
"8","5","고기 양이 푸짐하고 정말 맛있어요   ","https://place.map.kakao.com/17163273","농민백암순대 본점","국밥","4.3","서울 강남구
","1"
"9","5","","https://place.map.kakao.com/17163273","농민백암순대 본점","국밥","4.3","서울 강남구
","1"
"10","4","적당한 퀄리티의 안심과 채끝 ","https://place.map.kakao.com/21306153","경천애인2237 삼성본점","육류,고기","4.1","서울 강남구
","1"
"11","4","","https://place.map.kakao.com/21306153","경천애인2237 삼성본점","육류,고기","4.1","서울 강남구
","1"
"12","4","","https://place.map.kakao.com/21306153","경천애인2237 삼성본점","육류,고기","4.1","서울 강남구
","1"
"13","5","육회비빔빕 미쳤어용......","https://place.map.kakao.com/21306153","경천애인2237 삼성본점","육류,고기","4.1","서울 강남구
","1"
